index	type	text	text_ES	Go To	conditions	actions	
1	Q	You don't have time to operate the console in the middle of a fight.	No tienes tiempo de manejar una consola en mitad de la lucha.	0	VariableEqual#where_is_amarisa,95		
1	Q	The enormous yellow machinery towers in front of you. It hums softly, and lots of tiny lights go on and off in the console. 	La enorme maquinaria amarilla se alza frente a tí, vibrando suavemente. La consola conectada al Reactor muestra pequeñas luces que se apagan y se encienden.	10	VariableEqual#ark_lothasan,86		
1	Q	The enormous yellow machinery towers in front of you, inert. The console attached to it seems to be as dormant as the reactor itself.	La enorme maquinaria amarilla se alza inerte frente a tí. La consola conectada al Reactor permanece tan silenciosa como la maquinaria.	2	VariableEqual#ark_lothasan,50		
1	Q	You can't think of anything else to do with this console.	No se te ocurre nada que hacer con esta consola.	0			
2	A	Hmmm... Not much I can do here.	Hmmm... No puedo hacer mucho.	0			
2	A	Try to somehow attach an Ancient Battery into the device.	Intentar conectar una Antigua Batería al artefacto de algún modo.	3	PlayerHasItem#1022		
2	A	Let's try to activate this thing, just like the Oracle said. [BLUE](Try to connect a Large Battery to this machine)[].	Intentemos activarlo, como dijo el Oráculo. [BLUE](Intentar conectar una Batería Grande a la máquina)[].	4	PlayerHasItem#1023	LoseItem#1023	
3	Q	[BLUE](The socket is too large, maybe you need a larger battery)[].	[BLUE](El hueco es demasiado grande, quizá necesitas una batería mayor)[]. 	0			
4	Q	The screen comes to life. 'WARNING: main reactor disabled. Do you want to activate the Emergency Reactor?'	La pantalla vuelve a la vida. 'ALERTA: Reactor principal desactivado. ¿Quiere activar el Reactor de emergencia?'	5			
5	A	Push the 'yes' button and get out of here.	Pulsar el botón 'Sí' y salir de aquí.	0		SetVariable#ark_lothasan,60	
10	A	I need to think about this.	Tengo que pensarlo bien.	0			
10	A	I'm not sure hacking at it will be a good idea, let's try to do something else. [BLUE](Try to connect a Large Battery to this machine, then conect both poles of it together)[].	No creo dar golpes sea buena idea... Intentemes algo mejor. [BLUE](Intentar conectar una Batería Grande a la máquina, y luego conectar ambos polos juntos)[].	15	PlayerHasItem#1023	"LoseItem#1023;GainXP#2000"	INT#4
10	A	Let's tear this thing to pieces!	¡Rompamos esta cosa en pedazos!	11			
11	Q	You begin to hit the console and the Reactor frame, doing considerable damage. Unfortunately, a noxious gas sprays out of a broken tube showering your face and burning it mercilessly. While still blinded by the toxic gas, you can hear an alarm siren and heavy steps behind you.	Comienzas a golpear la consola y el Reactor al azar. Lamentablemente, un tubo de gas roto desprende una nube de ácido a tu cara. Cegado por el dolor, escuchas sirenas de alarma y unos pesados pasos a tu espalda.	0		"SetVariable#ark_lothasan,87;LoseHPToxic#350;NPCSpawn#guardian"	
15	Q	There is a sudden sparkle and the whole reactor and console begins to smell like burned oil. All the lights go out all of a sudden.	Hay un chispazo y tanto el reactor como la consola empiezan a oler a aceite quemado. De pronto, todo se apaga.	20			
20	Q	The reactor has been completely disabled, and you don't think it can be fixed again.	El reactor se ha apagado completamente, y no crées que se pueda reparar.	0		SetVariable#ark_lothasan,87	
