index	type	text	text_ES	Go To	conditions	actions
1	Q	I can't prove it... but I think you helped those damn slaves to escape. I'll be watching you, and if I ever find a way... I will have YOU in that slave pit. That will be fun [BLUE](Smiles)[]	No puedo demostrarlo... Pero creo que tú ayudaste a esos esclavos a escapar. Te estaré vigilando, y si encuentro la manera, te encerraré A TÍ en esa jaula. Eso será divertido [BLUE](sonríe)[]	0	VariableEqual#price_of_freedom,100	
1	Q	Still watching the river... When those stupid savages come, we'll annihilate them.	sigo vigilando el rio... Cuando esos estúpidos nativos vengan, les aniquilaremos.	0	VariableEqual#price_of_freedom,60	
1	Q	Freedom to you, adventurer. Any news about those flea-ridden natives?	Libertad, aventurero. ¿Alguna noticia de esos nativos piojosos?	19	"VariableGreater#price_of_freedom,9;VariableLower#price_of_freedom,100"	
1	Q	[BLUE](The woman in armor smiles while raising a fist in salute)[] Freedom, traveler. Welcome to Jabal. Respect the laws and prosper.	[BLUE](La mujer que viste armadura te sonríe mientras alza un puño a modo de saludo.)[] Libertad, amigo viajero. Bienvenido a Jabal. Respeta la Ley y prospera.	2	"VariableLower#price_of_freedom,10;VariableLower#jabal_saluted,1"	SetVariable#jabal_saluted,1
1	Q	Freedom to you, again.	Libertad para ti, de nuevo.	6	VariableGreater#REP_town_jabal,-10	
1	Q	I'm watching you.	Te estoy vigilando.	0		
2	A	Yeah sure... 'freedom'. You Mercians are crazy.	Si claro, 'libertad'. Los mercios estáis locos.	5		DecVariable#REP_town_jabal,2
2	A	[BLUE](Raise a fist)[]Freedom to you too. 	[BLUE](Levantar el puño)[]Libertad para ti también. 	3		IncVariable#REP_town_jabal,1
2	A	Greetings. I'm just a passing adventurer.	Saludos, sólo soy un aventurero de paso.	4		
3	Q	[BLUE](She seems pleased at your adequate salute, and nods)[] Is there anything I can do for you?	[BLUE](Parece complacida por tu saludo, y asiente con su cabeza)[] Puedo hacer algo por ti?	6		
4	Q	Very well. Just don't cause trouble.	Muy bien. Pero no causes problemas.	6		
5	Q	[BLUE](She narrows her eyes)[] You better watch your tongue while you are in the Free Land. Certainly I'll be watching you.	[BLUE](Te mira fijamente)[] Vigila tu lengua mientras estés en la Tierra Libre. No te voy a quitar ojo.	0		
6	A	Why there's so many caged people? What have they done? Some of them are much too young or old to be criminals.	¿Por qué hay tanta gente encerrada? ¿Qué han hecho? Algunos parecen demasiado viejos o demasiado jóvenes para ser delincuentes.	7	VariableLower#jabal_ask_cage,1	
6	A	I was wondering if there're any jobs I could do for you.	Me preguntaba si hay alguna tarea que pueda hacer por ti.	16		
6	A	I'll be back later, goodbye.	Volveré más tarde, adiós.	0		
7	Q	[BLUE](She raises an eyebrow)[] People caged? That's against the law, and that's a serious accusation. Are you sure you've seen that? Where did it happen?	[BLUE](La oficial enarca una ceja)[] ¿Gente enjaulada? Eso es un crímen, y una acusación muy grave. ¿Estás seguro de haberlo visto? ¿Dónde?	8		
8	A	Are you kidding me? They're like RIGHT BEHIND YOU, a dozen people, in a cage the size of a house.	¿Estás de broma? Están JUSTO DETRÁS DE TÍ, una docena de personas, en una jaula tan grande como una casa.	9		SetVariable#jabal_ask_cage,1
8	A	Okay... nevermind... Forget I said anything.	Vale... olvídalo... no he dicho nada.	0		
