index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	"[BLUE](Around you gathers a court of knights, high mages and other powerful individuals, some of them famous heroes or sages. Definitely not the bunch of nutty cultists you expected; you don't stand a chance to defeat them all in combat. Your entrance silences the heated debate, as the Magister greets you)[] Our honored guest has finally arrived."	[BLUE](A tu alrededor hay una corte de caballeros, altos magos y otros individuos poderosos, algunos famosos héroes o sabios. Ciertamente no es la pandilla de cultistas chiflados que esperabas, y dudas de que pudieras vencerles a todos en combate. Al acercarse se acaba el tenso debate y el Maestro te saluda)[]. Nuestro invitado de honor ha llegado.	2		SetVariable#ark_debate,0	
2	Q	"[BLUE](Your attention is easily captured by the mesmerizing sight of the Deep Gate behind the Magister. To your relief, it seems to be protected by a force field, so no one can enter it yet)[]. It is beautiful, isn't it? Yet, to some of my most respected friends here, it seems to pose more dangers than opportunities. The Forsaken Council is about to decide and vote; maybe you want to be heard?"	[BLUE](No puedes evitar mirar la hipnótica imagen de la Puerta Profunda detrás del Maestro. Está detrás de un campo de fuerza, por lo que de momento puedes respirar tranquilo)[]. Hermosa, ¿verdad? Y sin embargo muchos de mis estimados amigos piensan que presenta más peligros que oportunidades. El Consejo de los Olvidados está a punto de decidir y votar, ¿Quieres ser escuchado?	3			
3	A	I don't care. You're all going to die now. [BLUE](Attack)[]	No me importa. Vais a morir todos. [BLUE](Atacar)[]	100			
3	A	It will be my greatest pleasure to take part in your debate, gentlemen and ladies.[BLUE](Put out your weapons)[]	Será un placer participar en el debate, damas y caballeros. [BLUE](Guardar las armas)[]	4			
3	A	Don't pretend now that you're not a maniac. You kidnapped me and my sister, you bastard. 	No pretendas ahora que no eres un maníaco. Me secuestraste a mí y a mi hermana, bastardo.	5			
4	Q	[BLUE](You see nods of approval among some of the audience. They seem to be surprised by your calm manners)[]	"[BLUE](Ves que algunos asienten, aprobando tu conducta; no esperaban tu calma.)[]"	6		IncVariable#ark_debate,1	
5	Q	Such harsh words, you wound me deeply. But I did as was decided by the Council of the Forsaken, so your insults are addressed to them as well. [BLUE](You see some expressions around change from curious to hostile now. The Magister has made you fall into a trap.)[]	Qué palabras más duras, me hieren en verdad. Pero hice lo que decidió el Consejo de los Olvidados, así que tus insultos recaeran en ellos.. [BLUE](Ves algunas caras pasar de la curiosidad a la hostilidad. Crées que el Maestro te ha hecho caer en una trampa.)[]	6			
6	Q	Anyways, let's continue...	En cualquier caso, sigamos...	10	NPCIsDead#valeran		
6,valeran	Q	I would like to speak. This one standing in front of us, I believe is honorable. I can't say if wrong or right, as I was promised certain 'evidence' yet to be seen, but it takes great courage to survive the Wastes and the Ark to come here and tell us we're wrong. We must at least listen.	Me gustaría hablar. El que está frente a nosotros tiene coraje. No sé si equivocado o no, porque me prometió ciertas pruebas que aun no he visto, pero cruzar los Páramos y explorar el Arca para venir a decirnos que estamos equivocados requiere un extraordinatio valor y honor. Debemos escuchar con respeto.	7		IncVariable#ark_debate,1	
7	A	Thanks, sir Valeran.	Gracias, Sir Valeran.	8			
8,magister	Q	[BLUE](The face of the Magister shows concern, especially when some knights seem to approve Sir Valeran's words)[]	[BLUE](La cara del Maestro muestra preocupación, especialmente porque algunos caballeros parecen aprobar las palabras de Sir Valeran)[]	10			
10	Q	Let's abandon pleasantries and go to the point. The greatest concern about this Gate is based on the ridiculous notion that, upon being entered, some ficticious creatured called the Horrors will come out and destroy the world. 	Dejemos las cortesías y vayamos al asunto. La principal preocupación respecto a la Puerta es la idea ridícula de que, si alguien la cruza, unas criaturas fantásticas llamadas los Horrores aparecerán y destruirán el mundo.	11			
11,forsaken_1	Q	Pffft as if we cared about pathetic humans. [BLUE](Some laugh, but many others frown at the knight)[]	Pffft... Como si nos importasen los patéticos humanos. [BLUE](Algunos rien, pero otros miran al caballero con desprecio)[]	12			
