index	type	text	text_ES	Go To	conditions	actions	
1	Q	Despite being roughly sculpted and faceless this huge granite statue seems strangely life-like. Bypassers admire it in quiet and uneasy awe. A plaque reads: 'Lady of the Night. North of Icemist , 86AE'.	Pese a estar toscametne tallada y sin cara, esta enorme estatua de granito parece extrañamente viva. Los visitantes la admiran en un inquieto silencio. La placa dice: 'Dama de la Noche, 86AE, norte de Icemist'.	2			
2	A	Touch it.	Tocarla.	3			
2	A	Better to walk away...	Mejor irse...	0			
3	Q	At first nothing happens, but after a few seconds the strange whispers begin to echo inside your head.	Al principio no ocurre nada, pero tras unos segundos los susurros comienzan a resonar dentro de tu cabeza.	4			
4	Q	"A faint feminine voice speaks: 'You carry the Amulet of my Priests... Free me from my stone prison and I will reward you generously; bring a piece of my former body. I feel it far away, to the west. Kiss my hand for safe passage'."	Una débil voz femenina habla: 'Llevas el amuleto de mis sacerdotes... Liberame de mi prisión de piedra y te recompensaré generosamente. Tráeme un trozo de mi antiguo cuerpo, lo siento lejos, al oeste. Para pasar a salvo, besa mi mano'.	5	"VariableLower#lady_night,30;PlayerHasItem#4019"	SetVariable#lady_night,30	
4	Q	The whispers are too faint to make sense of them. But you're sure you've distinctly heard two words: Amulet and North.	Los susurros son demasiado débiles para entenderlos. Crées haber entendido claramente dos palabras: Amuleto y Norte.	0	VariableEqual#lady_night,10	SetVariable#lady_night,20	
4	Q	The whispers are too faint to make sense of them. But you're sure you've distinctly heard two words: Amulet and North.	Los susurros son demasiado débiles para entenderlos. Crées haber entendido claramente dos palabras: Amuleto y Norte.	0	VariableEqual#lady_night,20		
4	Q	The whispers are too faint to make any sense of them. Maybe you need to carry the amulet again.	Los susurros son demasiado débiles para entenderlos. Quizá necesites el amuleto de nuevo.	0	PlayerHasntItem#4019		
4	Q	The feminine voice speaks with excited anticipation: 'You have found my Heart... now my champion, crush it against the polished stone and chant my name, Syllara. Do it now... I am eager to meet you.'	La voz femenina habla con excitada impaciencia: 'encontraste mi Corazón... Ahora campeón mio, aplástalo contra la piedra pulida y dí mi nombre, Syllara. Hazlo rápido... Estoy impaciente por verte.'	6	PlayerHasItem#2633		
4	Q	The voice is clear, but it seems to be talking a gutural tongue you're unfamiliar with.	La voz suena clara, pero parece hablar en una lengua gutural que desconoces.	0			
5	A	Kiss your hand? But you don't even have hands, only wings! Go figures.	¿Besarte la mano? ¡Pero si no tienes manos, tienes alas! Qué te parece.	0			
6	A	I'll do it! [BLUE](Press the heart against the statue until it begins to bleed)[].	¡Lo haré! [BLUE](Aplastar el corazón contra la estatua hasta que empiece a sangrar)[].	20			
6	A	In the long list of dumb things I've done this would probably be my new high. Let's talk to Torden instead.	En la larga lista de tonterías que he hecho posiblemente esta sería la mayor. Mejor vamos a ver a Torden.	0			
6	A	Try to communicate mentally with the statue: 'how do I know you won't hurt me?'.	Intentar comunicarse mentalmente con la estatua. '¿Cómo sé que no me harás daño?'.	7			INT#4
7	Q	"A cautious one... And a strong mind; I like that. I read your mind and I know you are trying to save the world. A world I live in, and that's why I wouldn't hurt you, my Champion."	"Eres cauteloso, y con una mente fuerte; me gusta. Leo tu mente, sé quien eres y que intentas salvar el mundo. El mundo en el que yo vivo, por tanto no te haré daño, Campeón mio. "	8	VariableLower#ark_lothasan,100		
7	Q	"A cautious one... And a strong mind; I like that. I already have strong enemies awaiting my return and I am in no hurry to make another one. In time, I might offer you an alliance to seek revenge upon those that nearly destroyed me. That's why I wouldn't hurt you, my Champion."	"Eres cauteloso, y con una mente fuerte; me gusta. Tengo poderosos enemigos, no tengo intención de añadir uno nuevo. A su debido tiempo puedo ofrecerte una alianza para vengarme de quienes casi me destruyen. Por tanto no te haré daño, Campeón mio. "	8			
8	A	That sounds convincing. [BLUE](Press the heart against the statue until it begins to bleed)[].	Eso suena convincente. Lo haré.	20			
8	A	Nice try, but no, thanks.	Buen intento pero no, gracias.	0			
20	Q	"The heart stops beating and feels very cold in your hand; in an instant it turns into ashes and the statue vibrates softly; your amulet begins to glow and you feel it charge with power. When you step back, you see a tall Varannari woman dressed in rags walking from behind the statue. "	"El corazón deja de latir y se vuelve muy frío en tu mano; en un instante se transforma en cenizas y es la estatua vibra suavemente. El amuleto parece brillar y sientes que se carga de poder. Cuando das un paso atrás ves a una mujer Varannari vestida con harapos que sale de detrás de la estatua."	21		"SetVariable#lady_night,150;LoseItem#2633;LoseItem#4019;GainItem#4020;GainXP#5000;NPCDespawn#torden"	
21	Q	She says 'Our paths will cross again, my Champion'. She laughs and dissolves into mist before you can say a word.	Dice 'Nuestros caminos se cruzarán de nuevo, mi Campeón'. Antes de que puedas decir una palabra se disuelve en forma de niebla y desaparece.	0			
