index	type	text	text_ES	Go To	conditions	actions
1	Q	 [BLUE](Бубба рухнул на землю, но на этот раз он уже не встал, оставшиеся противники оставшись без своего лидера бросились бежать)[]	¿po?	2	"VariableEqual#bubba_dead,1"		
1	Q	 [BLUE](Бубба упал на колени, рукоять его молота оказалась сломана, а сам молот отлетел в сторону. Откинув в сторону безполезную рукоять, он достал ужасающий на вид кинжал)[] Нет, я не собираюсь просто так сдаваться, бой только начинается!	¿po?	0		"setVariable#bubba_dead,1;NPCDespawn#bubba;NPCSpawn#bubba2"
2,master	Q	 Вот и ещё одни мусорные педрилы соснули, пусть все знают, что Рикман - наш настоящий босс!	¿po?	3		
3,boss2	Q	 Чтож, Бубба пытался, но не вывез, недостаточно заработал авторитета, чтобы за ним шли достойные парни. Спасибо, друзья за помощь. [BLUE](он осмотрел тело Буббы, подобрал его ужасающий на вид кинжал, протянул его вам)[] Уверен, теперь ты будешь отличным хозяином этого страшного оружия.	¿po?	4		
4	A	Спасибо, оно мне пригодится.	po.	5		
5,philosopher	Q	 [BLUE](непонятно откуда появился Главный Философ)[] Спешил, как мог, но похоже, опоздал. Бубба значит мёртв, чтож, придётся искать нужную мне информацию у кого-то другого.	¿po?	6		
6	A	Да, а что произошло на острове, Винс погиб, а ты куда-то исчез?	po.	5		
6,philosopher	Q	 Погиб? Сожалею. Мы попали в засуду пиратов, я отвлёк внимание всех напавших на себя, а Винсу сказал, чтобы он бежал к лодочнику... значит ему это не удалось. Ну а когда мне удалось разделаться с противниками, оставшись без транспорта, я решил добираться обратно в Фригульд вплавь, подобные заплывы для меня не проблема, я же всё-таки бывший спорстмен.	¿po?	7		
7,boss2	Q	 Чтож, всё равно, спасибо тебе за помочь. Насчёт Буббы, ты извиняй, но я должен был прикончить.	¿po?	8		
8,philosopher	Q	 Я свяжусь с тем тайный стражником, сообщу ему, что ты свои проблемы в банде решил, чтоб он отстал от тебя. Вообщем, бывайте, может ещё свидемся. [BLUE](после этих слов он также быстро исчез, как и появился)[]	¿po?	9		
9,boss2	Q	 Спасибо, друг, что помог разрулить эту неприятную ситуацию. А это моя благодарность, за твою оказанную помощь, всегда рады будем видеть тебя в нашем логове.	¿po?	10		
10	A	Рад был помочь.	po.	0		"ItemHide#grate1;ItemWalkable#grate1;NPCDespawn#bubba_team2;NPCDespawn#master;NPCDespawn#boss2;NPCDespawn#rick_team;GainXP#1300;GainGold#777;GainItem#10892;SetVariable#changing_hierarchy,100;NPCDespawn#philosopher"
