index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](His voice is like a chorus of a thousand wishpers)[] Centuries have passed, so many dead souls are lost. My Crown is here... But why a living one brings Tol back from the Dead? Who are you?	[BLUE](Su voz es como un coro de cientos de susurros)[] Han pasado siglos, tantas almas de muertos vagan perdidas... Mi Corona está aquí...  ¿Pero por qué un vivo trae de vuelta a Tol de entre los muertos? ¿Quién eres?	2	PlayerHasItem#2618	EndTolCurse#	
1	Q	Where is my crown?	¿Dónde está mi corona?	40			
2	A	You're supposed to be a God. Figure it out.	Se supone que eres un Dios. Averigualo tú.	30			
2	A	I... Um... I'm going to be brutally honest. I have no idea what I'm doing here. I have this thing cursing me, can you help?	Yo... Voy a ser completamente sincero. No tengo ni idea de qué hago aquí. Esta cosa me está maldiciendo, ¿Puedes ayudarme?	40			
2	A	Lord Tol, your High Priest and all your undead ones failed you. They chose not to bring you the Crown.	Señor Tol, tu Sumo Sacerdote y el resto de muertos vivientes te han fallado. Decidieron no traerte la Corona.	3	VariableEqual#KNOW_H7_tol1,1		
2	A	I've come to destroy you, God of Death.	He venido a destruirte, Dios de la Muerte.	50			
3	Q	How did they fail me? What did they do?	¿Cómo me fallaron? ¿Qué hicieron?	4			
4	A	I don't know. I am here to get rid of this curse!	No lo sé. Estoy aquí para librarme de esta maldición!	40			
4	A	I don't know exactly why but they feared your anger and decided not to wake you up.	No sé la razón pero te temían tu ira y decidieron no despertarte.	5	VariableEqual#KNOW_H7_tol1,1		
4	A	They enslaved and feasted on the living, breaking the balance you taught them. They have become a terrifying nightmare for us, living ones.	Esclavizaron y devoraron a los vivos, rompiendo el equilibrio que les enseñaste. Se han vuelto una pesadilla terrorífica para nosotros los vivos.	5	VariableEqual#KNOW_H7_tol2,1	GainXP#1000	
5	Q	I see. They feared me... Only now I understand how naive I was, or should I say insane. How young and unprepared. I believed I could create an Eden, an immortal civilization. Instead I created a hell, and filled it with monsters.	Ya veo... Me temían. Sólo ahora comprendo lo ingenuo que he sido, o debería decir loco, quizás. Joven y poco preparado. Pensaba que podía crear un Edén, una civilización inmortal. En lugar de eso he creado un infierno repleto de monstruos.	6			
6	A	You don't talk like a God at all. Young? Naive? I don't understand.	No hablas como un Dios en absoluto. ¿Góven? ¿Ingenuo? No entiendo.	7			
7	Q	[BLUE](Smiles in a very human fashion)[] You have earned the right to ask questions to a God, I'd say. I was once a mortal, an adventurer much like yourself. Me and my companions uncovered an ancient secret and were Ascended, much like others had through the ages.	[BLUE](Sonríe de una forma bastante humana)[] Creo que te has ganado el derecho de hacer preguntas a un Dios. Una vez fui mortal, un aventurero como tú. Yo y mis compañeros descubrimos un antiguo secreto y nos convertimos en Dioses, como otros habían hecho antes.	8			
8	A	Others? Do you mean the Eleven?	¿Otros? ¿Quieres decir los Once?	9			
