index	type	text	text_ES	Go To	conditions	actions
1	Q	 [BLUE](приветливая на вид волшебница у входа своей мастерской)[] Здраствуй, путник, если у тебя есть подходящее оружие и нужные ингредиенты, я готова его зачаровывать!	¿po?	6	"VariableEqual#charm_magnolia,1"		
1	Q	 [BLUE](приветливая на вид волшебница у входа своей мастерской)[] Здраствуй, путник, я занимаюсь зачарованием оружия, но, к сожелению, по закону королевы мне запрещенно оказывать услуги неизвестным в королевстве! [BLUE](необходимо репутация 10 в Северном королевстве)[]	¿po?	0	VariableLower#REP_north_kingdom,10	
1	Q	 [BLUE](приветливая на вид волшебница у входа своей мастерской)[] Здраствуй, путник, я занимаюсь зачарованием оружия, если тебя это интересует, то я готова преобразить какой-нибудь клинок или молот, который есть у тебя при себе за умеренную плату!	¿po?	2		
2	A	Какое оружие ты можешь зачаровать?	po.	3		
2	A	Спасибо, но мне пора.	po.	0		
3	Q	 Любое оружие без наличия других чар, которое есть у тебя. Но также мне понадобится ингредиенты - по четыре огненной соли, живого льда или искрящаящихся пыли для чар одной из стихий.	¿po?	4		
4	A	Сколько будет стоить зачарование?	po.	5		
5	Q	 Зачарование кинжалов и мечей будет стоить [BLUE](от 200 до 300 монет)[], молоты и топоры [BLUE](по 250 монет)[], а что-то более тяжелое [BLUE](более 350 монет)[]. Если у тебя есть при себя что-то подходящее и нужные ингредиенты, я прямо сейчас готова взяться за работу.	¿po?	6		"SetVariable#charm_magnolia,1"
6	A	У меня есть с собой живой лёд.	po.	7	"PlayerHasItems#1006,4"	
6	A	У меня есть с собой огненная соль.	po.	8	"PlayerHasItems#1005,4"	
6	A	У меня есть с собой искрящаяся пыль.	po.	9	"PlayerHasItems#1007,4"	
6	A	Ты можешь зачаровать этот адамантиевый короткий меч?	po.	15	PlayerHasItem#552	
6	A	Ты можешь зачаровать этот адамантиевый меч?	po.	16	PlayerHasItem#553	
6	A	Ты можешь зачаровать этот адамантиевый двуручный меч?	po.	17	PlayerHasItem#554	
6	A	Ты можешь зачаровать этот ужасающий молот?	po.	179	PlayerHasItem#541	
6	A	Ты можешь зачаровать этот ужасающий меч?	po.	115	PlayerHasItem#10360	
6	A	Ты можешь зачаровать этот короткий ужасающий меч?	po.	246	PlayerHasItem#10892	
6	A	Ты можешь зачаровать эту штуку? [BLUE](показать ей хуяк)[]	po.	184	"VariableLower#dyldo_magnolia,1;PlayerHasItem#10106"	
6	A	Ты можешь зачаровать этот двуручный меч Вдоводел?	po.	201	PlayerHasItem#10175	
6	A	Ты можешь зачаровать этот двуручный меч Убийцу драконов?	po.	202	PlayerHasItem#10200	
6	A	Ты можешь зачаровать этот огромный молот Прошибатель скал?	po.	203	PlayerHasItem#10444	
6	A	Ты можешь зачаровать этот топор Довод Мыслителя?	po.	204	PlayerHasItem#10446	
6	A	Ты можешь зачаровать этот двуручный меч Кровопийцу?	po.	205	PlayerHasItem#10613	
6	A	Ты можешь зачаровать этот молот Убойную силу?	po.	206	PlayerHasItem#10772	
6	A	Ты можешь зачаровать этот длинный меч Жертвенность?	po.	207	PlayerHasItem#10776	
6	A	Ты можешь зачаровать этот двуручный меч Душелов?	po.	208	PlayerHasItem#10855	
6	A	Ты можешь зачаровать этот кинжал Волчью Свирепость?	po.	209	PlayerHasItem#10856	
6	A	Сколько нужно ингредиентов для зачарования и сколько оно будет стоить?	po.	13	"VariableEqual#charm_magnolia,1"		
6	A	Нет, спасибо.	po.	0		
7	Q	 Хорошо, какое оружие есть у тебя для зачарования?	¿po?	10		
8	Q	 Хорошо, какое оружие есть у тебя для зачарования?	¿po?	11		
9	Q	 Хорошо, какое оружие есть у тебя для зачарования?	¿po?	12		
10	A	Зачаруй этот кинжал.	po.	31	"PlayerHasItem#521;PlayerHasGold#200"	
10	A	Зачаруй этот короткий меч.	po.	32	"PlayerHasItem#522;PlayerHasGold#250"	
10	A	Зачаруй этот меч.	po.	33	"PlayerHasItem#523;PlayerHasGold#300"	
10	A	Зачаруй эту булаву.	po.	34	"PlayerHasItem#525;PlayerHasGold#250"	
10	A	Зачаруй этот клевец.	po.	35	"PlayerHasItem#526;PlayerHasGold#250"	
10	A	Зачаруй этот топор.	po.	36	"PlayerHasItem#528;PlayerHasGold#250"	
10	A	Зачаруй этот огромный меч.	po.	37	"PlayerHasItem#524;PlayerHasGold#350"	
10	A	Зачаруй этот молот.	po.	38	"PlayerHasItem#527;PlayerHasGold#400"	
10	A	Зачаруй эту секиру.	po.	39	"PlayerHasItem#529;PlayerHasGold#350"	
10	A	Зачаруй этот кинжал из голубой стали.	po.	61	"PlayerHasItem#531;PlayerHasGold#200"	
10	A	Зачаруй этот короткий меч из голубой стали.	po.	62	"PlayerHasItem#532;PlayerHasGold#250"	
10	A	Зачаруй этот меч из голубой стали.	po.	63	"PlayerHasItem#533;PlayerHasGold#300"	
10	A	Зачаруй эту булаву из голубой стали.	po.	64	"PlayerHasItem#535;PlayerHasGold#250"	
10	A	Зачаруй этот клевец из голубой стали.	po.	65	"PlayerHasItem#536;PlayerHasGold#250"	
10	A	Зачаруй этот топор из голубой стали.	po.	66	"PlayerHasItem#538;PlayerHasGold#250"	
10	A	Зачаруй этот огромный меч из голубой стали.	po.	67	"PlayerHasItem#534;PlayerHasGold#350"	
10	A	Зачаруй этот молот из голубой стали.	po.	68	"PlayerHasItem#537;PlayerHasGold#400"	
10	A	Зачаруй эту секиру из голубой стали.	po.	69	"PlayerHasItem#539;PlayerHasGold#350"	
10	A	Зачаруй этот серебряный кинжал.	po.	100	"PlayerHasItem#701;PlayerHasGold#200"	
10	A	Зачаруй этот серебряный короткий меч.	po.	101	"PlayerHasItem#702;PlayerHasGold#250"	
10	A	Зачаруй этот серебряный меч.	po.	102	"PlayerHasItem#703;PlayerHasGold#300"	
10	A	Зачаруй этот серебряный огромный меч.	po.	103	"PlayerHasItem#704;PlayerHasGold#350"	
10	A	Зачаруй эту серебряную булаву.	po.	104	"PlayerHasItem#705;PlayerHasGold#250"	
10	A	Зачаруй этот воровской клинок.	po.	122	"PlayerHasItem#203;PlayerHasGold#250"	
10	A	Зачаруй эту саблю.	po.	123	"PlayerHasItem#598;PlayerHasGold#300"	
10	A	Зачаруй этот нож.	po.	124	"PlayerHasItem#204;PlayerHasGold#200"	
10	A	Зачаруй этот кинжал.	po.	125	"PlayerHasItem#578;PlayerHasGold#200"	
10	A	Зачаруй этот ритуальный кинжал.	po.	126	"PlayerHasItem#600;PlayerHasGold#200"	
10	A	Зачаруй это жало.	po.	127	"PlayerHasItem#612;PlayerHasGold#200"	
10	A	Зачаруй этот коготь.	po.	128	"PlayerHasItem#613;PlayerHasGold#200"	
10	A	Зачаруй меч Оркорез.	po.	129	"PlayerHasItem#589;PlayerHasGold#300"	
10	A	Зачаруй меч Праведность.	po.	130	"PlayerHasItem#594;PlayerHasGold#300"	
10	A	Зачаруй этот клевец.	po.	131	"PlayerHasItem#540;PlayerHasGold#250"	
10	A	Зачаруй булаву Зверобой.	po.	132	"PlayerHasItem#579;PlayerHasGold#250"	
10	A	Зачаруй эту костяную булаву.	po.	133	"PlayerHasItem#617;PlayerHasGold#250"	
10	A	Зачаруй эту магическую костяную булаву.	po.	134	"PlayerHasItem#618;PlayerHasGold#250"	
10	A	Зачаруй этот ятаган.	po.	135	"PlayerHasItem#599;PlayerHasGold#350"	
10	A	Зачаруй эту костяную колотушку.	po.	136	"PlayerHasItem#616;PlayerHasGold#400"	
10	A	Зачаруй эту кавалду ужаса.	po.	137	"PlayerHasItem#742;PlayerHasGold#400"	
10	A	Зачаруй этот топор минотавра.	po.	138	"PlayerHasItem#608;PlayerHasGold#350"	
10	A	Зачаруй этот топор палача.	po.	139	"PlayerHasItem#714;PlayerHasGold#350"	
10	A	Зачаруй этот топор глубин.	po.	140	"PlayerHasItem#740;PlayerHasGold#350"	
10	A	Зачаруй эту штуку. [BLUE](показать ей хуяк)[]	po.	189	"VariableEqual#dyldo_magnolia,2;PlayerHasItem#10106;PlayerHasGold#200"	
10	A	Зачаруй эту биту.	po.	192	"PlayerHasItem#10123;PlayerHasGold#400"	
10	A	Зачаруй этот охотничий нож.	po.	195	"PlayerHasItem#10280;PlayerHasGold#200"	
10	A	Зачаруй этот топор орка.	po.	198	"PlayerHasItem#10833;PlayerHasGold#350"	
10	A	В следующей раз.	po.	0		
11	A	Зачаруй этот кинжал.	po.	41	"PlayerHasItem#521;PlayerHasGold#200"	
11	A	Зачаруй этот короткий меч.	po.	42	"PlayerHasItem#522;PlayerHasGold#250"	
11	A	Зачаруй этот меч.	po.	43	"PlayerHasItem#523;PlayerHasGold#300"	
11	A	Зачаруй эту булаву.	po.	44	"PlayerHasItem#525;PlayerHasGold#250"	
11	A	Зачаруй этот клевец.	po.	45	"PlayerHasItem#526;PlayerHasGold#250"	
11	A	Зачаруй этот топор.	po.	46	"PlayerHasItem#528;PlayerHasGold#250"	
11	A	Зачаруй этот огромный меч.	po.	47	"PlayerHasItem#524;PlayerHasGold#350"	
11	A	Зачаруй этот молот.	po.	48	"PlayerHasItem#527;PlayerHasGold#400"	
11	A	Зачаруй эту секиру.	po.	49	"PlayerHasItem#529;PlayerHasGold#350"	
11	A	Зачаруй этот кинжал из голубой стали.	po.	71	"PlayerHasItem#531;PlayerHasGold#200"	
11	A	Зачаруй этот короткий меч из голубой стали.	po.	72	"PlayerHasItem#532;PlayerHasGold#250"	
11	A	Зачаруй этот меч из голубой стали.	po.	73	"PlayerHasItem#533;PlayerHasGold#300"	
11	A	Зачаруй эту булаву из голубой стали.	po.	74	"PlayerHasItem#535;PlayerHasGold#250"	
11	A	Зачаруй этот клевец из голубой стали.	po.	75	"PlayerHasItem#536;PlayerHasGold#250"	
11	A	Зачаруй этот топор из голубой стали.	po.	76	"PlayerHasItem#538;PlayerHasGold#250"	
11	A	Зачаруй этот огромный меч из голубой стали.	po.	77	"PlayerHasItem#534;PlayerHasGold#350"	
