progress	description	description_ES	actions
0	Смена Иерархии	po	
10	На логово босса Рикмана напали!	po.	
20	Зам босса бандитов по прозвищу Бубба решил сместить его с должности, Рикман попросил меня найти этого Буббу. Я могу узнать о его местоположении в Северной Инори неподалеку от Нью-Гаранда.	po.	
25	Взамен на информацию о местоположении Буббы Фрибэг попросил вернуть похищенный бандитами магический артефакт, их логово находится неподалеку от Фригульда.	po.	
30	Я нашёл похищенный артефакт, необходимо передать его Фрибэгу в Северной Инори.	po.	
35	Необходимо передать полученную информацию боссу Рикману.	po.	
40	Я должен встретиться с Рикманом в Фригульде.	po.	
45	Необходимо найти Винса и Философа на острове.	po.	
50	Я должен встретиться с Рикманом в его логове.	po.	
55	Необходимо поговорить с Рикманом насчёт готовности участвовать в разборке.	po.	
60	Необходимо присоединиться к Рикману и его людям к началу разборок.	po.	
65	Я должен разобраться с Буббой и его людьми.	po.	
100	Я помог Рикману сохранить должность босса банды.	po.	
130	Квест провален.	po.	
