progress	description	description_ES	actions
0	Swine Trouble	Problemas Porcinos	
10	Mifadis in Whitetower seems to have accidentally transformed his wife into a pig.	Mifadis en Whitetower parece haber transformado accidentalmente a su mujer en cerdo.	
15	Mifadis in Whitetower seems to have accidentally transformed his wife into a pig. I asked about this to Lady Ilemma in Icemist, and she says her spells never lasts more than 5 minutes. There must be an explanation...	Mifadis en Whitetower parece haber transformado accidentalmente a su mujer en cerdo. Hablé con Ilemma en Icemist y me dijo que su hechizo sólo dura 5 minutos. Tiene que haber una explicación...	
50	An old herbalist told me he saw a farmer bring the pig, as a payment of some kind to the wizard of the house. Later, he saw a woman run naked and jump into the river, then swim downstream to the west. If it was Rosy, she can't be too far away.	Un viejo curandero me ha dicho que vio a un granjero traer al cerdo para pagar una deuda al mago. Después vio a una mujer desnuda salir corriendo y tirarse al rio, para después salir nadando hacia el oeste. Si era Rosy, no puede andar muy lejos.	
70	I found Rosy. She seems to be greatly enjoying her life with two young and handsome woodcutters. She asked me to lie to her husband, so she can keep enjoying this new life.	Encontré a Rosy. Parece vivir muy feliz con dos jóvenes leñadores. Me ha pedido que mienta a su marido y que le diga que el hechizo es irreversible, para poder quedarse con ellos para siempre.	
80	I told Mifadis the truth about Rosy. He asked me to bring his wife back, even by force if needed.	Le he dicho a Mifadis la verdad. Me ha pedido que le traiga a su mujer, si es necesario a la fuerza.	
85	I confronted Rosy and now her two 'friends' are attacking me!	¡Me enfrenté a Rosy y ahora sus dos 'amigos' me atacan!	
90	I convinced Rosy to return with her husband. I should tell Mifadis about this.	He convencido a Rosy de que regrese con su marido. Debería decírselo a Mifadis.	
95	I lied to Mifadis, telling him the spell can't be reversed. Rosy promised to reward me.	He mentido a Mifadis, y le he dicho que el hechizo es irreversible. Rosy ha prometido recompensarme.	
100	I returned Rosy to Mifadis in Whitetower.	He llevado a Rosy con su marido en Whitetower.	
110	I helped Rosy to stay with her woodsmen friends.	Ayudé a Rosy a quedarse con sus amigos leñadores.	
120	I told Mifadis the truth about Rosy but I refused to take part in their squabbles.	Le dije a Mifadis la verdad sobre Rosy pero me negué a interferir en sus rencillas.	
