index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](The creature looks excited, but does not attack. Instead he smiles and bows down)[] Master! Master! Master is back, finally! Master will put order and make things right! 	[BLUE](La criatura parece nerviosa, pero no te ataca. En vez de eso, sonríe y te hace una revenrencia)[] ¡Maestro! ¡Maestro! ¡Por fin el Maestro ha regresado! El Maestro pondrá las cosas en orden y lo arreglará todo.	2	VariableEqual#key_to_past,20	SetVariable#key_to_past,25
1	Q	[BLUE](The creature looks excited, but does not attack. Instead he smiles and bows down)[] Master! Master! Master is back, finally! Master will put order and make things right! 	[BLUE](La criatura parece nerviosa, pero no te ataca. En vez de eso, sonríe y te hace una revenrencia)[] ¡Maestro! ¡Maestro! ¡Por fin el Maestro ha regresado! El Maestro pondrá las cosas en orden y lo arreglará todo.	2	VariableEqual#key_to_past,25	
1	Q	Master, you need to bring one of the three Crystals and the key, so I can charge it...	Maestro, necesitas traerme uno de los tres Cristales y la llave, para poder cargarla...	23	VariableEqual#key_to_past,30	
1	Q	Master, the Gate is unlocked, you can open it now!	Maestro, la Puerta ya está abierta, ¡puedes abrirla!	0	VariableGreater#key_to_past,39	
1	Q	Yes, Master?	¿Sí, Maestro?	9		
2	A	Stay back, fiend, or I will destroy you. I don't know what you're talking about.	Atrás, demonio, o te destruiré. No sé de qué hablas.	3		
2	A	Master? Who is the Master?	¿Maestro? ¿Quién es el Maestro?	3		
2	A	I'm the Master. I'm back. Now bring me all the treasures in this tower.	Soy el Maestro. He regresado. Ahora tráeme todos los tesoros de esta torre.	8		
3	Q	Why do you act so strangely, Master? [BLUE](the devilish creature looks at you puzzled)[]	¿Por qué dices cosas tan raras, Maestro? [BLUE](La criatura te mira con sorpresa)[]	4		
4	A	I am not your Master. I had never been here before, and I have no idea who you are.	No soy el Maestro. Nunca había estado aquí antes, y no te conozco.	5		
4	A	I was just testing you. I'm the Master. I'm back. Now bring me all the treasures in this tower.	Sólo te estaba poniendo a prueba. Soy el Maestro. He regresado. Ahora tráeme todos los tesoros de esta torre.	8		
4	A	I don't have time to talk now.	No tengo tiempo para hablar.	0		
