index	type	text	text_ES	Go To	conditions	actions
1	Q	There's no way you can focus in operating this computer while there're enemies around!	¡Es imposible concentrarse en la computadora mientras hay enemigos alrededor!	0	Hostiles#	
1	Q	There's no way you can focus in operating this computer while there's an Ancient Horror lurking over your shoulder.	¡Es imposible concentrarse en la computadora mientras hay un Horror Anciano mirando por encima del hombro!	0	NPCinArea#horror	
1	Q	There's no way you can focus in operating this computer while the Forsaken are still around!	¡Es imposible concentrarse en la computadora mientras los Olvidados siguen por aquí!	0	NPCinArea#magister	
1	Q	With trembling hands, you find the buttons and commands that activate the console. You get a message: 'WARNING: Missing Control Module, Main Computer is disabled'.	Con manos temblorosas, encuentras los interruptores y opciones que activan la consola. Ves un mensaje: 'AVISO: Módulo de Control no detectado. Computadora inactiva'.	2		
2	A	Try to insert the Control Module.	Intentar conectar el Módulo de Control.	3	PlayerHasItem#2622	LoseItem#2622
2	A	Maybe later.	Quizá luego.	0		
3	Q	It almost falls out of your hands but finally it clicks into the cavity below the screen. Immediately the computer begins to buzz and a message is prompted to you. 'Escape Pod ready to launch. Please confirm'.	Casi se te cae pero finalmente consigues encajar el Módulo en un hueco justo bajo la pantalla. Inmediatamente el computador vibra y aparece un mensaje. 'Cápsula de Escape lista para el lanzamiento. ¿Confirmar?	4		
4	A	[BLUE](Press CONFIRM)[] Hell yes. Let's send that damn Deep Gate high into the skies! [BLUE]	[BLUE](Pulsar CONFIRMAR)[] ¡Pues claro! ¡Enviemos esa maldita Puerta Profunda a volar por los cielos!	5		"GainXP#50000;SetVariable#ark_lothasan,100"
5	Q	The Launch sequence begins... You are not sure the old hull will be able to resist this, all this level feels about to collapse!	La Secuencia de Lanzamiento comienza... No estás seguro de que el viejo casco del Arca vaya a resistir esto, todo el nivel parece a punto de colapsar.	6		
6	A	Time to run away.	Hora de correr.	0		EndGame#3
