index	type	text	text_ES	Go To	conditions	actions
1	Q	This grate remains locked until your enemies have been defeated!	¡Esta verja está cerrada hasta que venzas a tus enemigos!	0	Hostiles#	
1	Q	This grate is no longer locked.	La verja ya no está cerrada.	2		
2	A	Time to leave the arena.	Hora de irse de la Arena.	4		LoseArenaItems#
2	A	I'll remain here a little longer.	Quizá luego.	0		
4	Q	"The crowd is barely paying attention while you walk away. A slave gives you [BLUE]250 gold[] and then guides you to a room with a chest; it contains all your belongings."	"La muchedumbre apenas presta atención mientras te marchas. Un esclavo te paga [BLUE]250 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,10	"IncVariable#arena,10;GainXP#100;GainGold#250;travel#FT_arena,4"
4	Q	"The crowd is still clapping and cheering at you while you walk away. A slave gives you [BLUE]500 gold[] and then guides you to a room with a chest; it contains all your belongings."	"La muchedumbre aplaude y vitorea mientras te marchas. Un esclavo te paga [BLUE]500 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,20	"IncVariable#arena,10;GainXP#200;GainGold#500;travel#FT_arena,4"
4	Q	"The crowd has been shouting your name during the fight, and now cheer and salute your victory. A slave pays you [BLUE]750 gold[] and guides you to a room with a chest; it contains all your belongings."	"El público ha estado gritando tu nombre durante la pelea y te aplaude y saluda cuando te marchas. Un esclavo te trae una [BLUE]bolsa con 750 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,30	"IncVariable#arena,10;GainXP#300;GainGold#750;travel#FT_arena,4"
4	Q	"Your fight is just one among many that take place today in the Great Arena, and the crowd barely paid attention. A young scribe pays you [BLUE]1000 gold[] and guides you to a room with a chest; it contains all your belongings."	"Tu combate es solamente uno entre muchos que tienen lugar en la Gran Arena y el público no presta mucha atención. Un joven escriba te paga [BLUE]1000 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,40	"IncVariable#arena,10;GainXP#400;GainGold#1000;travel#FT_arena,4;IncVariable#REP_mercia,1"
4	Q	"You notice how many cheer as you are called winner. Many in the crowd exchange money, as the bets on you were heavy. A young scribe pays you [BLUE]1500 gold[] and guides you to a room with a chest; it contains all your belongings."	"La gente aplaude cuando te declaran ganador. Ves que mucha gente intercambia dinero, al parecer las apuestas han sido fuertes. Un joven escriba te paga [BLUE]1500 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,50	"IncVariable#arena,10;GainXP#500;GainGold#1500;travel#FT_arena,4;IncVariable#REP_mercia,2"
4	Q	"People has been chanting your name during the fight, and as you win the roar from the crowd is deafening. A young scribe pays you [BLUE]2000 gold[] and guides you to a room with a chest; it contains all your belongings."	"La gente ha estado coreando tu nombre todo el tiempo, y al vencer el aplauso ha sido ensordecedor. Un joven escriba te paga [BLUE]2000 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,60	"IncVariable#arena,10;GainXP#600;GainGold#2000;travel#FT_arena,4;IncVariable#REP_mercia,3"
4	Q	"By the faces of the crowd you notice most didn't expect you to win today. Five thousand people stand in a deafening ovation. A young scribe pays you [BLUE]2500 gold[] and guides you to a room with a chest; it contains all your belongings."	"Por las caras del público ves que hoy no esperaban tu victoria. Una ovación ensordecedora por parte de cinco mil personas acompaña tu salida. Un joven escriba te paga [BLUE]2500 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,70	"IncVariable#arena,10;GainXP#700;GainGold#2500;travel#FT_arena,4;IncVariable#REP_mercia,4"
4	Q	"By the excitement of the crowd you can tell they will be singing your name in many taverns tonight. Now only the Champion can rival your glory. A young scribe pays you [BLUE]3500 gold[] and guides you to a room with a chest; it contains all your belongings."	"Por la emoción de la grada sabes que seguramente cantarán tu nombre toda la noche en las tabernas; ahora solo el Campeón rivaliza con tu fama. Un joven escriba te paga [BLUE]3500 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,80	"IncVariable#arena,10;GainXP#800;GainGold#3500;travel#FT_arena,4;IncVariable#REP_mercia,5"
4	Q	"The glory is yours. Your name will be inscribed in the stone pillars of the Arena, and remembered for many years in this town. A young scribe pays you [BLUE]5000 gold[] and guides you to a room with a chest; it contains all your belongings."	"La gloria es tuya. Tu nombre va a ser inscrito en los pilares de piedra de la Gran Arena, y recordado en la ciudad por muchos años. Un joven escriba te paga [BLUE]5000 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0	VariableEqual#arena,90	"IncVariable#arena,10;GainXP#1000;GainGold#5000;travel#FT_arena,4;IncVariable#REP_mercia,8"
4	Q	"You are victorious as the Arena Champion. A young scribe pays you [BLUE]500 gold[] and guides you to a room with a chest; it contains all your belongings."	"Como campeón, sales victorioso de la Arena. Un joven escriba te paga [BLUE]500 monedas[] y te guía hasta una sala con un cofre; contiene todos tus objetos."	0		"GainGold#500;travel#FT_arena,4"
