item_ID	name	description	name_ES	description_ES	name_RU	desc_RU	name_PT	desc_PT	name_DE	desc_DE	name_PL	desc_PL	name_CZ	desc_CZ	name_TR	desc_TR	name_IT	desc_IT	name_FR	desc_FR
100	Leather Cuirass	Not the best armor in the world, but hey, it's cheap.	Peto de cuero	No es la mejor armadura del mundo pero... es barata.	Ðšожаная киÑ€аса	Не лÑƒÑ‡Ñˆая бÑ€оня в миÑ€е, но Ñ‡его Ñ‚Ñ‹ Ñ…оÑ‚ел за Ñ‚акÑƒÑŽ Ñ†енÑƒ.	Peitoral de Couro	Não é a melhor armadura do mundo... mas é barata.	Lederkürass	Nicht die beste Rüstung der Welt... aber billig.	Skórzany kirys	Nie najlepszy pancerz na Å›wiecie, ale hej, jest tani!	Kožený kyrys	Není to nejlepší zbroj na svÄ›tÄ›, ale levná!	Deri GöÄŸüslük	Dünyadaki en iyi zırh deÄŸil ama en azından ucuz.	Corazza di cuoio	Non proprio la migliore armatura, ma... è economica	Leather Cuirass	Not the best armor in the world, but hey, it's cheap.
101	Leather Leggings	Good idea to protect yourself from the waist down. That's where goblins hit.	Grebas de cuero	Buena idea protegerse de cintura para abajo. Es donde pegan los goblins.	ÐšожанÑ‹й килÑ‚	Ð—аÑ‰иÑ‚иÑ‚ÑŒ Ñ‚о, Ñ‡Ñ‚о ниже пояса - Ñ…оÑ€оÑˆая идея. ТÑƒда и бÑŒÑŽÑ‚ гоблинÑ‹..	Calça de Couro	Boa ideia se proteger abaixo da cintura. Ã‰ onde os goblins acertam.	Lederhose	Gute Idee, dich von der Hüfte abwärts zu schützen. Dort beiÃŸen Goblins am liebsten.	Skórzane nogawice	Dobrze chroniÄ… wszystko od pasa w dóÅ‚. Tam bijÄ… gobliny.	Kožené kamaše	Dobrý nápad, chránit se od pasu dolů. Tam totiž útočí skÅ™eti.	Deri Bacak Zırhı	Belden aÅŸaÄŸını korumak için iyi bir fikir. Goblinler oraya vurur.	Gambali di cuoio	Una buona idea proteggersi dalla vita in giù. E' dove colpiscono i goblin.	Leather Leggings	Good idea to protect yourself from the waist down. That's where goblins hit.
102	Leather Bracers	Makes you look like a badass.	Brazales de cuero	Te hace parecer duro.	ÐšожанÑ‹е наÑ€ÑƒÑ‡и	СделаÑŽÑ‚ Ñ‚ебя поÑ…ожим на Ñ…Ñƒлигана.	Braceletes de Couro	Te faz parecer durão.	Lederarmschiene	Lässt dich wie einen harten Kerl aussehen.	Skórzane karwasze	WyglÄ…dasz w nich jak wymiatacz.	Kožené nátepníky	Vypadáš s nimi jako drsÅˆák.	Deri Ayakkabı	Seni sert bir çocuk gibi gösterir.	Bracciali di cuoio	Ti fanno sembrare un duro.	Leather Bracers	Makes you look like a badass.
103	Leather Boots	Stylish! Tall leather boots are always in.	Botas de cuero	¡Estilo! Las botas altas de cuero siempre están de moda.	ÐšожанÑ‹е сапоги	СÑ‚илÑŒно! Ð’Ñ‹сокие кожанÑ‹е сапоги всегда в Ñ‚Ñ€енде.	Botas de Couro	Estiloso! Botas de couro de cano alto estão sempre na moda.	Lederstiefel	Elegant! Hohe Lederstiefel sind immer in Mode.	Skórzane buty	Stylowo! Wysokie skórzane buty sÄ… zawsze w modzie.	Kožené boty	Stylové! Vysoké kožené boty jsou vždy IN.	Deri Ã‡izme	Åžık! Uzun deri çizmeler her zaman kabul görür.	Stivali di cuoio	Stilosi! Gli stivali in cuoio sono sempre di moda.	Leather Boots	Stylish! Tall leather boots are always in.
104	Leather Cap	It makes your head look fat.	Casco de cuero	Hace que tu cabeza parezca gorda.	ÐšожанÑ‹й Ñˆлем	Твоя голова бÑƒдеÑ‚ вÑ‹глядеÑ‚ÑŒ кÑ€Ñƒпнее.	Capacete de Couro	Faz sua cabeça parecer gorda.	Lederkappe	Lässt deinen Kopf fett aussehen.	Skórzana czapka	Twoja gÅ‚owa wyglÄ…da w niej grubo.	Kožená čepice	Tvá hlava v ní vypadá tlustÄ›.	Deri Balık	Kafanı kocaman gösterir.	Cappuccio di cuoio	Ti fa sembrare la testa grassa.	Leather Cap	It makes your head look fat.
105	Hardened Leather Cuirass	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Peto de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	ÐšиÑ€аса из дÑƒблÑ‘ной кожи	Ð’Ñ‹ваÑ€енная, дÑƒблÑ‘ная кожа. ÐšонеÑ‡но, заÑ‰иÑ‚а замеÑ‡аÑ‚елÑŒная, но паÑ…неÑ‚ забавно.	Peitoral de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärteter Lederkürass	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocniony skórzany kirys	Gotowana, wzmocniona skóra. To Å›wietna ochrona, ale teraz dziwnie pachnie.	Tvrzený kožený kyrys	VaÅ™ená, tvrzená kůže. Je to skvÄ›lá ochrana, ale divnÄ› zapáchá.	SertleÅŸtirilmiÅŸ Deri GöÄŸüslük	Kaynatılarak sertleÅŸtirilmiÅŸ deri. İyi koruma saÄŸladıÄŸına ÅŸüphe yok ama komik kokuyor.	Corazza di cuoio rinforzato.	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.	Hardened Leather Cuirass	Boiled, hardened leather. Sure it's great protection, but it smells funny.
106	Hardened Leather Leggings	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Grebas de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	ÐŸоножи из дÑƒблÑ‘ной кожи	Ð’Ñ‹ваÑ€енная, дÑƒблÑ‘ная кожа. ÐšонеÑ‡но, заÑ‰иÑ‚а замеÑ‡аÑ‚елÑŒная, но паÑ…неÑ‚ забавно.	Calça de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärtete Lederhose	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocnione skórzane nogawice	Gotowana, wzmocniona skóra. To Å›wietna ochrona, ale teraz dziwnie pachnie.	Tvrzené kožené kamaše	VaÅ™ená, tvrzená kůže. Je to skvÄ›lá ochrana, ale divnÄ› zapáchá.	SertleÅŸtirilmiÅŸ Deri Bacak Zırhı	Kaynatılarak sertleÅŸtirilmiÅŸ deri. İyi koruma saÄŸladıÄŸına ÅŸüphe yok ama komik kokuyor.	Gambali di cuoio rinforzato	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.	Hardened Leather Leggings	Boiled, hardened leather. Sure it's great protection, but it smells funny.
107	Hardened Leather Gauntlets	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Brazales de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	ÐŸеÑ€Ñ‡аÑ‚ки из дÑƒблÑ‘ной кожи	Ð’Ñ‹ваÑ€енная, дÑƒблÑ‘ная кожа. ÐšонеÑ‡но, заÑ‰иÑ‚а замеÑ‡аÑ‚елÑŒная, но паÑ…неÑ‚ забавно.	Braceletes de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärtete Lederhandschuhe	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocnione skórzane rÄ™kawice	Gotowana, wzmocniona skóra. To Å›wietna ochrona, ale teraz dziwnie pachnie.	Tvrzené kožené rukavice	VaÅ™ená, tvrzená kůže. Je to skvÄ›lá ochrana, ale divnÄ› zapáchá.	SertleÅŸtirilmiÅŸ Deri Eldiven	Kaynatılarak sertleÅŸtirilmiÅŸ deri. İyi koruma saÄŸladıÄŸına ÅŸüphe yok ama komik kokuyor.	Guanti di cuoio rinforzato	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.	Hardened Leather Gauntlets	Boiled, hardened leather. Sure it's great protection, but it smells funny.
108	Hardened Leather Boots	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Botas de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	Сапоги из дÑƒблÑ‘ной кожи	Ð’Ñ‹ваÑ€енная, дÑƒблÑ‘ная кожа. ÐšонеÑ‡но, заÑ‰иÑ‚а замеÑ‡аÑ‚елÑŒная, но паÑ…неÑ‚ забавно.	Botas de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärtete Lederstiefel	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocnione skórzane buty	Gotowana, wzmocniona skóra. To Å›wietna ochrona, ale teraz dziwnie pachnie.	Tvrzené kožené boty	VaÅ™ená, tvrzená kůže. Je to skvÄ›lá ochrana, ale divnÄ› zapáchá.	SertleÅŸtirilmiÅŸ Deri Ã‡izme	Kaynatılarak sertleÅŸtirilmiÅŸ deri. İyi koruma saÄŸladıÄŸına ÅŸüphe yok ama komik kokuyor.	Stivali di cuoio rinforzato.	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.	Hardened Leather Boots	Boiled, hardened leather. Sure it's great protection, but it smells funny.
109	Hardened Leather Cap	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Casco de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	Шлем из дÑƒблÑ‘ной кожи	Ð’Ñ‹ваÑ€енная, дÑƒблÑ‘ная кожа. ÐšонеÑ‡но, заÑ‰иÑ‚а замеÑ‡аÑ‚елÑŒная, но паÑ…неÑ‚ забавно.	Capacete de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärtete Lederkappe	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocniona skórzana czapka	Gotowana, wzmocniona skóra. To Å›wietna ochrona, ale teraz dziwnie pachnie.	Tvrzená kožená čepice	VaÅ™ená, tvrzená kůže. Je to skvÄ›lá ochrana, ale divnÄ› zapáchá.	SertleÅŸtirilmiÅŸ Deri BaÅŸlık	Kaynatılarak sertleÅŸtirilmiÅŸ deri. İyi koruma saÄŸladıÄŸına ÅŸüphe yok ama komik kokuyor.	Cappuccio di cuoio rinforzato.	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.	Hardened Leather Cap	Boiled, hardened leather. Sure it's great protection, but it smells funny.
