index	type	text	text_ES	Go To	conditions	actions
1	Q	 [BLUE](неприятной наружности тип)[] Здоров, друг, я тут заблудился, не подскажешь, как пройти до библиотеки?	¿po?	2			
2	A	Конечто.	po.	3		
3	Q	 [BLUE](только вы начали объяснять ему дорогу, как замечаете, что из подворотни вышла группа головорезов, а мужчина выхватил кинжал)[] Гони свои монеты или сдохнешь!	¿po?	4	"playerhasGold#100000"	
3	Q	 [BLUE](только вы начали объяснять ему дорогу, как замечаете, что из подворотни вышла группа головорезов, а мужчина выхватил кинжал)[] Гони свои монеты или сдохнешь!	¿po?	5	"playerhasGold#50000"	
3	Q	 [BLUE](только вы начали объяснять ему дорогу, как замечаете, что из подворотни вышла группа головорезов, а мужчина выхватил кинжал)[] Гони свои монеты или сдохнешь!	¿po?	6	"playerhasGold#25000"	
3	Q	 [BLUE](только вы начали объяснять ему дорогу, как замечаете, что из подворотни вышла группа головорезов, а мужчина выхватил кинжал)[] Гони свои монеты или сдохнешь!	¿po?	7	"playerhasGold#10000"	
3	Q	 [BLUE](только вы начали объяснять ему дорогу, как, вдруг, мужчина выхватил кинжал и приставил его к вашему горлу)[] Гони свои монеты или сдохнешь!	¿po?	8	"playerhasGold#1000"	
3	Q	 [BLUE](только вы начали объяснять ему дорогу, как замечаете, что из подворотни вышла группа головорезов, а мужчина выхватил кинжал)[] Гони свои монеты или сдохнешь!	¿po?	9	"playerhasGold#100"	
3	Q	 [BLUE](только вы начали объяснять ему дорогу, как замечаете, что из подворотни вышла группа головорезов, а мужчина выхватил кинжал)[] Гони свои монеты или сдохнешь!	¿po?	10		
4	A	Отдать свои деньги.	po.	0		"NPCDespawn#outlaw1;loseGold#100000"
4	A	Достать своё оружие.	po.	0		"NPCHostile#outlaw1;NPCSpawn#ngband"
5	A	Отдать свои деньги.	po.	0		"NPCDespawn#outlaw1;loseGold#50000"
5	A	Достать своё оружие.	po.	0		"NPCHostile#outlaw1;NPCSpawn#ngband"
6	A	Отдать свои деньги.	po.	0		"NPCDespawn#outlaw1;loseGold#25000"
6	A	Достать своё оружие.	po.	0		"NPCHostile#outlaw1;NPCSpawn#ngband"
7	A	Отдать свои деньги.	po.	0		"NPCDespawn#outlaw1;loseGold#10000"
7	A	Достать своё оружие.	po.	0		"NPCHostile#outlaw1;NPCSpawn#ngband"
8	A	Отдать свои деньги.	po.	0		"NPCDespawn#outlaw1;loseGold#1000"
8	A	Достать своё оружие.	po.	0		"NPCHostile#outlaw1;NPCSpawn#ngband"
9	A	Отдать свои деньги.	po.	0		"NPCDespawn#outlaw1;loseGold#100"
9	A	Достать своё оружие.	po.	0		"NPCHostile#outlaw1;NPCSpawn#ngband"
10	A	Но у меня нет денег!	po.	11		
10	A	Достать своё оружие.	po.	0		"NPCHostile#outlaw1;NPCSpawn#ngband"
11	Q	 Что и вправду нет? Вот же гребанный голодранец! Держи пару монет, чтоб с голодухе тебе не сдохнуть!	¿po?	0		"NPCDespawn#outlaw1;GainGold#12"
