index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	Hello again. Any luck with those signed petitions?	Hola de nuevo, ha habido suerte con esas peticiones firmadas?	2	"VariableGreater#three_versus_eleven,19;VariableLower#three_versus_eleven,100"		
1	Q	Welcome to the Royal Castle, adventurer. What brings you here today?	Bienvenido al Castillo Real, aventurero. ¿Qué te trae hoy por aquí?	2			
2	A	I would like to request an audience with His Royal Majesty, Saladar III of Varsilia.	Quiero solicitar una audiencia con Su Majestad Real, Saladar III de Varsilia.	10			
2	A	I want to purchase a house in this town.	Quiero comprar una casa en esta ciudad.	20			
2	A	I come with a request, in the name of the Church of the Three. They want to use the empty temple as a healing house, school, and place of worship.	Vengo con una petición, en nombre de la Iglesia de Los Tres. Quieren utilizar el templo vacío de la ciudad, como casa de curación, escuela y lugar de culto.	30	VariableEqual#three_versus_eleven,10		
2	A	I still don't have those petitions.	Aun no tengo esas peticiones.	0	"VariableGreater#three_versus_eleven,19;VariableLower#three_versus_eleven,23"		
2	A	I have them right here. Three important citizens support the Church of the Three having a strong presence here.	Las tengo justo aquí. Tres importantes ciudadanos están de acuerdo en que la iglesia de Los Tres tenga una presencia importante en la ciudad.	60	"VariableEqual#three_versus_eleven,23;PlayerHasItems#2522,3"	LoseItems#2522,3	
2	A	Nothing, thanks.	Nada, gracias.	0			
10	Q	And why should I bother His Majesty? What is the reason of this audience?	Y ¿Para qué debo molestar a Su Majestad? ¿Cual es el motivo de la audiencia?	11			
11	A	Um... Can't really think of anything right now. Nevermind.	Um... Ahora mismo no se me ocurre nada. Dejémoslo.	0			
20	Q	You already own a house in this town… which is an extraordinary honor for a foreigner, if I might say so.	Ya tienes una casa en la ciudad… lo cual es un raro honor para un extranjero, me atrevo a decir.	0	VariableEqual#NG_house,1		
20	Q	"You are a foreigner in our town, but you've got an impressive reputation as an adventurer; I see no problem in selling you a house, if you are able to pay [BLUE]25,000[] gold coins."	"Eres un extranjero en nuestra ciudad, pero tienes una reputación impresionante como aventurero; no tengo inconveniente en que consigas una casa, si puedes pagar [BLUE]25,000[] monedas de oro."	21			
21	A	Agreed, here is the money.	De acuerdo, aquí está el dinero.	22	PlayerHasGold#25000	"LoseGold#25000;SetVariable#NG_house,1"	
21	A	Maybe another time...	Quizá en otro momento...	0			
22	Q	Excellent. Your house is right by the East Gate, now go and install yourself.	"Excelente, tu nueva casa está junto a la Puerta Este; puedes ir e instalarte."	0			
30	Q	[BLUE](The man smiles)[] Did you say the 'empty' temple? I am sure you are aware the temple isn't empty. It has belonged to the Imperial Religion since this city was built centuries ago. 	[BLUE](El hombre sonríe)[] ¿Has dicho templo 'vacio'? Estoy seguro de que sabes que no es así. Desde que se construyó hace siglos ha pertenecido a la Religión Imperial.	31			
31	A	Most of the people in town now worships The Three, and the temple is now empty day and night, except for a few nobles. Please consider it.	La mayoría de la ciudad adora a Los Tres, y el templo está vacío la mayoría del día. Por favor considéralo.	32			
31	A	You are an infidel, I see. And an obstacle to our plans. I warn you, if you don't do as I say, you'll regret it.	Ya veo que eres un infiel, y un obstáculo para nuestros planes. Te lo advierto, haz lo que te digo o te arrepentirás.	50			
31	A	Alright then.	Vale, de acuerdo.	0			
32	Q	Listen... Your petition is reasonable, but I can't do it. It's true most people worships The Three, and I know a healing house is really needed, especially by the poor. But I can't go and ask the King to anger most of the nobles in town, openly attacking a revered ancient tradition. 	Escucha... Tu petición es razonable, pero no puedo hacerlo. Es verdad que la mayoría de la gente adora a Los Tres, y una casa de curación ayudaría mucho, en especial a los pobres. Pero no puedo pedirle al rey que ponga furiosos a los nobles, atacando abiertamente una práctica reverenciada durante siglos.	33			
33	A	"There's ways to do it without you attacking the Imperial Religion. You could declare the temple open to all cults; in practice, the nobles would probably leave, and it'd become a temple of The Three. "	Hay formas de hacerlo sin atacar al culto actual. Podrías declarar el templo abierto a todos los cultos. Los nobles seguramente se irían de allí, y en la práctica se convertiría en un templo de Los Tres.	34			INT#3
33	A	I see, maybe if I compensate you for all the trouble...	Ya veo, quizá si te compenso por los problemas...	35			
33	A	I know you are a faithful of The Three, because otherwise you wouldn't even be listening to me at this point. I understand it is not easy, but you know inside your heart you must do this. It is the right thing for this city.	Sé que eres un creyente en Los Tres, porque de otro modo no me estarías escuchando y me habrías echado. Entiendo que no es fácil, pero tú sabes lo quee s correcto, y tú sabes lo que esta ciudad necesita.	34			PER#4
31	A	If I think of a way, I'll return.	Si se me ocurre alguna forma, lo itnentaré.	0			
34	Q	[BLUE](He narrows his eyes as he thinks, finally nods)[] Very well, I will try it. But I need to convince His Majesty that at least part of the most prominent citizens in New Garand agree to this. Bring me [BLUE]3 signed petitions[] from important people in town and it will be possible.	[BLUE](Piensa un momento y finalmente asiente)[] Muy bien, lo intentaré. Pero necesito convencer a Su Majestad de que al menos parte de los ciudadanos importantes de New Garand están de acuerdo. Tráeme [BLUE]3 peticiones firmadas[] de gente importante ene sta ciudad, y podré conseguirlo.	0		SetVariable#three_versus_eleven,20	
