index	type	text	text_ES	Go To	conditions	actions	
1	Q	Ah, it is the champion. Apparently nobody is bold enough to challenge you as of today, but who knows what will happen tomorrow.	Ah, es el campeón. Parece que nadie se atreve a desafiar tu dominio, pero quién sabe qué ocurrirá mañana.	0	VariableEqual#arena,100		
1	Q	Freedom, foreigner. I  offer you the opportunity of a lifetime: become a gladiator in the Arena. You'll earn money and fame, and more importantly, raise the spirits of the common folk of our fine Kingdom. I need one more gladiator to start the season. What do you say?	Libertad, extranjero. Te ofrezco una oportunidad única: conviértete en gladiador en la Arena. Conseguirás fama y fortuna, y lo más importante: animarás la moral de los ciudadanos comunes de nuestro gran Reino. Me falta un gladiador para comenzar la temporada. ¿Qué me dices?	2	VariableLower#arena,1		
1	Q	I am glad to see you, gladiator. Are you ready for a fight?	Me alegra verte, gladiador. ¿Estás listo para la pelea?	50	VariableLower#TMP_arena_fight,1		
1	Q	Already here? We're still cleaning up all the blood and gore from your last show. Try again tomorrow.	¿Ya estás de vuelta? Aun estamos limpiando la sangre y vísceras de tu último espectáculo. Prueba mañana.	0			
2	A	Not my thing, really, but thanks for asking.	No es lo mio, la verdad, pero gracias por preguntar.	0			
2	A	Murdering people for the amusement of the crowd? Disgusting.	¿Asesinar para divertir a la gente? Repugnante.	3			
2	A	I am intrigued. Tell me more.	Me puede interesar. Dime más.	5			
3	Q	Foreigners always believe their own reasons for killing are the only acceptable ones. [BLUE](Rolls his eyes)[]. But suit yourself, I guess I'll just call the Slavemaster to bring me one of those rebel captives instead.	Los extranjeros siempre pensáis que vuestras razones para matar son las únicas que valen [BLUE](Menea la cabeza)[]. Pero no importa, llamaré al Maestro de Esclavos y le pediré uno de esos rebeldes prisioneros.	4			
4	A	You'll force someone to enter the Arena? To avoid that I might be willing to take his position. Tell me more.	¿Vas a obligar a alguien a entrar en la Arena? Para evitarlo creo que debería ocupar su lugar. Dime más.	5			
5	Q	"Good, good. Foreigners are loved by the crowd, variety is excellent for business. There's really not much to explain; you walk in alone without any of your fancy items; we'll provide a variety of basic gear. Of course all fights are to the death, but I'm sure you already knew that. If you survive, you'll earn a nice gold reward."	"Bien, bien. Al público le encantan los extranjeros, la variedad es buena para el negocio. No hay mucho que explicar: entras solo y sin tus poderosos objetos; nosotros te daremos armas y armaduras básicas. Y por supuesto, todas las luchas son a muerte. Seguro que esa parte ya la sabías. Si sobrevives, ganarás una recompensa en oro."	6			
