index	type	text	text_ES	Go To	conditions	actions	
1	Q	[BLUE](This woman seems to be lost in meditation, but as you approach she looks at you and smiles gently)[] Welcome to this chapel. May The Three light your path.	[BLUE](Esta mujer parece perdida en sus meditaciones, pero cuando te acercas te sonríe con amabilidad)[] Te doy la bienvenida, que Los Tres iluminen tu camino.	2			
2	A	May They guide you as well. I don't want to interrupt your prayer.	Que Ellos te guíen. No quiero interrumpir tus oraciones.	3			
2	A	I seek training and guidance, your grace.	Busco entrenamiento y guía, excelencia.	100			
3	Q	No interruption at all, friend. I know you helped us greatly... You are the one that stopped Duremas, and also retrieved the book. I am very grateful for that service to out church.	No es ninguna interrupción, amigo. Sé que nos has ayudado con el problema causado por Duremas, y que recuperaste ese libro. Te estoy agradecida por tu servicio, personalmente.	4	VariableEqual#duremas_book,2		
3	Q	[BLUE](She nods and resumes her meditation)[]	[BLUE](Asiente y continua con su meditación)[]	0			
4	A	It had to be done, I merely did my part. But since you just brought this up, I'd like to ask about the matter of Duremas and that book.	Alguien debía detenerle, simplemente hice mi parte. Pero ya que lo mencionas, me gustaría preguntar acerca de Duremas y ese libro.	5			
4	A	It was my pleasure to help.	Fue un placer ayudar.	0			
5	Q	Indeed a disturbing matter, but I wouldn't worry too much about the ramblings of a madman. Of course I'll be happy to share what I know about it.	Es un asunto perturbador, pero yo no me preocuparía por los desvaríos de un loco. Por supuesto no tengo inconveniente en compartir lo que sé.	6			
6	A	What can you tell me about the book?	Qué puedes decirme del libro?	7	"VariableLower#TMP_bookburned,1;VariableLower#TMP_bookstory,1"		
6	A	I want to know more about Duremas.	Quiero saber más de Duremas.	30	VariableLower#TMP_duremasstory,1	SetVariable#TMP_duremasstory,1	
6	A	Tell me about the book being stolen and Duremas leaving.	Cuéntame cómo robó el libro y huyó.	40	VariableLower#TMP_robbery,1	SetVariable#TMP_robbery,1	
6	A	That's all, Reverend Mother. I take my leave now.	Eso es todo, Reverenda Madre. Me marcho.	0			
7	Q	"The Oppalan Frontier is nothing but an adventure novel; you've probably read it yourself. Its true value resides in its antiquity; it is a valuable source of information about the early Empire. "	"La Frontera de Oppala es sólo una novela de aventuras; seguramente te lo has leido. Su único valor reside en su antiguedad; es una fuente de información interesante acerca del Imperio antiguo."	8			
8	A	Can I read or borrow it?	¿Podría leerlo o llevármelo prestado?	9	VariableLower#TMP_bookburned,1	SetVariable#TMP_bookburned,1	
8	A	Tell me more about the story in the book.	Cuéntame más acerca de la historia que cuenta el libro.	12	VariableLower#TMP_bookstory,1	SetVariable#TMP_bookstory,1	
8	A	No more questions about the book, but let me ask something else...	No tengo más preguntas sobre el libro, pero déjame preguntar otra cosa...	21			
9	Q	I am afraid it was decided to burn it. The families of Duremas'victims wanted it to be destroyed, and the Church agreed to their request.	Me temo que se decidió quemarlo. Las familias de las víctimas de Duremas lo quisieron así, y accedimos a su petición.	10			
10	A	You... Burned it?! What about trying to figure it out what could have triggered Duremas' madness?	Lo habéis... ¿¡Quemado?! ¿No era mejor intentar averiguar qué enloqueció a Duremas?	11			
11	Q	Believe me, our sages went through the whole book and didn't find anything upsetting, much less mind-wrecking. Sadly, Duremas simply lost his sanity, there's nothing else to this.	Créeme, nuestros sabios examinaron el libro de arriba a abajo y no encontraron nada interesante, mucho menos perturbador. Duremas se volvió loco, nada más.	8			
12	Q	A very inane story. Jorum and his fellows learn the legend of the Numina Stones, and their incredible powers. In the end the four of them defeat an evil wizard and recover the stones, gaining great powers.	Una historia tonta. Jorum ys sus compañeros descubren la leyenda de las Piedras Númina y sus increibles poderes. Al final los cuatro derrotan a un mago malvado y recuperan las piedras, obteniendo gran poder.	13			
13	A	Who were his companions?	¿Quiénes eran sus compañeros?	14			
14	Q	[BLUE](She seems to be bored by the topic)[] Let me remember... I recall a powerful war priest, a wild sorcerer, and a gentle cleric which acted as healer. It's all very predictable and uninteresting.	[BLUE](Parece aburrida por el tema)[] A ver si lo recuerdo... Había un sacerdote guerrero, un hechicero, y una gentil clérigo que hacía de curandero.Todo muy predecible y nada interesante.	15			
15	A	Wait a minute... Did you just say war priest... And cleric healer? I thought only the priests of The Three had such powers.	Espera un minuto... Has dicho sacerdote guerrero y clérigo que curaba... Pensaba que solamente los clérigos de Los Tres podían hacer eso.	16	VariableLower#know_divinity,1	"GainXP#1000;SetVariable#know_divinity,1"	INT#2
15	A	I see. Let me ask something else.	Ya veo, déjame preguntar otra cosa.	20			
16	Q	Hmmm... exaggerations and nonsense, I am sure. [BLUE](She looks upset)[]. Everybody knows The Three is the only true faith.	Hmmm... Exageraciones y fantasías, estoy segura. [BLUE](Parece molesta)[]. Todo el mundo sabe que sólo hay una Fé Verdadera.	17			
17	A	Could these... Exaggerations have caused a crisis of faith? 	¿Podrían esas exageraciones haber causado una crisis de fe?	18			
18	Q	I seriously doubt it. Many of us have read the same book after all.	Lo dudo seriamente. Somos muchos los que hemos leido ese libro.	19			
19	A	I see. Let me ask something else.	Ya veo, déjame preguntar otra cosa.	20			
20	Q	Yes? What else about that book?	¿Sí? ¿Qué más acerca del libro?	8			
21	Q	Tell me what do you want to know.	Dime qué deseas saber.	6			
30	Q	Before his madness he was regarded as a great man, admired because of his humility, courage and dedication. For twenty years he was Guardian of the Faith, then became an instructor of the young priests.	Antes de su locura se le consideraba un gran hombre, admirado por su humildad, coraje y entrega. Durante veinte años fue Guardián de la Fé, para después convertirse en instructor de los jóvenes clérigos.	31			
31	A	Guardian of the Faith?	¿Guardián de la Fé?	32			
31	A	I see. Let me ask something else.	Ya veo. Déjame preguntar otra cosa.	21			
32	Q	It is a position of great authority. The Guardian is the ultimate judge regarding heresies and wrongness in the doctrine. If priests spread false teachings, the Guardian of Faith must put an end to it. He had to face many difficult situations.	Es una posición de gran autoridad. El Guardián es el juez definitivo respecto a herejías y enseñanzas equivocadas de nuestra Fé. Si clérigos defienden falsedades, él se encargaba de detenerles.  Tuvo muchas situaciones difíciles.	33			
33	A	Such as?	¿Como cual?	34			
33	A	No offense intended but religious hierarchy is not my thing. I'll just run somewhere and hack into some monsters.	No te ofendas pero la jerarquía eclesiástica no es lo mio, me voy corriendo a dar hachazos a algún monstruo.	0			
