index	type	text	text_ES	Go To	conditions	actions	
1	Q	Thanks again, friend. Time to return to New Garand and study the Codex in the Great Library.	Gracias de nuevo, amigo. Hora de regresar a New Garand y estudiar el Códice en la Gran Biblioteca.	0	VariableEqual#lost_codex,100		
1	Q	"The Codex! Great lore about the Empire and Andoria will come from studying this codex. Please accept this gold; I will make sure the name of the true finder of this treasure is well known across the Kingdoms."	¡El Códice! Aprenderemos mucho sobre el Imperio y Andoria estudiando este códice. Por favor, acepta este oro. Me aseguraré de que el nombre del que encontró el códice sea conocido en los Reinos.	0	"VariableGreater#lost_codex,0;VariableLower#lost_codex,100;PlayerHasItem#2626"	"SetVariable#lost_codex,100;LoseItem#2626;GainXP#6000;GainGold#3000;IncVariable#REP_varsilia,5;IncVariable#REP_mercia,5;IncVariable#REP_ilmara,5;IncVariable#REP_thuram,5;IncVariable#REP_loreseekers,5"	
1	Q	Hello again, I won't blame you if you give up on trying to locate the codex. I don't think anything can survive the Wastes.	Hola de nuevo, no te culparé si abandonas y no encuentras el códice. No creo que nada pueda sobrevivir a los Páramos.	0	"VariableGreater#lost_codex,0;VariableLower#lost_codex,100"		
1	Q	Adventurers here? Unbelievable. I thought we were the only fools daring to get so close to the Wastes. Feel free to rest here and sleep if you need to.	¿Aventureros aquí? Sorprendente. Pensaba que éramos los únicos locos que se acercarían tanto a los Páramos. Si necesitas descansar, eres bienvenido.	2			
2	A	Sorry I must be on my way.	Lo siento, me debo marchar.	0			
2	A	Greetings. Who are you?	Saludos, ¿Quién eres tú?	3			
3	Q	[BLUE](She speaks without pride, her eyes cast down)[]Derina Gasham, Royal Loreseeker in charge of the Codex Expedition. Or, more accurately, what is left of it. We failed in our mission and were planning our return to New Garand.	"[BLUE](Habla sin orgullo, bajando la vista)[]Derina Gasham, Buscadora de Secretos Real, al mando de la Expedición del Códice. O, más bien, lo que queda de ella. Hemos fallado; estamos planeando nuestro regreso a New Garand."	4			
4	A	Tell me about your mission.	Háblame de tu misión.	5			
5	Q	A year ago I discovered some old records in the Great Library about a legendary Loreseeker from many centuries ago: Mathris the Seafarer. In the old Empire he was a famous cartographer and scholar of the magical arts.	Hace un año encontré en la Gran biblioteca un antiguo libro que hablaba de un famoso Buscador de Secretos que vivió hace muchos siglos: Mathris el Navegante. En el viejo Imperio era un famoso cartógrafo y estudioso de las artes mágicas.	6			
6	A	How's that related to the Wastes?	y ¿Eso qué tiene que ver con los Páramos?	7			
6	A	Woah woah woah. I stopped listening at 'library'. Give me a short version and I might be able to help.	Para, para, para. Te he dejado de escuchar en 'biblioteca'. Hazme un resumen y quizá te ayude.	20			
7	Q	"A lot, as you'll see. The old text narrated how Mathris was sailing uncharted waters when he observed a strange magical storm that didn't seem to move. He ordered the sailors to approach it, and he discovered there was land inside. He didn't want to risk his frigate, so he decided to jump onto a boat to disembark; he ordered his men to wait for three days then sail back to Anthur."	Mucho, ya lo verás. Mathris navegaba mares inexplorados cuando descubrió una extraña tormenta mágica que no se movía. Ordeno a los marineros aproximarse, y vieron que en su interior había tierra. Mathris no quería arriesgar su fragata, así que decidió desembarcar en un bote. Ordenó a sus marineros que si no regresaba en tres días, zarpasen hacia Anthur.	8			
8	A	Sounds brave... And foolish.	Suena valiente... Y estúpido.	9			
9	Q	Indeed: he never came back, and the crew obeyed his orders, with eyes full of tears. Not only the Loreseeker was lost, but also his great Codex: the work of a lifetime in which he had recorded great secrets and knowledge. The 'Mathrisian Codex' became over the next centuries a famous hyperbole expression, referring to something lost.	Cierto: jamás regresó. La tripulación obedeció y se marchó a los tres días, entre lágrimas. No solo el gran Buscador se había perdido, sino también su gran Códice que contenía la obra de una vida, secretos que nunca se desvelarían. Desde entonces se usa la expresión 'Códice Mathrisiano' pare referirse de forma exagerada a algo que se ha perdido.	10			
10	A	Yeah I've heard that expression before, yet I had no idea where it came from. But it's hard to believe there were no copies of that book.	He oido esa expresión antes, sin saber de dónde procedía. Pero es difícil de creer que no hubiera copias de ese libro.	11			
11	Q	"Imperial Loreseekers were not mere bookworms like us. They chose a certain subject to study and then spent decades travelling and researching about it, jealously recording the knowledge they found into a Codex; after they felt it was complete, they made the codex public, becoming Loremasters."	Los Buscadores Imperiales no eran ratones de biblioteca como nosotros. Escogían un tema y durante décadas viajaban e investigaban, registrando todo en un códice. Cuando terminaban, regresaban y mostraban públicamente su obra, convirtiéndose en Maestros del Conocimiento.	12			
12	A	All this is fascinating but... What does it have to do with us?	Es fascinante pero ¿Qué tiene que ver con nosotros?	13			
13	Q	I studied carefully the description of that land inside the storm and found it was the Ashen Cape, here in Varannar! That's why I was sent here to retrieve any remains, and especially the Mathrisian Codex. As we have heard the tales about the Ashen Wastes, the Wizard's Guild built for us several golems, able to endure any elemental damage.	He estudiado cuidadosamente la descripción de esa tierra y estoy segura de que es el Cabo de Cenizas, aquí en Varannar! Por eso se me envió para recuperar cualquier resto, especialmente el Códice Mathrisiano. Sabemos lo que se dice de los Páramos, así que el Gremio de Magos nos fabricó unos poderosos golems, capaces de resistir cualquier elemento.	14			
14	A	And I see you arrived to the entrance to the Wastes. What happened then?	Y veo que llegásteis a la entrada de los Páramos. ¿Qué pasó entonces?	15			
15	Q	The golems were truly wondrous: I was also able to see through their eyes, making them the perfect scouts. I sent them south, and watched their progress through a crystal ball. The magical radiation in that place is terrible, I could barely see anything and the golems were taking damage, but they marched on.	"Los golems eran magníficos, era capaz de ver a través de sus ojos por una bola de cristal. Les envié al sur y marcharon; la radiación mágica era muy fuerte y veía todo borroso en mi bola. Tan fuerte que incluso dañaba a los golems, pero continuaron."	16			
16	A	... And let me guess, they never returned, just like Mathris.	... Y déjame adivinar, nunca regresaron, igual que Mathris.	17			
17	Q	I could barely see anything through the crystal ball, so I was about to order them to return. Just then several large shadows surrounded them, then nothing. It is time for us to return to New Garand and admit my failure. My bad judgement has costed the Loreseekers an expedition worth a million gold coins, and all for nothing.	Apenas veía nada a través de la bola de cristal, así que iba a ordenarles regresar. Entonces varias grandes sombras aparecieron a su alrededor, y no vi más. Es hora de regresar a New Garand a reconocer mi fracaso. Mis errores le han costado a los Buscadores de Secretos una expedición de más de un millón de monedas de oro, a cambio de nada.	18		GainXP#500	
18	A	I am headed south, so maybe I could investigate.	Voy al sur, así que puedo investigar.	19			
19	Q	I advise you to turn back, as those Wastes mean death for anyone. Yet if you wish to go on and you somehow manage to retrieve the Codex, at least all this wouldn't have been in vain. If it still exists, I suppose Mathris' remains will not be far from the coast at the Ashen Cape.	Te recomiendo que te des la vuelta ya que esos Páramos son la muerte. Aun así si decides continuar y encuentras el Códice, todo esto no habrá sido en vano. Si aun existen los restos de Mathris, seguramente estén cerca de la costa en el Cabo de Cenizas.	21		SetVariable#lost_codex,10	
20	Q	Alright... I am trying to recover a valuable tome, the Mathrisian Codex, which is somewhere in the Ashen Cape to the south-east. I sent several powerful golems but they were destroyed by some unknown threat.	De acuerdo... Intentábamos recuperar un valioso tomo, el Códice Mathrisiano, en algún lugar del Cabo de Cenizas al sudeste. Envié a un grupo de poderosos golems pero fueron aniquilados por enemigos desconocidos.	18			
21	A	If I find anything, I'll bring it back.	Si encuentro algo, volveré.	0			
21	A	Any suggestion about how to survive in such a place?	¿Alguna sugerencia para sobrevivir en ese lugar?	22			INT#2
