index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](This old wizened man looks you up and down disapprovingly)[] Welcome to the Great Library. I hope you understand this is a place for study and not a battlefield or a dungeon.	[BLUE](Este anciano te mira de arriba a abajo con cara de pocos amigos)[] Bienvenido a la gran biblioteca. Espero que entiendas que este es un lugar de estudio, y no un campo de batalla o una mazmorra.	2	VariableLower#talked_librarian,1	SetVariable#talked_librarian,1
1	Q	Welcome back to town, my friend. You'll be happy to hear that I found some information about that Arch-Mage.	Bienvenido a la ciudad, amigo. Te alegrará saber que he encontrado alguna información acerca de ese Archimago.	11	"VariableEqual#key_to_past,15;PlayerHasItems#1001,2"	
1	Q	Hello again. I'm still trying to find the information you requested. Sorry, I'm busy now.	Hola de nuevo. Sigo trabajando en la información que me pediste. Por favor, vuelve otro día.	0	VariableEqual#key_to_past,15	
1	Q	Welcome back to town, my friend. I have been researching about The Forsaken through the whole library, and found almost nothing. The little information I have is very old, I am afraid.	Bienvenido a la ciudad, amigo. He investigado acerca de Los Olvidados, por toda la biblioteca. Pero me temo que apenas hay nada, y lo poco que he encontrado es demasiado antiguo, me temo.	13	"VariableEqual#where_is_amarisa,25;PlayerHasItems#1005,3"	
1	Q	Hello again. I'm still trying to find the information you requested. Sorry, I'm busy now.	Hola de nuevo. Sigo trabajando en la información que me pediste. Por favor, vuelve otro día.	0	VariableEqual#where_is_amarisa,25	
1	Q	Hello again. What is it, I'm kind of busy.	Hola de nuevo. Estoy algo ocupado.	5		
2	A	Huh? If it's not a battlefield, stop acting so agressive, old man.	¿Huh? Si no es un campo de batalla, deja de ser tan agresivo, anciano.	3		
2	A	Thank you, sir. I will of course remember that. May I inquire who are you?	Gracias, lo recordaré. ¿Puedo preguntar quien eres?	4		
2	A	Sure... Goodbye	De acuerdo... Adiós.	0		
3	Q	Hmph. Is that the way to address the Master Librarian? You certainly have much to learn, young one.	Hum. ¿Es esa la forma de dirigirte al Maestro Bibliotecario? Tienes mucho que aprender, joven.	0		DecVariable#REP_loreseekers,3
4	Q	I am the Master Librarian, in charge of keeping this library in order, and conducting reaearch on the Loreseekers' archives.	Soy el Maestro Bibliotecario, a cargo de esta biblioteca, y encargado de los archivos de los Buscadores de Secretos.	5		
5	A	There are things I may want to research in this library. Maybe you could help me.	Hay cosas que podría querer investigar en esta biblioteca. Quizá puedas ayudarme.	7		
5	A	So this library can only be used by Loreseekers? Or it's open to anyone? 	Entonces, esta biblioteca, ¿Es sólo para Buscadores de Secretos? ¿o puede consultarla cualquiera?	6	VariableLower#library_open,1	SetVariable#library_open,1
5	A	I have to go now.	Me tengo que marchar.	0		
6	Q	We Loreseekers share our knowledge when possible. Everyone can use the library. However, most of the volumes are written in Ancient Imperial language, and takes a lifetime to know all our books, so without our help...	Nosotros los Buscadores compartimos nuestros conocimientos. Todo el mundo puede consultar la biblioteca. Pero la mayoría de libros están escritos en Antiguo Imperial, y te llevaría toda una vida conocer esta biblioteca, así que sin nuestra ayuda...	5		
7	Q	Of course, for a friend like you, I will. The Library rules say that I have to ask for some payment, however.	Por supuesto, por un amigo como tú, no hay problema. Aunque según las normas de la Biblioteca, debo pedir algo a cambio.	8	VariableGreater#REP_loreseekers,9	
7	Q	Well, I certainly could. But researching takes days, or weeks, and I'll only invest such an effort for a fellow Loreseeker, or at least a friend of our order [BLUE](You need a 'Friendly' reputation with the Loreseekers)[]	Desde luego, podría. Pero eso puede llevar días, o semanas, y sólo haría un esfuerzo así por un compañero Buscador, o un aliado. [BLUE](Necesitas una reputación de 'Amigable' los Buscadores de Secretos)[]	0		
