index	type	text	text_ES	Go To	conditions	actions
1	Q	I see that you bring the Silvery Mace. That means Glaydan's spirit finally rests in peace. I also feel that you are, like me, a Priest of the Three, even if you live as an adventurer. So keep the Silvery Mace as your reward, and wield it proudly, my friend.	Veo que traes la Maza Plateada. Eso significa que el espíritu de Glaydan descansa en paz. Puedo sentir que, aunque vives como aventurero, eres uno de los bendecidos de Los Tres. Por tanto que la Maza Plateada sea tu recompensa. Llévala con orgullo.	0	"VariableGreater#initiates_end,10;VariableLower#initiates_end,100;PlayerHasItem#586;PlayerIsClass#priest"	"SetVariable#initiates_end,100;IncVariable#REP_the_three,4;GainXP#280"
1	Q	I see that you bring the Silvery Mace. That means Glaydan's spirit finally rests in peace. You incurred in great danger for this, so I offer you an amulet as reward.	Veo que traes la Maza Plateada. Eso significa que el espíritu de Glaydan descansa en paz. Corriste un gran peligro para lograrlo, así que te ofrezco un amuleto como recompensa.	0	"VariableGreater#initiates_end,10;VariableLower#initiates_end,100;PlayerHasItem#586"	"SetVariable#initiates_end,100;LoseItem#586;IncVariable#REP_the_three,4;GainXP#280;GainItem#4000"
1	Q	Welcome again. Remember I still wait for you to find out what happened to Initiate Glaydan, and recover the [BLUE]Silvery Mace[]	Bienvenido de nuevo. Recuerda que aun espero que encuentres los restos del Iniciado Glaydan y recuperes la [BLUE]Maza Plateada[] .	2	VariableEqual#initiates_end,10	
1	Q	[BLUE](the woman salutes and smiles)[] Welcome to the shrine of The Three. May they give you light. 	[BLUE](la mujer sonrie y hace una reverencia)[] Bienvenido a la Capilla de Los Tres. Que ellos te iluminen.	2		
2	A	I require healing	Necesito curación.	3		
2	A	Can you answer some questions about The Three?	¿Puedes responderme algunas preguntas acerca de Los Tres?	8		
2	A	Can I be of service to The Three?	¿Hay algún trabajo que pueda hacer para Los Tres?	21	VariableLower#initiates_end,10	
2	A	Goodbye	Adiós	0		
3	Q	I can heal you, in exchange of a small contribution to our Shrine. 	Puedo curarte, a cambio de una pequeña contribución a esta Capilla. 	4		
4	A	Here is a small donation. Please heal me. [BLUE](Pay 25 gold coins, be healed for 25hp)[]	Aquí tienes un pequeño donativo. Por favor cúrame. [BLUE](Pagar 25 monedas, curar 25hp)[]	5	PlayerHasGold#25	"GainHP#25;LoseGold#25"
4	A	I wish to make a large donation then. Please heal me. [BLUE](Pay 60 gold coins, be healed for 80hp)[]	Voy a hacer una buena donación. Por favor cúrame. [BLUE](Pagar 60 monedas, curar 80hp)[]	5	PlayerHasGold#60	"GainHP#80;LoseGold#60"
4	A	Not at the moment thanks. I better be on my way.	Ahora no, gracias. Mejor me marcho.	0		
5	Q	By the Power of Arbenos, Thelume and Nivaria, be healed of your wounds!	¡Por el poder de Arbenos, Thelume y Nivaria, que tus heridas se cierren!	0		
8	Q	[BLUE](the woman smiles warmly)[] You're honestly asking a priest, if she can talk about her faith? Just ask away, it's my duty and my pleasure to answer your questions.	[BLUE](la mujer sonríecálidamente)[] ¿Le preguntas a un clérigo si puede hablar de su Fe? Claro que sí. Pregunta.	9		
9	A	Are The Three equal as gods, or one is mightier than the others?	¿Son Los Tres iguales como dioses, o hay alguno por encima de los demás?	10	VariableLower#know_arbenos,1	
9	A	I don't want to be rude, but this shrine is not very impressive. Why don't The Three have a bigger temple?	No quiero ser maleducado, pero esta capilla no parece gran cosa. ¿Por qué Los Tres no tienen un templo más grande?	18		
9	A	Are there other temples here in Kingsbridge?	¿Hay otros templos aquí en Kingsbridge?	20		
10	Q	The Book of the Moon teaches that The Three were once mortals, but only together they Ascended. There can't be just one of them, without the others. So Arbenos might be the strongest warrior, but only because the other Two exist as well.	El Libro de la Luna nos enseña que Los Tres fueron una vez mortales, pero sólo juntos lograron Ascender. Por eso no se puede entender a uno sin los otros. Arbenos puede ser el más fuerte, pero sólo porque los otros Dos existen.	11		
11	A	Arbenos. That is the Warrior God of The Three, right?	Arbenos es el Dios Guerrero de Los Tres, verdad?	12		
12	Q	There is nothing divine in war, but yes, Arbenos is The Warrior. The Champion of Justice and defender of the innocent. He defeated the Sorcerer Queen of Orogg, and took in his chest her evil spell of Doom, which would have destroyed the whole Kingdom. 	No hay nada divino en la guerra. Pero sí, Arbenos es un guerrero. Es el defensor de la justicia, el campeón de los indefensos. Es él quien derrotó a la Reina-Hechicera de Orogg, recibiendo en su pecho el hechizo de Destrucción que iba a arrasar todo el Reino. 	13		
13	A	And what happened then?	¿Y qué ocurrió entonces?	14		
13	A	This is fascinating but I really must be going.	Fascinante, pero me tengo que ir.	0		
14	Q	He is a God, so he did not die. But he grew weary, and left to find some rest. It is said, that Arbenos meditates and heals, somewhere in the highest peaks of the Thyr Mountains, until humanity once more needs a Champion	Es un Dios, y por tanto sobrevivió. Pero una gran fatiga se apoderó de Él, y se retiró a meditar, en algún lugar. Se dice que, quizá Arbenos está en las cimas más altas de los Montes Thyr, hasta el día en que la humanidad vuelva a necesitar de un Campeón.	15		"SetVariable#know_arbenos,1;GainXP#40"
15	A	Answer another question for me, please.	Respóndeme a otra cosa, por favor.	16		
15	A	Thanks. That's enough teachings for now. I must be going.	Gracias. Suficiente lección por ahora. Debo marcharme.	0		
16	Q	What else do you want to know?	¿Qué más deseas saber?	9		
18	Q	[BLUE](the woman chuckles)[] A fair question. Here in Varsilia, the common people mostly worship The Three. But the nobles stick with the old Imperial Religion. They don't trust us very much. So they don't allow us to build temples.	[BLUE](La mujer rie)[] Una pregunta razonable. La mayoría de la gente adora a Los Tres, pero no los nobles. Ellos siguen venerando la absurda Religión Imperial, y no confían en nosotros. Por eso no nos permiten construir templos.	15		
20	Q	No. The Imperial Religion had a large chapel, but it was razed by the Mercians seven years ago and no one bothered to rebuild it, it seems. Only a few old nobles follow the dead cult, nowadays. I am glad the people are no longer fooled by such blather.	No, la religión Imperial tenía una gran capilla, pero fué quemada por los mercios en la última guerra, hace 7 años. Hoy día sólo unos pocos viejos nobles siguen esa falsa religión, me alegro de que la gente ya no escuche tales supersticiones.	15		
21	Q	In fact, yes. I can not abandon my post here, and I need someone to find out what happened to Initiate Glaydan.	De hecho, sí. Yo no puedo abandonar mi puesto, y necesito que alguien averigue qué le ocurrió al Iniciado Glaydan	22		
22	A	Tell me how did he disappear.	Cuéntame cómo desapareció.	23		
22	A	Sorry but that's a job I can't do right now.	Lo siento pero ahora mismo no puedo hacer ese trabajo.	0		
23	Q	He was on a quest to retrieve a valuable relic, the Silvery Mace. He explored the Inori Desert for weeks, until I received a letter from him. It was good news: he had recovered the mace, and would arrive here in a couple days. But the next night, I was visited in dreams by his restless spirit. I am certain he died.	Estaba en una misión, tratando de recuperar una antigua reliquia: la maza plateada. Pasó semanas explorando el Desierto Inori en su busca, hasta que finalmente recibí una carta con buenas noticias: había recuperado la maza, y estaría aquí en pocos días. Pero en lugar de eso, se me apareció su espíritu al día siguiente. Estoy segura de que ha muerto.	24		
