index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Ах ты мошенник! Мои осведомители в Нью-Гаранде видели, как ты посещал моего заказчика книги, решил обмануть меня и присвоить себе награду? Сейчас ты поплатишься за своё вероломство!	po.	23	VariableEqual#troubles_from_knowledge,100		
1	Q	Неожидал что тебе удасться добыть книгу, я надеялся, что ты лишь отвлечешь внимание на себя, пока я телепортируюсь со своей охраной в библиотеку и заберу добычу. Чтож, а теперь отдавай книгу, извини, но делиться наградой с проходимцами я не собираюсь. Отдавай добровольно, или я телепортирую сюда своих наёмников, которые возьмут мою книгу силой.	po.	20	PlayerHasItem#10173		
1	Q	Надеюсь ты хорошо подготовился, перед тем как отправишься в путь. Когда добудешь книгу, возвращайся сюда!	po.	0	VariableGreater#troubles_from_knowledge,10		
1	Q	Ты передумал? Мне всё ещё нужен геройский помощник!	po?	4	VariableEqual#troubles_from_knowledge,10		
1	Q	[BLUE](этот странный мужчина, по виду маг, почему-то явно хочет держаться в отдельности от жителей поселения)[]	[BLUE](po)[]	2			
2	A	Я могу вам чем-то помочь?	¿po?	3			
2	A	[BLUE](не обращать на него внимание)[]	[BLUE](Ignorarle)[]	0			
3	Q	О, первое новое лицо за несколько проведенных мною дней в этом глухомани! Я очень рад этой встречи, так как мне нужна помощь, а никто из местных жителей не обладает чертой геройства.	po.	4			
4	A	И с какой целью тебе понадобился герой?	po.	5			
5	Q	Если вкратце, я взялся за одну работёнку в Нью-Гаранде - отыскать редкую книгу потерянных знаний о древней магии, следуя по следу её перемещения, я оказался в этих местах. Иследую окрестности и общаясь с людьми, мне удалось кое-кого подкупить и узнать о местонахождении книги.	po.	6			
6	A	Если тебе известно, где находится книга, то почему ты сам не заберёшь её?	po.	8			
8	Q	Потому что книга находится в библиотеке одной крепости под охраной большого отряда небесных рыцарей и их колдунов, а я не настолько могущий маг, чтобы справится со всеми ними. Теперь понимаешь для чего мне нужен отважный герой, в Нью-Гаранде за эту книгу мне гарантировано более[BLUE]8000 монет[], которые мы разделем пополам, если поможешь мне. 	po.	9			
9	A	Прежде чем я соглашусь, что ты знаешь об этих небесных рыцарях охраняющих книгу? 	po.	10			
9	A	Звучит опасно, я пожалуй откажусь.	po.	15			
10	Q	Небесные рыцари это орден весьма фанатичных и агрессивных воинов, захватывающие и осваювающие эти места уже несколько месецев, но так и неизвестно откуда они прибыли. Они довольно опасные, крепкие бойцы.	po.	11			
11	A	Как я смогу пробраться в эту крепость, и где она находится?	po.	14			
14	Q	Крепость расположена на северо-востоке от сюда, в местности называемую здесь "Сокрытом платом", тебе нужно сначала добраться до озерного форта, где один знакомый лодочник перевезет на тот берег, а насчёт как проникнуть внутрь, если ты достаточно могущ, то можешь попытать прорваться через охрану, но ходят слухи, что под этой крепостью есть подземелья, если сможешь найти вход, то тебе, возможно, незаметно удасться добраться до библиотеки.	po.	0		SetVariable#troubles_from_knowledge,20	
15	Q	Я тебя понимаю, надеюсь мне удасться найти более отважного помощника.	po.	0		SetVariable#troubles_from_knowledge,10		
20	A	Хорошо, вот твоя гребаная книга.	po.	21			
20	A	Я дрался с небесными рыцарями, думаешь, что я не справлюсь с тобой и с кем бы не были твоими наёмниками?	po.	22			
21	Q	Правильный выбор. Ничего личного, в следующий раз будь осторожен имея дела с незнакомцами.	po.	0		"NPCDespawn#mighty_wizard4;SetVariable#troubles_from_knowledge,120;LoseItem#10173;GainXP#600"	
22	Q	Ты пожелеешь о своём решении.	po.	0		"NPCSpawn#albeno_eknight;NPCHostile#mighty_wizard4;SetVariable#troubles_from_knowledge,90"	
23	A	Эй, мы же можем мирно разобраться с этом недоразумении?	po.	24			PER#2
23	A	Ну попробуй преподать мне урок, если хватит силёнок!	po.	27			
24	Q	Чтож, если у тебя найдётся [BLUE]8000 монет[], мы сможем договориться.	po.	25			
25	A	Конечто, ты возмёшь эти деньги и разойдёмся с миром?	po.	26	PlayerHasGold#8000	
25	A	А не слишком ли это многовато для тебя? Может мне проще будет решить эту проблему по-твоему?	po.	27			
26	Q	Ладно, так и быть, надеюсь, снова не увидемся, при следующей встречи я не буду таким добродушным.	po.	0		"NPCDespawn#mighty_wizard4;SetVariable#troubles_from_knowledge,120;loseGold#8000;GainXP#300"	
27	Q	Ты пожелеешь о своём решении.	po.	0		"NPCSpawn#albeno_eknight;NPCHostile#mighty_wizard4;SetVariable#troubles_from_knowledge,110"	
