index	type	text	text_ES	Go To	conditions	actions
1	Q	Greetings, Impiri. Impiri brave and strong, spirits whisper.	Saludos, Impiri. Impiri fuerte y sin miedo, espíritus susurran.	2	VariableGreater#father_wolves,10	
1	Q	[BLUE](As you show him the twisted heart of the beast, the man's jaw drops, then he looks at you with admiration)[] Wolf-father's heart! I will burn it for the old spirits, black wolves will become dumb beasts again,easy prey for us. You deserve a hunter's weapon, take mine.	[BLUE](Cuando le muestras el corazón retorcido de la bestia, el hombre se queda boquiabierto y luego te mira con admiración)[] ¡El corazón del padre-lobo! Lo quemaré por los Viejos Espíritus, los lobos negros volverán a ser bestias estúpidas, presa fácil para nosotros. Te mereces el arma de un cazador, toma la mía.	0	PlayerHasItem#1026	"LoseItem#1026;SetVariable#father_wolves,100;GainItem#776;IncVariable#REP_varannari,5;GainXP#2000"
1	Q	[BLUE](The native trader is surrounded by various pelts, jars and bottles. His knowledge of the Imperial tongue is poor, but his gestures make up for it)[]. Three Claws welcome Impiri. Beware the evil-wolves!	[BLUE](El comerciante nativo está rodeado de varias pieles, jarras y botellas. Su conocimiento de la lengua imperial es pobre, pero sus gestos lo compensan.)[]. Tres Garras dan la bienvenida a Impiri. ¡Cuidado con los lobos malvados!	2		
2	A	Greetings. Yes, I've observed some strange looking wolves in this area.	Saludos. Sí, he observado algunos lobos de axpecto extraño en la región...	20	VariableLower#father_wolves,10	
2	A	Do you have anything for sale?	¿Tienes algo a la venta?	0		openshop#
2	A	I have some wolf pelts.	Tengo pieles de lobo.	4		
2	A	I have these deformed wolf skulls...	Tengo estos craneos deformados de lobo...	3	PlayerHasItem#1025	
2	A	I need to go.	Me tengo que ir.	0		
3	Q	Very evil, but very mighty. I powder three of them, you pay [BLUE]100 impiri gold[] and I make potion for you.	Malvados, pero poderosos... Yo machaco huesos, tu pagas [BLUE]100 monedas impiri[] y yo hacer poción.	30		
4	Q	[BLUE](The man smiles)[] Three-Claws great trader, only buys big stacks of pelts. Ten damaged, Five perfect, or three white ones. Otherwise go find lesser trader. You trade?	[BLUE](El hombre sonrie)[] tres-garras gran comerciante, solo compra pilas grandes de pieles. Diez dañadas, cinco perfectas, o tres blancas. Tú tener?	5		
5	A	Yes, I have three white wolf pelts	Sí, tengo tres pieles de lobo blanco.	12	playerhasitems#1004,3	
5	A	Yes, I have five perfect ones, very precious.	Sí, tengo estas cinco pieles perfectas, muy valiosas.	6	playerhasitems#1003,5	
5	A	Yes, I have ten damaged ones, but still useful.	Sí, tengo diez pieles, dañadas, pero fuertes.	8	playerhasitems#1002,10	
5	A	No, sorry, I don't have enough wolf pelts.	no, lo siento, no tengo pieles de lobo suficientes.	11		
6	Q	I offer you [BLUE]500 gold[] for them.	Te doy [BLUE]500 monedas[] por ellas.	7		
7	A	Deal!	Trato hecho!	4		"loseitems#1003,5;gainGold#500"
7	A	No, thanks	No gracias.	11		
8	Q	I offer you [BLUE]200 gold[] for them.	Te doy [BLUE]200 monedas[] por ellas.	9		
9	A	Deal!	Trato hecho!	4		"loseitems#1002,10;gainGold#200"
9	A	No, thanks	No gracias.	11		
11	Q	Too bad. Safe travels then.	Lástima. Buen viaje entonces.	0		
12	Q	I offer you [BLUE]450 gold[] for them.	Te doy [BLUE]450 monedas[] por ellas.	13		
13	A	Deal!	Trato hecho!	4		"loseitems#1004,3;gainGold#450"
13	A	No, thanks	No gracias.	11		
20	Q	Yes! Worg, and Black Wolf, smells like demon, not beast. Can't be eaten. They attack children and old people at night, kill, then flee... They hide from hunters during day. It's evil witchery...	¡Sí! Wargo y Lobo Negro huelen a demonio, no a animal. Atacan de noche, matan niños o ancianos y huyen, esconder de cazadores durante día. Es... Hechicería.	21		
21	A	That sounds like a problem. Can't your hunters get rid of them?	Suena problemático. ¿Vuestros cazadores no pueden encargarse?	22		
22	Q	Hunters kill black wolf, hunters kill worg, but hunters can't find the evil wolf-father. More black wolves breed, again and again.	Cazadores matan lobos negros o Wargo, pero no encontrar Padre-de-lobos. Más lobos negros aparecer.	23		
23	A	A father of evil wolves? I'll keep my eyes open. If I find it and kill it, I'll let you know.	El padre malvado de los lobos... Tendré cuidado y si lo encuentro, intentaré destruirlo.	24		
24	Q	Beware of witches, Impiri!	¡Cuidado con las brujas, Impiri!	0		SetVariable#father_wolves,10
30	A	Deal! Here are the ingredients.	¡Trato hecho! Aquí está lo que pides.	0	"PlayerHasItems#1025,3;PlayerHasGold#100"	"LoseItems#1025,3;LoseGold#100;GainItem#5032"
30	A	Maybe another time.	Quizá en otro momento.	0		
