index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](elderly wizard was examining some scrolls on a table, and when you entered, he continued his work calmly, only speaking softly)[] I expected that one of those he sends after me would eventually find this refuge. Well, before you begin the dirty work for which you are paid, let's have a little conversation..	port	2			
2	A	What should I talk to you about, necromancer?	port.	3		
3	Q	Well, first of all, I have nothing to do with necromancy. I'm just an ordinary mage who found out something that no one except a select few should have known, and now they're trying to shut me up and make me the scapegoat for the mess in the sewers.	port	4		
4	A	Why would the governor go to such lengths to silence an ordinary mage? And what is this terrible secret that gives him a reason to hunt you down?	port.	5		
5	Q	The secret is that our king is not who his entourage is trying to present to the public. You've probably heard that the king has lived for over a century and a half due to his pure bloodline from an ancient imperial family, but why would someone as long-lived as the king's firstborn die at the age of 40 from a blood disease? No, all this nonsense about an ancient family is just a facade for the public, hiding the ugly truth about the real reasons for the king's incredibly long life.	port	6		
6	A	If it's such a big secret, how did an ordinary magician manage to find out about it?	port.	7		
7	Q	Kind people who also do not want to put up with this lie have given me hints, and based on them, I have discovered real evidence of the abomination that is taking place in the depths of the royal castle. I was lucky enough to escape, but many others before me have fallen victim to maintaining the deception that hides the terrible reality.	port	8		
8	A	Well, I've been warned that you'll try to confuse me with your lies.	port	9		
9	Q	It's up to you to believe me or not. I've already accepted my fate, but I hope that one day, people stronger and braver than me will reveal the truth about our king to the entire kingdom and stand up against him. Hmm, the governor will likely require some proof of my death, and I wonder how much you'll have to desecrate my corpse.	port	10		
10	A	He asked for your special spell book and nothing more.	port.	11		
11	Q	My book? Well, of course, that vile treatise I stole from him, that's why he's doing all this, eager to get it back. [BLUE](the elderly wizard put the scrolls aside and stood up from the table, picking up his staff)[] I think the time for discussion is over. Although I've accepted my fate, I'm not going to give up my life just like that. If you're lucky today, I hope you'll see the light one day.	port	12		
12	A	[BLUE](elderly wizard has launched an attack, and you have no choice but to fight him.!)[]	port	0		"SetVariable#true_lie,20;NPCHostile#necromancer;NPCHostile#golems"
