index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](богато одетый мужчина)[] Увидемся в Истриле.	port	0	"VariableEqual#one_way_road,10"		
1	Q	[BLUE](богато одетый мужчина)[] Добро пожаловать в наше королевство, заморские гости редко заглядывают к нам, хотя времена правления ужасов давно ушли, и мы, восстав из руин, воссоздаем былое величие империи. По дороге на юг вы можете попасть в Истриль - столицу королевства, оберегаемое нашим светлейшим и вечным королём Калионом Первым, которому вот уже сто сорок лет от роду.	port	2		
2	A	Сто сорок лет?! Невероятно! Как подобное возможно?	port.	3		
3	Q	Наш король чистокровный представитель древнейшего имперского рода, отличающийся подобным долголетием, нет ничего удивительного, что его светлость, прожив несколько поколений, остаётся всё также крепок умом и телом, как в годы своей юности. Советую посетить столицу нашего королевства или другие поселении, если ищете работу, или собираетесь что-то купить и продать.	port	4		
4	A	Хорошо, обязательно так и поступлю.	port.	5		
5	Q	Но должен предупредить вас, хоть наши бравые воины оберегают покой королевства,  вдали от городов небезопасно находится. Кроме этого, пригород Истриля находится в осаде существ, ранее не виданных в наших землях, восточные края опасны из-за темного проклятия, и в северной части королевства хозяйничают весьма враждебные Небесные рыцари.	port	6		
6	A	Что это за существа?	port.	7		
6	A	Тёмное Проклятие, что это такое?	port.	8		
6	A	Кто такие Небесные рыцари?	port.	9		
6	A	Я утчу это. Что я ещё полезного могу узнать у вас?	port.	10		
7	Q	Из сохранившихся имперских хроник, нам известно, что эти существа называются, как орки и минотавры. Но неизвестно, как они попали в наше королевтво, разветчики необнаружили никаких морских переправ. Возможно, капитану в пригороде Истриля пригодится любая помощь в решении этой проблемы.	port	6		
8	Q	Наши магии изучали этот феномен, но ничего конкретного им не удалось узнать, это некая мистическая сила, находящаяся где-то в глубинах древних шахт, которая может брать под свой контроль, как мёртвых, так и живых людей, неизвестно откуда и когда появившаяся.	port	6		
9	Q	Нам мало что известно о них, немногие сведения, полученные от пленных рыцарей. Они представляют из себя религиозное братство с верой в некоего единого бога, прибыли откуда-то из-за океана во главе регента, мы без понятий что из себя он представляет, посланный их богом, с миссией захвата новых земель во славу его.	port	6		
10	Q	Далеко на севере находится Северное королевство, путь туда опасен, но если вы готовы рискнуть, то сможете посетить столицу того королевства - Ригордион.	port	11		
11	A	Спасибо за информацию.	port.	12		
12	Q	И раз вы решите остаться у нас, не могли бы вы выполнить небольшое моё поручение, и заодно немного освоитесь в нашем королевстве. Мне необходимо передать послание главе поселения в Королевском лесу, что находится на востоке от Истриля.	port	13		
13	A	Хорошо, я доставлю ваше послание.	port.	14		
14	Q	Благодарю, вы сможете найти меня в Истриле, чтобы передать ответ главы поселения и получить вознаграждение.	port	15		
15	A	Хорошо, я доставлю ваше послание.	port.	0		"GainItem#10831;SetVariable#one_way_road,10"
