index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Hello		2			
2	A	Give me 50K XP		0		"GainXP#50000;GainGold#50000"	
2	A	Give me 2 SP and 2 TP		0		"GainSkillPoint#;GainSkillPoint#;GainTrait#;GainTrait#"	
2	A	Reset Skills		0		ResetPlayerSkills#	
2	A	More...		3			
3	Q	Yes?		4			
4	A	Disintegrate		0		TrainSkill#disintegrate	
4	A	Gate		0		TrainSkill#gate	
4	A	Arcanist		0		TrainSkill#arcanist	
4	A	More...		5			
5	Q	Yes?		6			
6	A	Earth Mastery		0		TrainSkill#earth_mastery	
6	A	Ice Mastery		0		TrainSkill#ice_mastery	
6	A	Fire Mastery		0		TrainSkill#fire_mastery	
6	A	More...		7			
7	Q	Yes?		8			
8	A	Summoner		0		TrainSkill#summoner	
8	A	Mage Barrier		0		TrainSkill#mage_barrier	
