index	type	text	text_ES	Go To	conditions	actions
1	Q	Ah, I know this place. We're in the sewers, under the city.	Ah, yo conozco este lugar. Estamos en las alcantarillas, bajo la ciudad.	2		
2	A	The sewers, I wonder why you know a place like that. So you think we're safe now?	Alcantarillas... Me pregunto cómo es que conoces un sitio así. Entonces, estamos a salvo?	3		
3	Q	Yes, some part of New Garand sewers are dangerous, but we're very close to an exit. Just walk over that channel and you'll be out.	Si, hay partes de las alcantarillas que pueden ser peligrosas, pero estamos muy cerca de la salida. Sólo tienes que cruzar ese canal.	4		
4	A	Wait, just me? You're not coming with me? How do I know I can trust you?	Espera, ¿irme yo solo? ¿No vienes conmigo? ¿Cómo sé que puedo confiar en ti?	5		
5	Q	Well, isn't it obvious? Those 'Forsaken' guys, are  after you. But they're after me too, because I've seen the Magister's face. Like it or not, we're together in this mess. I won't betray you, I'm not stupid.	Bueno, creo quee s evidente. Esos 'Olvidados',  van a por ti. Pero también a por mí, porque he visto la cara de su jefe. Así que, nos guste o no, estamos juntos en esto.  Si te traicionase sería un estúpido.	6		
6	A	That sounds right. I believe you.  But where are you going?	Eso suena razonable. Te creo. Pero ¿a dónde vas?	7		
6	A	I don't know, maybe you ARE stupid. Are you? And you told me not to trust anyone.	No sé... A lo mejor ERES estúpido. ¿Lo eres? Y me dijiste que no confiase en nadie.	8		
7	Q	I will take care of some business here in the sewers, but I hope we can meet again up in the surface. You can find me in the west side of town. See you around. [BLUE](He slips away into the shadows)[]	Tengo que encargarme de algunos asuntos aquí en las alcantarillas, pero espero que nos volvamos a ver en la superficie. Puedes encontrarme en el lado oeste de la ciudad. Hasta la vista. [BLUE](Adaon se escabulle entre las sombras)[]	0		"NPCStopFollowing#;NPCDespawn#adaon;SetVariable#adaon_free,1"
8	Q	[BLUE](He laughs)[] See? That's the way of thinking. Don't trust anyone. But no, I want to live, and I'll work with you until we find out who are these Forsaken.	[BLUE](Se rie)[] Lo ves? Así es como se piensa. No confíes en nadie. Pero eres mi mejor apuesta para sobrevivir. Trabajaremos juntos hasta que averiguemos quienes son Los Olvidados.	9		IncVariable#LOY_adaon,1
9	A	Okay. So where are you going now?	Vale. Pero ¿a dónde vas ahora?	10		
10	Q	I will take care of some business here in the sewers, but I hope we can meet again up in the surface. You can find me in the west side of town. See you around. [BLUE](He slips away into the shadows)[]	Tengo que encargarme de algunos asuntos aquí en las alcantarillas, pero espero que nos volvamos a ver en la superficie. Puedes encontrarme en el lado oeste de la ciudad. Hasta la vista. [BLUE](Adaon se escabulle entre las sombras)[]	0		"NPCStopFollowing#;NPCDespawn#adaon;SetVariable#adaon_free,1"
