index	type	text	text_ES	Go To	conditions	actions	req
1	Q	I warned you, but you had to come back. You have brought this on yourself.	Te avisé, pero no me escuchaste. Te lo has buscado tú solo	5	VariableGreater#TMP_pissed_wolves,0		
1	Q	[BLUE](These somber woodsmen look at you with unfriendly faces)[]Turn back, foreigner. You're not welcome here.	[BLUE](Estos sombríos leñadores te miran con cara de pocos amigos)[]Márchate, extranjero. No eres bienvenido.	2		SetVariable#TMP_pissed_wolves,1	
2	A	Nobody talks to me like that. I'm going to teach you manners.	Nadie me habla así. Os voy a enseñar modales.	5			
2	A	Alright, I'll just leave.	De acuerdo, me marcho.	20			
2	A	I only want to ask one question before I leave. I've come here after a rumor of a giant Mirmek, enveloped in flames.	Sólo quiero hacer una pregunta antes de irme. He venido hasta aquí siguiendo rumores sobre un Mirmek gigante, envuelto en llamas.	10	"VariableGreater#prodigal_daughter,10;VariableLower#prodigal_daughter,40"		
2	A	You don't need to fear me, good people. I am just a passing adventurer, I can pay you for a bed and some food. And maybe I can help you with your problems as well.	No me tengais miedo, buenas gentes. Sólo soy un aventurero de paso, dispuesto a pagar por una cama y algo de comida. Incluso podría ayudaros con vuestros problemas.	3			
3	Q	"Hmmm... Yes, why not. You don't appear to be an enemy, just a weary traveller; we need to be careful around these parts. Feel free to sleep by the fire, and there will be a wonderful meal once you wake up. [BLUE](She smiles)[]"	"Hmmm... Sí, por qué no. No pareces un enemigo, tan sólo un viajero cansado; tenemos que tener cuidado en esta región. Puedes dormir junto al fuego, y habrá una buena comida cuando despiertes. [BLUE](Sonríe)[]"	4			
4	A	Thanks! [BLUE](Sleep)[]	¡Gracias! [BLUE](Dormir)[]	30		LoseHP#100	
4	A	Wait a minute... This is a trap!	Espera un momento... ¡Me estáis tendiendo una trampa!	5			PER#3
4	A	Thanks!... Wait... Isn't that a pile of human bones?!?	¡Gracias! Espera... ¡¿Eso de ahí no son huesos humanos?!	5			AWA#3
5	Q	[BLUE](They look at each other and nod)[] We don't like to call attention upon ourselves, but you leave us no choice. Plus you look real tasty!	[BLUE](Se miran entre ellos y asienten)[] Intentamos pasar desapercibidos, pero no nos dejas opción. ¡Además pareces muy sabroso!	0		"SetVariable#D12_ambush,1;NPCDespawn#villager_werewolf;NPCDespawn#villager_werewolf_boss;NPCSpawn#werewolf_ambush"	
10	Q	"That creature hid in a cave to the northwest, burning everything in its path, including Giants and Vorators. We lived in fear; until one night we shaw flashes of light and a scream of agony from the monster; the next day we met the one who did it: a foreigner woman, she lives in that cave as a hermit now. "	La criatura se escondió en una cueva al noroeste, quemando todo a su paso, incluso Gigantes y Vorators. Vivíamos con miedo hasta que una noche vimos destellos y escuchamos el grito de agonía del monstruo. Al día siguiente encontramos a quien hizo semejante proeza: una mujer extranjera, una ermitaña.	11			
11	A	What do you know about her?	¿Qué más sabes de ella?	12			
12	Q	She's a seer, and also a healer. She has helped us, and also those stupid townspeople from the south. Since she's here, even the Vorators are in check. You got your answers, now begone!	Es una vidente y curandera. Nos ha ayudado, y también a esos estúpidos del poblado hacia el sur. Además tiene a los Vorators a raya. Ya tienes tus respuestas, ahora ¡márchate!	13			
13	A	Goodbye.	Adiós.	20			
13	A	I need to ask more questions.	Necesito hacer más preguntas.	5			
20	Q	[BLUE](They glare at you as you walk away)[]	[BLUE](Te miran con odio mientras te marchas)[]	0		Travel#D12,2	
30	Q	As soon as you sit by the fire, the villagers turn into werewolves and jump on you. You receive a very serious wound on your side.	Tan pronto como te sientas al fuego, se transforman en hombres lobos y saltan sobre tí. Recibes una herida muy profunda en el costado.	0		"SetVariable#D12_ambush,1;NPCDespawn#villager_werewolf;NPCDespawn#villager_werewolf_boss;NPCSpawn#werewolf_ambush"	
