index	type	text	text_ES	Go To	conditions	actions
1	Q	Greetings again, friend. Now thanks to you I can return home.	Saludos de nuevo, amigo. Ahora gracias a tí puedo regresar a casa.	10	VariableEqual#exotic_substances,100	
1	Q	I can't believe you brought them! I might need more in the future, but for now one fang of each type will allow me to get started back in Freetown. Here is your reward, potions and magical boots I brought to explore the jungle.	¡No puedo creerlo, lo has traido! Puedo necesitar más en el futuro, pero de momento tengo para comenzar mi trabajo de vuelta en Freetown. Toma, puedes quedarte con las pociones y botas mágicas que tengo.	10	"VariableEqual#exotic_substances,10;PlayerHasItem#1019;PlayerHasItem#1020"	"SetVariable#exotic_substances,100;LoseItem#1019;LoseItem#1020;GainXP#700;GainItem#220;GainItem#5016"
1	Q	Hello again, I can't wait to leave this horrible town. Please get those ingredients for me.	Hola de nuevo, no veo el momento de marcharme de este terrible lugar. Por favor, consígueme esos ingredientes.	0	VariableEqual#exotic_substances,10	
1	Q	[BLUE](This woman appears to be horrified by the violence around her. As you approach, she nods nervously)[]Greetings.	[BLUE](Esta mujer parece horrorizada por la violencia a su alrededor. Cuando te acercas saluda nerviosamente)[] Saludos.	2		
2	A	Greetings, I must be on my way.	Saludos. Debo seguir mi camino.	0		
2	A	Hello. You definitely look out of place here...	Hola. Definitivamente no pareces ser de por aquí...	3		
3	Q	"[BLUE](She laughs nervously)[] Indeed, I am Kalis, a healer and potion mixer from Freetown. I came here in search of ingredients for certain mixture, but I never expected such a hive of villiany. And the danger outside is even worse; I've given up and will soon return home."	"[BLUE](Se rie nerviosamente)[] Ciertamente, soy Kalis, curandera y alquimista de Freetown. Vine en busca de ingredientes para uma poción, pero no esperaba semejante colmena de maldad. Y el peligro fuera es aun peor; creo que voy a regresar a mi ciudad."	4		
4	A	Maybe I could bring you those ingredients, what are you looking for?	Quizá yo podría traerte esos ingredientes, ¿Qué necesitas?	5		
5	Q	You would do that? I would reward you with the gear I brought for this expedition. What I need is poison fangs from local snakes: a [BLUE]Giant mamba fang[], and a [BLUE]Coral Snake Fang[]. The best place to find them would be the Emerald Valley, to the West.	¿Harías eso? A cambio te daría el material que tengo para esta misión. Necesito un [BLUE]Colmillo de Mamba Gigante[] y un [BLUE]Colmillo de Serpiente Coral[]. Puedes encontrarlos en el Valle Esmeralda, al este.	6		
6	A	I'll do that and return soon. But poisons? I thought you were a healer.	Los conseguiré y regresaré pronto. Pero ¿Veneno? Creía que eras una curandera.	7		
7	Q	And I am. In very small doses, they can be used to alleviate pain. Just be careful with those snakes... They come out of nowhere!	Y lo soy. En dosis muy pequeñas, se puede usar para aliviar el dolor. Ten cuidado con esas serpientes... ¡salen de la nada!	0		SetVariable#exotic_substances,10
10	A	Maybe we can meet in Freetown in the future.	Quizá podamos vernos en Freetown en el futuro.	11		
11	Q	Well... I am usually very busy... Now if you excuse me I need to pack my things.	Bueno... Normalmente estoy muy ocupada... Ahora si me disculpas tengo que empaquetar mis cosas.	0		
