index	type	text	text_ES	Go To	conditions	actions
1	Q	"If you had not been here, I would have fallen into this trap alone and the evil spirits would devastate the Kingdoms. Now I understand why I was fated to meet you; not because of your own quest, but because of the great threat of Orogg."	Si no hubiera hecho el juramento de acompañarte, habría caido sola en esta trampa los espíritus malignos estarían arrasando los Reinos. Ahora comprendo por qué era mi destino encontrarte: no para ayudarte en tu misión, sino para que me ayudaras a detener la amenaza de Orogg. 	2		
2	A	I am not so sure it was 'Fate', I think we just fought together like good comrades.	No estoy seguro de si ha sido el 'Destino', creo que simplemente luchamos como buenos camaradas.	3		
3	Q	"We did, but it was the will of The Three what brought us together, never forget that.  It was my faith what inspired the vow I made to follow you, even before first meeting you; clearly the Gods knew what was going to happen."	"Lo hicimos, pero no olvides que fueron Los Tres los que nos unieron. Mi Fé inspiró el juramento que hice de seguirte incluso antes de conocerte; sin duda los Dioses sabían lo que iba a ocurrir."	4		
4	A	There's no doubt about that. Blessed be The Three.	No hay duda de eso. Loados sean Los Tres.	5		
4	A	Alright... I don't think debating this will be a good idea. 	De acuerdo... Creo que debatir sobre esto no es buena idea.	6		
5	Q	May their Light always shine inside our hearts!	¡Que su Luz siempre brille en nuestros corazones!	10		
6	Q	[BLUE](She chuckles)[] That may be a wise decision. 	[BLUE](Se rie)[] Esa es probablemente una buena decisión. 	10		
10	A	So what happens now... 'Your Highness'?	Me pregunto qué hacemos ahora... 'Alteza'.	40	VariableLower#TMP_conv_hirge_highness,1	SetVariable#TMP_conv_hirge_highness,1
10	A	By your words, I deduct you feel your vow fulfilled now, and you'll follow your own path.	Pero por tus palabras entiendo que consideras tu juramento cumplido y seguirás tu propio camino.	30	VariableLower#TMP_conv_hirge_path,1	SetVariable#TMP_conv_hirge_path,1
10	A	I am glad you didn't need to sacrifice yourself, Hirge. 	Me alegro de que no tuvieras que sacrificar tu vida, Hirge. 	20	VariableLower#TMP_conv_hirge_seal,1	SetVariable#TMP_conv_hirge_seal,1
10	A	That monk sure said some terrible things about The Three, in particular about Thelume.	Ese monje dijo cosas terribles acerca de Los Tres. En particular acerca de Thelume.	50	"VariableLower#TMP_conv_hirge_monk,1;VariableEqual#know_darkwhispers,1"	SetVariable#TMP_conv_hirge_monk,1
10	A	Should we do anything else about the betrayal of the monks? We can't be sure there's more of them.	¿Deberíamos hacer algo más respecto a la traición de los monjes? No podemos estar seguros de haber acabado con todos.	60	"VariableEqual#TMP_conv_hirge_highness,1;VariableEqual#TMP_conv_hirge_path,1;VariableEqual#TMP_conv_hirge_seal,1;VariableEqual#TMP_conv_hirge_path,1"	
20	Q	[BLUE](Laughs nervously)[] I am just as glad as you are, or more, believe me. I'm willing to fulfill my duty, but I'd rather live while doing so!	[BLUE](Rie nerviosamente)[] Estoy tan contenta como tú o más, créeme. Estoy preparada para cumplir mi deber, pero si es posible ¡prefiero hacerlo y sobrevivir!	21		
21	A	Do you think the Seal is safe now? It will still weaken one day.	¿Crées que el Sello está seguro ahora? Aun se debilitará en el futuro.	23		
23	Q	It is bright blue which means it'll be strong for twenty years or more. I'll worry about it at the right time, but today we'll celebrate our victory instead.	Es azul brillante, lo que significa que permanecerá en su lugar veinte años o más. Me preocuparé por ello cuando llegue el momento, hoy es un día para celebrar.	24		
24	A	Can't we just slay all the evil spirits in Orogg?	¿No podríamos simplemente eliminar todos los espíritus malignos de Orogg?	25		
25	Q	"We can't; the spirits are not truly alive so they can't die, and they return again and again. There's a reason the Seal was made, unfortunately."	"No podemos; los espíritus no están verdaderamente vivos por lo que no pueden morir, y siempre regresan. El Sello está ahí por una razón, desgraciadamente."	100		
30	Q	Yes, I feel myself free from my vow and I will follow my own path. But as long as you need my help that path runs along yours. [BLUE](Smiles)[]. I'm in your debt and together we do many good deeds for the Kingdoms.	Si, me siento liberada de mi juramento y seguiré mi propio camino. Pero mientras me necesites, ese camino discurre junto al tuyo. [BLUE](Sonríe)[]. Estoy en deuda contigo, y además juntos hacemos mucho bien por los Reinos.	100		
40	Q	Oh please, don't start with that... I am just Hirge. 	Oh por favor no empieces con eso... Soy sólo Hirge.	41		
41	A	As you command, Lady Hirgalande.	Como ordenes, Lady Hirgalande.	42		
42	Q	[BLUE](Pouts)[] I beg you to forget about all that, if anyone finds out I'll have to live in the Palace again, and I still have so much to learn!	[BLUE](Hace un mohín)[] Te ruego que olvides todo eso, si alguien lo descubriera tendría que volver a vivir en el palacio, y ¡tengo tanto que aprender y hacer todavía!	43		
43	A	For your young age you've already done a lot, and you'll one day be a very good queen.	Para tu edad ya has aprendido y hecho mucho, y vas a ser una gran reina algún día.	44		
44	Q	I am of course willing to serve my Kingdom, but I wish I could always do it like I do now: travelling, battling evil, helping those in need by my own hand. I am not made for paperwork, diplomacy or intrigues. I suppose I'll have to learn about that in due time.	Por supuesto estoy dispuesta a servir a mi Reino, pero desearía poder hacerlo siempre como hago ahora: viajando, derrotando al mal y ayudando a los necesitados. No estoy hecha para el papeleo, la diplomacia ni las intrigas, aunque supongo que en su momento deberé aprenderlo.	100		
50	Q	"Disgusting blasphemy. I have felt myself the aura of goodness of the Wisest One, and the whole Kingdom is witness of the Mercy and Courage of Nivaria and Arbenos. Sadly it shouldn't surprise us; the most dangerous power of the Witches of Orogg was not their black sorcery, but their ability to poison the mind with their lies."	Una blasfemia repugnante. Yo he sentido personalmente el aura de bondad del Más Sabio, y todo el Reino es testigo de la Piedad y Coraje de Nivaria y Arbenos. Por desgracia no me sorprende todo esto, ya que el mayor poder de las Brujas de Orogg no era su hechicería, sino cómo envenenaban la mente con mentiras. 	100		
60	Q	"I think the Seal is safe, and that's what matters for now; we should, however, go back to Irossia and report all this to Mantros."	"Creo que el Sello está a salvo, y eso es lo que importa de momento; sin embargo creo que deberíamos ir a Irossia e informar a Mantros."	61		
61	A	I mean no offense, but the old man seemed to be unable to understand much.	No quiero ofender, pero creo que el anciano no parecía poder entender mucho.	62		
62	Q	I know, and I pray to the Three that maybe he now feels a bit more lucid. We'll find out when we get there.	Lo sé, y rezo a Los Tres para que quizá se sienta un poco más lúcido ahora. Lo averiguaremos pronto.	0		
100	A	Let me ask you something else.	Deja que te pregunte otra cosa.	101		
101	Q	Yes, my friend?	¿Si, amigo?	10		
