index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](пожилой волшебник рассматривал какие-то свитки на столе, при вашем появлении, он спокойно продолжил своё занятие, лишь тихо заговорив)[] Я ожидал, что кто-нибудь из тех, кого он посылает за мной, однажды, найдёт это убежище. Чтож, пока ты не приступил к своей грязной работе, за которую тебя платят, давай немного поговорил.	port	2			
2	A	О чём мне с тобой говорить, некромант?	port.	3		
3	Q	Ну, во-первых, хотя бы о том, что я не имею ничего общего с некромантией, я обычный маг, узнавший то, что никто, кроме узкого круга лиц, не должен был знать, и теперь мне хотят заткнуть рот, попутно сделать из меня козла отпущения, ответственного за то безобразие, что творится в канализации.	port	4		
4	A	Что-то слишком много усилий предпринимает губернатор, чтобы заткнуть рот какому-то обычному магу. И что же это за такая страшная тайна, давшая ему повод начать охоту на тебя?	port.	5		
5	Q	Тайна о том, что наш король является не тем, кем его окружение пытается представить перед народом. Ты, вероятно, слышал о том, король прожил потчи полтора столетия благодаря его чистокровной крови древнего имперского рода, вот только с чего бы такой же долгожитель, как первенец короля, умер в 40 лет от какой-то болезни крови? Нет, вся эта чушь про древний род лишь ширма для обывателей, скрывающая мерзкую правду об реальных причинах столь невероятно долгой жизни короля.	port	6		
6	A	Если это такая страшная тайна, как тогда, с твоих слов, обычному магу удалось её узнать?	port.	7		
7	Q	Добрые люди, которые тоже не хотят мириться с этой ложью, дали мне намёки, и основываясь на них я обнаружил реальные доказательства той мерзости, происходящей в недрах королевского замка. Мне повезло, я смог сбежать, но многие другие до меня пали в жертву поддержания обмана, скрывающего ужасную реальность.	port	8		
8	A	Чтож, меня предупредили, что ты попытаешься запудрить мне мозги своими выдумками.	port	9		
9	Q	Это твоё право - верить мне или нет. Я же уже смирился со своей участью, но надеюсь, когда-нибудь более сильные и храбные люди, чем я, откроют правду всему королевству о нашем короле и выступят против него. Хм, очевидно, губернатор потребует от тебя какое-то доказательство моей смерти, интересно, как сильно тебе придётся осквернять мой труп.	port	10		
10	A	Он попросил принести вашу особую книгу заклинаний и не более.	port.	11		
11	Q	Мою книгу? Ну, конечно, этот гнусный трактакт, который я выкрал у него, именно поэтому он всё это и устроил, жаждя его вернуть [BLUE](пожилой волшебник отложил свитки в сторону, встал из стола, взяв в руку свой посох)[] Думаю, время для обсуждений прошло. Хоть я и смирился со своей участью, но я не собираюсь просто так расставаться со своей жизнью, если тебе сегодня здесь повёзет, то надеюсь, и ты когда-нибудь прозреешь.	port	12		
12	A	[BLUE](пожилой волшебник ринулся в атаку и вам не остаётся иного выбора, как сразиться с ним!)[]	port	0		"SetVariable#true_lie,20;NPCHostile#necromancer;NPCHostile#golems"
