index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Слушаюсь и повинуюсь.	port	23	NPCisFollower#	
1	Q	Здраствуй, путник, если у меня найдётся новая работа, буду рад твоей помощи, а пока можешь отдохнуть в местной таверне.	po.	19	VariableEqual#skilled_hands,110		
1	Q	Здраствуй, путник, если у меня найдётся новая работа, буду рад твоей помощи, а пока можешь отдохнуть в местной таверне.	po.	19	VariableEqual#skilled_hands,100		
1	Q	Ужасно, что с ним случилось подобное, но мы вынуждены были его убить, чтобы обезопасить жителей. Спасибо, что смог вырвать из плена и пытался спасти его, прими свою награду.	po.	0	VariableEqual#skilled_hands,90	"GainXP#700;GainGold#450;IncVariable#REP_sorrowland,4;SetVariable#skilled_hands,100"	
1	Q	Кем бы он не был, его нужно остановить, пока он не причинил вреда жителям!	po.	0	VariableEqual#skilled_hands,80		
1	Q	О, это Гермес! Ты спас его! Что-то он не важно выглядит, как ты, мой друг?	po.	15	VariableEqual#skilled_hands,60		
1	Q	Надеюсь Гермесу не причинили вреда, и ты доставишь его сюда в целости!	po.	18	VariableEqual#skilled_hands,50		
1	Q	Эй, это не Гермес, кого ты привёл ко мне?	po.	12	VariableEqual#skilled_hands,30		
1	Q	Значит он погиб... Очень жаль, его изобретения делали много полезного для жителей, прими часть награды, ты пытался ему помочь.	po.	0	VariableEqual#skilled_hands,70	"GainXP#300;GainGold#150;IncVariable#REP_sorrowland,2;SetVariable#skilled_hands,110"	
1	Q	Надеюсь Гермесу не причинили вреда, и ты доставишь его сюда в целости!	po.	18	VariableEqual#skilled_hands,20		
1	Q	Если ты готов помочь Гермесу, я вознагражу тебя за его освобождение!	po?	6	VariableEqual#skilled_hands,10		
1	Q	[BLUE](капитан явно чем-то обеспокоен, хоть и делает вид, что это не так)[]Здраствуй, путник, надеюсь тебе по душе наши неспокойные в эти дни, но прекрасные места, мы делаем всё возможное, чтобы хотя бы в этом поселении было безопасно.	[BLUE](po)[]	2			
2	A	Я могу вам чем-то помочь?	¿po?	3			
2	A	Рад знакомству, но мне надо идти.	0			
2	A	Случайно не встечались в этих местах зомби, выглядищие как священослужители?	po.	24	"VariableEqual#last_honors,10;VariableLower#talkz_bloodsilver,1"		
2	A	[BLUE](С помощью грубой силы надеть на него ошейник подчинения)[]	¿po?	22	PlayerHasItem#10402		STR#5
2	A	[BLUE](Незаметно и быстро надеть на него ошейник подчинения)[]	¿po?	22	PlayerHasItem#10402		AGI#5
2	A	[BLUE](Хитростью заставить его надеть ошейник подчинения)[]	¿po?	22	PlayerHasItem#10402		INT#5
3	Q	Конечто, у меня мало свободных людей, очень многих приходится отправлять на другой берег Отчаяния, чтобы отбивать набеги небесных рыцарей, поэтому очень пригодился бы доброволец для одной не простой работенки.	po.	4			
4	A	Что именно надо сделать?	po.	5			
5	Q	Вообщем, поселился у нас здесь мастер на все руки по имени Гермес, он очень облегчал жить местных своими созданами изобретениями, но несколько дней назад он вдруг пропал. Моим разведчикам удалось выяснить, что его похители небесные рыцари.	po.	6			
6	A	Вам известно куда они могли его забрать?	po.	8			
6	A	Случайно не встечались в этих местах зомби, выглядищие как священослужители?	po.	24	"VariableEqual#last_honors,10;VariableLower#talkz_bloodsilver,1"		
6	A	Возможно у вас есть ещё какая-нибудь работа?	po.	20	VariableLower#curses_dont_die,10		
8	Q	Ходят слухи, что за озером заброшенного форта находится крепость этих самых небесных рыцарей. Последнее время у нас в здесь крутится какой-то маг, который тоже интересуется этой крепостью, возможно, ему известно более точное её расположение. Если вы готовы взяться за эту работу, я готов заплатить за её выполнение [BLUE]1000 монет[]. 	po.	9			
9	A	Думаю это будет не просто, но я готов спасти этого человека из плена. 	po.	10			
9	A	Похоже это опасная затея, я пожалуй откажусь.	po.	11			
10	Q	Я очень надеялся, что ты согласишься! Это очень хороший человек, удачи тебе в избавлении его от беды.	po.	0		SetVariable#skilled_hands,20	
11	Q	Чтож, требовать что-то я не вправе в таком трудном деле.	po.	0		SetVariable#skilled_hands,10		
12,falsehermes	Q	Извини друг, что обманул тебя, но у меня не было другой идеи, насчёт побега из той темницы.	po.	13			
13,bloodsilver	Q	Это было довольно подло с твоей стороны так поступить. Но ты можешь остаться в этом поселение, если тебе не куда податься. 	po.	14			
14	Q	Так или иначе, но настоящий Гермес всё ещё в плену и его нужно спасти.	po.	0		"SetVariable#skilled_hands,50;disband#falsehermes"	
15,hermes	Q	Колдуны этих небесных рыцарей что-то со мной проделывали, моё тело всё горит! Я не могу это выдержать!	po.	16			
16,bloodsilver	Q	[BLUE](прямо перед вашим взором Гермеса окутывает магический огонь и его тело начинает трансформироваться в монстра, который с яростью набрасывается на вас!)[] 	po.	17		"disband#hermes;NPCDespawn#hermes;NPCSpawn#demonhermes"	
17	Q	Что это за чертовщина?!	po.	0		"SetVariable#skilled_hands,80"	
18	A	Возможно у вас есть ещё какая-нибудь работа?	po.	20	VariableLower#curses_dont_die,10		
18	A	Я обязательно его спасу!	po.	0			
18	A	Случайно не встечались в этих местах зомби, выглядищие как священослужители?	po.	24	"VariableEqual#last_honors,10;VariableLower#talkz_bloodsilver,1"		
18	A	[BLUE](С помощью грубой силы надеть на него ошейник подчинения)[]	¿po?	22	PlayerHasItem#10402		STR#5
18	A	[BLUE](Незаметно и быстро надеть на него ошейник подчинения)[]	¿po?	22	PlayerHasItem#10402		AGI#5
18	A	[BLUE](Хитростью заставить его надеть ошейник подчинения)[]	¿po?	22	PlayerHasItem#10402		INT#5
19	A	Возможно у вас есть ещё какая-нибудь работа?	po.	20	VariableLower#curses_dont_die,10		
19	A	Случайно не встечались в этих местах зомби, выглядищие как священослужители?	po.	24	"VariableEqual#last_honors,10;VariableLower#talkz_bloodsilver,1"		
19	A	Спасибо за совет.	po.	0			
