index	type	text	text_ES	Go To	conditions	actions
1	Q	Ура! Наконец-то я на свободе! [BLUE](радостная, голая девушка полезла к вам обниматься, вы осторожно обняли в её в ответ, стараясь не лапать её пикантные части тела)[] Спасибо тебе! А теперь мы вернёмся в город?	port	18	"VariableEqual#strangers_foreign_lands,35"		
1	Q	Ты же не оставишь меня здесь одну, а освободишь же? [BLUE](с мольбою смотрела на вас голая девушка, запертая в клетке)[]	port	0	"VariableGreater#strangers_foreign_lands,19;VariableLower#strangers_foreign_lands,34"		
1	Q	[BLUE](в клетке вы замечаете красивую, молодую женщину, на которой из одежды, фактически, ничего не было, сидевшую в дальнем углу, склонив голову. Заметив вас, она сразу же оживилась, резко вскочила на ноги, подбежала к решетке, при этом скудные лохмотья из остатков одежды слетели с её тела)[] Ох, а я уже и не надеялась, что меня кто-нибудь найдёт и спасёт!                                                                                                                   	port	2		
2	A	Эм, да, я пришёл тебя спасти. [BLUE](вы пытались не пялиться на голое тело девушки, стоявшей перед вами, и явно от радости, что её нашли, она слегка подпрыгивала на месте, от чего колыхалась её большая грудь)[] А ты, случайно, не тот пропавший королевский маг?	port.	3		
3	Q	Да! Я Эвелина Лайтвинд, младший член магического совета. Я надеялась, что смогу здесь найти способ решения проблемы с вторженцами, но немного переценила свои силы и способности.	port	4		
4	A	Рад знакомству, Эвелина. А почему ты в таком виде? Эти орки, надеюсь, ничего не делали с тобой плохого?	port.	5		
5	Q	О, эм... [BLUE](девушка замерла, опустив глаза на своё тело, но ничуть не смутилась, поняв, что стоит перед вами голышом, снова взглянула на вас)[] А что ты имел ввиду под плохим? Сексуальное насилие?	port	6		
6	A	Да, мне страшно представить, что ты здесь пережила.	port.	7		
7	Q	О, не волнуйся! Мы не интересны оркам в этом плане! Я успела немного их изучить, до того, как оказалась здесь. Они представители совершеного иного вида, отличимого от нас не только внешне, но и ментально. Мы - люди, сексуально не превлекательны для орков, как, например, немного грубое сравнение, для людей не привлекательны в этом же плане собаки. Хотя, конечно, могут быть исключения, но это должно быть редким явлением.	port	8		
8	A	Ладно, это интересно, но, всё-таки, почему ты тогда в таком виде?	port	9		
9	Q	Ну, я бродила в этих местах, избегая встречи с опасностями с помощью своей магии, пару суток, поэтому вся запылилась и испачкалась, решила искупаться в Королевском озере. За этим занятием меня и застигли орки, я никак не успела среагировать, мой посох и всё снаряжение с одеждой они забрали и, наверное, выкинули где-то в лесу, а меня преволокли сюда и заперли.	port	10		
10	A	А зачем ты им понадобилась?	port	11		
11	Q	Их лидеру нужен маг. Видел ту штуку, что стоит за твоей спиной? Это портал...	port.	12		
12	A	Вот значит как все эти орки и минотавры попали в эти земли!	port	13		
13	Q	Да, верно! Вот только этот портал односторонний, с его помощью можно переместиться сюда, но обратно уже нельзя, поэтому лидер орков и искал какого-нибудь мага, чтобы решить эту проблему с порталом. Но я не специалист в телепортационной магии, да и со всяким магический оборудованием и артефактами плохо разбираюсь, без понятий, как долго бы мне удавалось их дурачить, когда б меня, наконец-то спасли.	port.	14		
14	A	Чтож, давай сначала освободим тебя, а потом решим, что нам делать с этим порталом.	port	15		
15	Q	Да, мне терпится выбраться отсюда! [BLUE](от радости девушка стала ещё активнее подпрыгивать, из-за чего её большая грудь заколыхалась сильнее)[] Ты перебил всех орков? Ключ от клетки должен быть у их лидера, а он, наверно, прячется в пещере.	port.	16		
16	A	Хорошо, я найду его и освобожду тебя.	port.	17		"SetVariable#strangers_foreign_lands,20"
17	Q	С нетерпением буду ждать!	port.	0		
18	A	Конечно, но сначала давай найдём для тебя хоть какую-нибудь одежду, и ещё нужно разобраться с этим порталом.	port	19		
19	Q	Ох, куда бы лучше было бы отыскать мой посох и магическое снаряжение. А с порталом всё просто. Видишь те большие колбы, присоединенные к арке? Они с маной, если их разбить, то без подпитки портал перестанет работать. [BLUE](отсутствие одежды, похоже, особо не волновало девушку)[] Хотя жалко, что мы не смогли решить проблемы с орками без насилия и убийств.	port	20		
20	A	Просто разбить эти круглые штуки? А жидкость, которая в них, опасна? Она же вся наружу побежит, когда я их сломаю.	port	21		
21	Q	Не опасна, это обычная мана, мы - маги употребляем её, и с нами всё нормально же.	port	22		
22	A	Ладно, как скажешь. [BLUE](вняв совету девушки, вы решаете разбить колбу с маной своим оружием. Стекло, из которого они были сделаны оказалось крепким, но всё же ваших сил хватило, чтоб его разбить, жидкость из них хлынула наружу, вы всё равно, на всякий случай, отошли подальше, а затем точно также сломали вторую колбу)[]	port	23		
23	Q	Ну вот и всё, сейчас портал потускнеет, а затем исчезнет совсем, и никто больше не сможет через него сюда придти.	port	24		
24	A	А ты знаешь, что это за портал? Откуда он здесь взялся?	port	25		
25	Q	Не-а. [BLUE](отозвалась Эвелина, отгоняя от своего живота и груди комара)[] Наверное, с имперских времён сохранился. Хотя я немного успела его изучить, и похоже, он много лет находился в не рабочем состояния, но кто-то недавно, зачем его активировал. Ай! [BLUE](девушка почесала одну из свои огалённых ягодиц, куда комар смог укусить её)[]                                                               	port	26		
26	A	Ясно, нужно сообщить об этом начальнику стражи, пусть разбирается. И тебе всё-таки надо найти какую-нибудь одежду. [BLUE](осмотрев лагерь орков, вы нашли старый плащ, который вручили Эвелине)[]	port	27		
27	Q	[BLUE](девушка поморщилась при виде этого плаща, но всё же накинула его на себя)[] В такой дикой местности он, и вправду, мне пригодится.	port	28		"NPCFollow#"
28	A	Ладно, отправляемся обратно в город.	port	0		"SetVariable#strangers_foreign_lands,40"
