index	type	text	text_ES	Go To	conditions	actions
1	Q	What do you want, master?	port	4	NPCisFollower#	
1	Q	Don't hit me! I will serve you, but just give me a little money {LEVELx10} to eat.	po  {LEVELx10}  rt.	2		
2	A	Sorry, but there are already too many of us in the group.	port.	0	hasFollower#	
2	A	That would be great! Follow me. Welcome to the team.	port.	0	"hasNoFollower#;PlayerHasGold#{LEVELx10}"	"NPCFollow#;LoseGold#{LEVELx10}"
2	A	Not now, thank you. Maybe in the future.	port.	3		
3	Q	I will be very glad if you change your mind.	port.	0		
4	A	Nothing, let's move on.	port.	0		
4	A	I don't need your services anymore. Thank you for your help and goodbye.	port.	5		
4	A	Please move a little, you're standing in the way.	port.	6		
5	Q	I'm free! I am ready to serve you again if we see each other again.	port.	0		NPCStopFollowing#
6	Q	Aha.	port	0		NPCMoveRandom#
