index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Hear and obey.	port	23	NPCisFollower#	
1	Q	Hello, traveler, if I have a new job, I will be glad of your help, but in the meantime you can relax in a local tavern.	po.	19	VariableEqual#skilled_hands,110		
1	Q	Hello, traveler, if I have a new job, I will be glad of your help, but in the meantime you can relax in a local tavern.	po.	19	VariableEqual#skilled_hands,100		
1	Q	It's terrible that something like this happened to him, but we had to kill him to protect the residents. Thank you for being able to break him out of captivity and trying to save him, accept your reward.	po.	0	VariableEqual#skilled_hands,90	"GainXP#700;GainGold#450;IncVariable#REP_sorrowland,4;SetVariable#skilled_hands,100"	
1	Q	Whoever he is, he needs to be stopped before he harms the residents!	po.	0	VariableEqual#skilled_hands,80		
1	Q	Oh, it's Hermes! You saved him! He looks very sickly... How are you, my friend?	po.	15	VariableEqual#skilled_hands,60		
1	Q	I hope Hermes has not been harmed, and you will bring him here in one piece!	po.	18	VariableEqual#skilled_hands,50		
1	Q	Hey, it's not Hermes! Who did you bring to me?	po.	12	VariableEqual#skilled_hands,30		
1	Q	So he's dead... It's a pity, his inventions did a lot of useful things for the residents, accept part of the reward, you tried to help him.	po.	0	VariableEqual#skilled_hands,70	"GainXP#300;GainGold#150;IncVariable#REP_sorrowland,2;SetVariable#skilled_hands,110"	
1	Q	I hope Hermes has not been harmed, and you will bring him here in one piece!	po.	18	VariableEqual#skilled_hands,20		
1	Q	If you are willing to help Hermes, I will reward you for his release!	po?	6	VariableEqual#skilled_hands,10		
1	Q	[BLUE](the captain is clearly worried about something, although he pretends that it is not so)[]Hello, traveler, I hope you like our restless, but beautiful places these days, we are doing everything possible to make at least this settlement safe.	[BLUE](po)[]	2			
2	A	Can I help you with something?	¿po?	3			
2	A	Glad to meet you, but I have to go.	0			
2	A	Did you happen to meet zombies in these places, looking like priests?	po.	24	"VariableEqual#last_honors,10;VariableLower#talkz_bloodsilver,1"		
2	A	[BLUE](Using brute force to put a collar of submission on he)[]	¿po?	22	PlayerHasItem#10402		STR#5
2	A	[BLUE](Imperceptibly and quickly put a collar of submission on he)[]	¿po?	22	PlayerHasItem#10402		AGI#5
2	A	[BLUE](By tricking he into putting on a collar of submission)[]	¿po?	22	PlayerHasItem#10402		INT#5
3	Q	Of course, I have few free people, so many have to be sent to the other shore of Despair to repel the raids of the heavenly knights, so a volunteer would be very useful for one not simple job.	po.	4			
4	A	What exactly should be done?	po.	5			
5	Q	In general, a jack-of-all-trades named Hermes settled here, he made it very easy for the locals to live with his inventions, but a few days ago he suddenly disappeared. My scouts managed to find out that he was abducted by the heavenly knights.	po.	6			
6	A	Do you know where they might have taken him?	po.	8			
6	A	Did you happen to meet zombies in these places, looking like priests?	po.	24	"VariableEqual#last_honors,10;VariableLower#talkz_bloodsilver,1"		
6	A	Perhaps you have some other work?	po.	20	VariableLower#curses_dont_die,10		
8	Q	Rumor has it that behind the lake of the abandoned fort is the fortress of these same heavenly knights. Recently, we have some magician spinning around here, who is also interested in this fortress, perhaps he knows its more precise location. If you are willing to take on this job, I am willing to pay for it [BLUE]1000 gold[]. 	po.	9			
9	A	I think it will not be easy, but I am ready to rescue this man from captivity. 	po.	10			
9	A	It seems like a dangerous idea, I think I'll give up.	po.	11			
10	Q	I really hoped that you would agree! This is a very good man, good luck to you in getting him out of trouble.	po.	0		SetVariable#skilled_hands,20	
11	Q	Well, I have no right to demand something in such a difficult case.	po.	0		SetVariable#skilled_hands,10		
