index	type	text	text_ES	Go To	conditions	actions
1	Q	Мне нечем заняться, и я пишу всякую херню. Мне реально нечем заняться?!	¿po?	0	VariableEqual#philosophy,52	"SetVariable#philosophy,10"	
1	Q	Запомни, а то забудешь!	¿po?	0	VariableEqual#philosophy,51	"IncVariable#philosophy,1"	
1	Q	А когда я хочу послушать умных людей, я просто начинаю говорить.	¿po?	0	VariableEqual#philosophy,50	"IncVariable#philosophy,1"	
1	Q	Знаешь, я с радостью стал бы лучше, но лучше уже некуда.	¿po?	0	VariableEqual#philosophy,49	"IncVariable#philosophy,1"	
1	Q	Глубокий Провал знаешь? Я упал.	¿po?	0	VariableEqual#philosophy,48	"IncVariable#philosophy,1"	
1	Q	Если не знал, я очень хорош в постели, поэтому лишний раз вставать не собираюсь.	¿po?	0	VariableEqual#philosophy,47	"IncVariable#philosophy,1"	
1	Q	Ты не сможешь ничего сказать, кроме слов.	¿po?	0	VariableEqual#philosophy,46	"IncVariable#philosophy,1"	
1	Q	Учись на моём примере - будь как я, а то будешь, как ты.	¿po?	0	VariableEqual#philosophy,45	"IncVariable#philosophy,1"	
1	Q	Когда нехер сказать - нехер говорить.	¿po?	0	VariableEqual#philosophy,44	"IncVariable#philosophy,1"	
1	Q	И тот, кто не плыл - тот не тонул, а тот, кто тонул - утонул.	¿po?	0	VariableEqual#philosophy,43	"IncVariable#philosophy,1"	
1	Q	Помни, не важно сколько раз ты упал - всё равно никто вообще не считал.	¿po?	0	VariableEqual#philosophy,42	"IncVariable#philosophy,1"	
1	Q	Рёнайские Равнины знаешь? Я выровнил.	¿po?	0	VariableEqual#philosophy,41	"IncVariable#philosophy,1"	
1	Q	На самом деле, спрятать чувства легко, а вот спрятать стояк - гораздо сложнее.	¿po?	0	VariableEqual#philosophy,40	"IncVariable#philosophy,1"	
1	Q	Если твоего хорошего друга сбила повозка, то не общайся с ним больше, потому что хорошие друзья на дороге не валяются.	¿po?	0	VariableEqual#philosophy,39	"IncVariable#philosophy,1"	
1	Q	Знай, что слабый мужчина ищет оправдания, а настоящий мужик подготовил их заранее.	¿po?	0	VariableEqual#philosophy,38	"IncVariable#philosophy,1"	
1	Q	Если, вдруг, не знаешь как поступить, поступай как знаешь.	¿po?	0	VariableEqual#philosophy,37	"IncVariable#philosophy,1"	
1	Q	Каждый может бросить камень в волка, но не каждый может бросить волка в камень.	¿po?	0	VariableEqual#philosophy,36	"IncVariable#philosophy,1"	
1	Q	И никто тебя так не поймет, как никто.	¿po?	0	VariableEqual#philosophy,35	"IncVariable#philosophy,1"	
1	Q	Единственный, кто всегда поддерживает тебя - это твой позвоночник.	¿po?	0	VariableEqual#philosophy,34	"IncVariable#philosophy,1"	
1	Q	А ты знаешь, что три слова - это два слова?	¿po?	0	VariableEqual#philosophy,33	"IncVariable#philosophy,1"	
1	Q	Помни, мы в ответе за тех, кому наливаем.	¿po?	0	VariableEqual#philosophy,32	"IncVariable#philosophy,1"	
1	Q	Мать Подземья знаешь? Я - батя.	¿po?	0	VariableEqual#philosophy,31	"IncVariable#philosophy,1"	
1	Q	Если ты не ищешь лёгких путей. Ищи меня - я всё усложняю.	¿po?	0	VariableEqual#philosophy,30	"IncVariable#philosophy,1"	
