index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Finally... The monster has come. The bloodthirsty creature that dares to challenge my power. Well, your journey ends here. You will never stop me, nor will you recover the shard.[BLUE] (This woman's power can be felt even at a distance. She casually waves a hand, and a blue energy barrier forms behind you)[]	Finalmente... El monstruo ha venido. La criatura sanguinaria que se atreve a desafiar mi poder. Bien, tu viaje termina aquí. No me arrebatarás el fragmento. [BLUE] (El poder de esta mujer se siente incluso a distancia. Hace un gesto casual, y una barrera de energía azul aparece tras de tí)[]	2		ItemActivate#barrier2	
2	A	Wait,we don't have to fight. All I want is to get out of here. I am no enemy of the Varannari, and I know nothing about any shard!	Espera, no tenemos que luchar. Yo no soy enemigo de los Varannari, y no se nada de ningún fragmento.	3			
2	A	Oh, a sorceress. A fine challenge. Let's do this.	Oh, una hechicera. Un buen desafío. Vamos a luchar.	5			
2	A	You dare to call me bloodthirsty monster? You plant spiders in people's brains, madwoman.	¿Te atreves a llamarme monstruo? Tú plantas arañas en los cerebros de la gente, malvada.	5			
2	A	[BLUE](Try to make her talk more)[] Let's talk about that shard. 	[BLUE](Intentar hacer que hable más)[] Hablemos de ese fragmento.	20			PER#3
3	Q	Oh, we don't have to fight? You think you are talking to one of those stupid impiri out there... I know perfectly well what will happen if you get all the shards: your people almost destroyed the world once, and is now trying to do it again. There's no possible negotiation between us, monster. 	Oh, ¿no tenemos que luchar? Crées que hablas con algún estúpido Impiri. Sé perfectamente lo que pasará si recuperas todos los fragmentos: tu gente casi destruye el mundo una vez, y ahora intenta hacerlo de nuevo. No hay negociación posible entre nosotros, monstruo.	4			
4	A	Very well. I have no idea what you talk about, but I'm here to stop you anyways.	Muy bien. No tengo ni idea de qué hablas, pero he venido a detenerte igualmente.	5			
5	Q	Come to your death, but know that I will not fight alone...	Ven a tu muerte, pero no voy a luchar sola...	6			
6	A	What do you mean?	¿Qué quieres decir?	7			
7	Q	I summon you, Tyogos, guardian of the Flame! [BLUE](A magical portal opens and  a druid appears besides her)[]	¡Yo te convoco, Tyogos, guardián de la Llama! [BLUE](Un portal mágico se abre, y un druida aparece junto a ella)[]	8	NPCinArea#tyogos	"NPCDespawn#tyogos;NPCSpawn#tyogos_summoned;Particle#tyogos_summoned,teleport"	
7	Q	I summon you, Tyogos, guardian of the Flame! [BLUE](A magical portal opens... But it flickers and disappears.)[] What? Tyogos is dead? It doesn't matter. You'll be destroyed.	¡Yo te convoco, Tyogos, guardián de la Llama! [BLUE](Un portal mágico se abre,pero desaparece sin que aparezca nada)[] ¿Qué? Tyogos ha muerto... Pero no importa, igualmente serás destruido.	9			
8	A	Damnit, this is not fair...	Maldición, esto no es justo...	10			
9	A	Heh, are things not going according to plan, sorceress?	¡Ha! ¿Las cosas no van según el plan, hechicera?	10			
10	Q	I summon you, Surtag, swordmaster of my people! [BLUE](A magical portal opens and a mighty warrior appears besides her)[]	¡Yo te convoco, Surtag, maestro de espadas de mi gente! [BLUE](Un portal mágico se abre, y un poderoso guerrero aparece junto a ella)[]	11	NPCinArea#surtag	"NPCDespawn#surtag;NPCSpawn#surtag_summoned;Particle#surtag_summoned,teleport"	
10	Q	I summon you, Surtag, swordmaster of my people! [BLUE](A magical portal opens... But it flickers and disappears. You see doubt in the woman's expression)[] Impossible... You killed my swordmaster? A thousand deaths are not enough punishment for you, monster.	¡Yo te convoco, Surtag, maestro de espadas de mi gente!  [BLUE](Un portal mágico se abre,pero desaparece sin que aparezca nada. Ves dudas en la expresión de la hechicera)[] Imposible... Mataste a mi maestro guerrero... Mil muertes no serían bastante castigo para tí, monstruo.	12			
11	A	Uh... This doesn't look good.	Uh... Esto no tiene buena pinta.	0			
12	A	[BLUE](Chuckle)[] I think you're not going to see your warrior until you dive into hell, witch.	[BLUE](Reirse)[] Creo que no vas a ver a tu guerrero hasta que caigas en los infiernos, bruja.	0			
20	Q	Are you trying to make me talk? But why not... you will die here and now, after all. Know that with all my powers, I was only able to locate one shard. I am researching ways to destroy it, so you can never again bring ruin to our world.	¿Intentas hacerme hablar? Pero por qué no... Al fin y al cabo, vas a morir aquí y ahora. Con todo mi poder, sólo he conseguido encontrar un fragmento... Y estoy buscando la forma de destruirlo, para asegurarme de que tu gente no vuelva a traer la ruina a nuestro mundo.	21			
21	A	[BLUE](Keep bluffing)[] Why do you think I would like to destroy the world? That's silly. Think about it.	[BLUE](Seguirle la corriente)[] ¿Por qué crées que quiero destruir el mundo? Eso es una tontería, piénsalo.	24			
21	A	I see. But I am not here about any shard. I am here to stop you from filling the hills with spiders and murdering innocent people.	Ya veo. Pero no estoy aquí por ningún fragmento. Estoy aquí para evitar que llenes de arañas las colinas y que acabes con gente inocente.	22			
22	Q	Liar. I can't believe you call the mercian soldiers, murderous slavers, innocent people. We both know why you are here. Your time is over.	Mentiroso. No puedo creer que llames a los soldados mercios 'gente inocente'. ¡Esclavistas y asesinos! Ambos sabemos por qué has venido. Tu tiempo se ha acabado.	23			
23	A	Let's keep talking... Maybe we can find a compromise. Fighting is pointless.	Sigamos hablando... Quizá podamos hacer unt rato. Luchar es inútil.	3			
23	A	Enough talking, witch. Show me what you got.	Suficiente charla, bruja. Enséñame lo que sabes hacer.	5			
