index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](This Rexadon is obviously a chief of some sort, as the painting on his armor seems more elaborate)[] What's this, warmskins here? You dare to steal our loot, now that you heard we managed to pass the gate? Leave now, or you'll pay with your lives.	[BLUE](Este Rexadon parece algún tipo de líder, como muestran las elaboradas pinturas de su armadura)[] ¿Qué es esto? ¿Pieles-calientes vienen a robar nuestro botín, al enterarse de que hemos conseguido cruzar la puerta? ¡Marchaos o moriréis!	2		
2	A	Alright, no reason to get nervous. We leave.	De acuerdo, no hay razón para ponerse nervioso. Nos marchamos.	3		
2	A	We come in peace and maybe we can work together.	Venimos en paz, podríamos trabajar juntos.	12		
2	A	Filthy son of a lizard, you're going to regret coming to this valley.	Asqueroso hijo de un lagarto, te vas a arrepentir de venir a este valle.	12		
2	A	Loot? Gate? That sounds interesting.	¿Botín? ¿Puerta? Eso suena interesante.	6		
3	Q	Did I say 'leave'? Sorry, what I mean is, give us all your gold and gems, then you can leave.	¿He dicho que os podéis ir? Es un malentendido, lo que quería decir es que si nos entregas todo el oro y joyas, te puedes marchar.	4		
4	A	Come and take it if you can, scaly.	Ven y cógelo si puedes, escamoso.	12		
4	A	Very well, I agree. Everything for peace and friendship.	Muy bien, acepto. Todo por la paz y la amistad.	5		
5	Q	Really? I was just trying to pick a fight, you know, but you mammals have no self-respect. You are literally suckers since you are born, so I shouldn't be surprised. 	¿En serio? Intentaba provocar una pelea, por si no te has enterado, pero los mamíferos no teneis dignidad. Normal, literalmente sois unos mamones desde que nacéis.	12		
6	Q	"So that's why you are here, you also heard of the treasures of the Silent Kings. We've travelled long, even crossed the seas to plunder this place; we will not share with anyone, nor need the help of pathetic mammals to find beloved gold and gems. But maybe you have some valuables of your own... let's find out."	"Por eso estás aquí, ¿eh? también has oído hablar de los tesoros de los Reyes Silenciosos. Hemos cruzado los mares para saquear este lugar; No compartiremos con nadie, ni necesitaremos la ayuda de patéticos mamíferos para encontrar el amado oro y las gemas. Pero tal vez tengas algunos objetos de valor propios ... averigüémoslo."	12		
12	Q	[BLUE](Grur makes a signal and leaves rustle around you. You are surrounded!)[]	[BLUE](Grur hace una señal y las hojas se mueven a tu alrededor. ¡Estás rodeado!)[]	0		"NPCHostile#grur;NPCSpawn#ambush"
