index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Greetings, my brave friend.	Saludos, mi valeroso amigo.	0	VariableEqual#lost_coven,100		
1	Q	[BLUE](The sage's eyes open wide as he examines the book, page by page)[]. An astounding finding, my friend. Look at this! Jorgus the Red discovered a dark secret regarding the Thuramian White Circle, which horrified him and made him rebel against them. I wonder what it was. I have so much to study now!	[BLUE](El sabio examina el libro página por página)[]. Un hallazgo increible, amigo mío. Jorgus el Rojo descubrió un oscuro secreto acerca del Círculo Blanco de Thuram, que le horrorizó y le hizo rebelarse contra ellos. Una pena que no dice lo que ocurrió. Tengo mucho que estudiar!	20	"VariableGreater#lost_coven,9;VariableLower#lost_coven,100;PlayerHasItem#2603"	"SetVariable#lost_coven,100;LoseItem#2603;GainXP#1400;IncVariable#REP_varsilia,3;IncVariable#REP_loreseekers,3;GainItem#3505"	
1	Q	Greetings. Remember, if you find out anything about the Lost Coven, I'll certainly be interested.	Saludos. Recuerda que si averiguas algo acerca de los Hechiceros Olvidados, estaré muy interesado en saberlo.	0	"VariableGreater#lost_coven,9;VariableLower#lost_coven,100"		
1	Q	It pleases me to see a new face in these dusty halls. Greetings.	Me agrada ver una cara nueva en estas polvorientas salas. Saludos.	2			
2	A	Greetings, who are you, sir?	Saludos, ¿Quién eres?	3			
2	A	Greetings, but I can't talk now.	Saludos, pero ahora no puedo hablar.	0			
3	Q	My name is Tangir, Loreseeker and sorcerer. My research usually deals with the history of Magic in the Kingdoms, but of course the Thuramians keep all their lore locked away from most eyes.	Mi nombre es Tangir, Buscador de Secretos y mago. Mi especialidad es la historia de la Magia en los Reinos, pero por supuesto los Thuramios guardan celosamente la mayoría de sus secretos.	4			
4	A	It must be a hard work, then. 	Debe ser un trabajo duro, entonces.	5			
5	Q	Indeed. I try to find mages that abandoned Thuram through the last century, but they are few and mostly legends. Except for Tremadan the Arch-mage, and also the Lost Coven.	Lo es. Intento centrar mi búsqueda en magos que hayan abandonado Thuram en el pasado, pero son pocos y casi todo son leyendas. Excepto en el caso del Archimago Tremadan, y también los Hechiceros Ocultos.	6			
6	A	Lost coven?	¿Los Hechiceros Ocultos?	7			
6	A	Tremadan?	¿Tremadan?	30			
7	Q	Eighty years ago, a group of mages led by Jorgus the Red tried to seize power in Icemist. The plot was discovered and they were crushed, but a few of them fled to the south. Thuram tried to locate this Lost Coven for many years, but nowadays they're almost forgotten.	Hace ochenta años, un grupo de magos liderados por Jorgus el Rojo intentó hacerse con el poder en Icemist. Fueron descubiertos y aplastados, pero algunos consiguieron huir al sur y esconderse. Durante años, los magos de Thuram les buscaron, pero hoy día han sido olvidados.	8			
8	A	I see. And where could this Lost Coven be located?	Ya veo. Y ¿Dónde podría estar su escondite?	9		SetVariable#lost_coven,10	
9	Q	Of course, no one knows. Probably somewhere in the wildlands, between Thuram and Varsilia. Jorgus was a master of Earth Elementals, so probably not on plains or forests. If I could learn more about them... I own some powerful trinkets from the Imperial age, I would definitely reward you.	Por supuesto, nadie lo sabe. Probablemente en algún lugar de las tierras salvajes entre Thuram y Varsilia. Jorgus era un maestro de los Elementales de Tierra, así que dudo que se escondiera en llanuras o bosques. Si pudiera averiguar más acerca de ellos...	10			
10	A	If I ever find out more about them, I'll get back to you.	Si alguna vez averiguo algo al respecto, volveré.	0			
20	A	Sure, sure... But what about a reward?	Claro, claro... Pero ¿Y mi recompensa?	21			
21	Q	Absolutely! I will give you my most prized possession: a cloak that was worn by my great-grandfather while he served at the Emperor's personal guard. It is time it sees some use again.	¡Por supuesto! Te daré mi posesión más valiosa: una capa que fue usada por la Guardia Personal del Emperador. Mi tatarabuelo la usaba, ya es hira de que vuelva a ver algo de acción!	0			
30	Q	Tremadan the Wise, Lord of Myros, was a very famous figure in the last years of the Empire. He lived here in the Isle of Varannar when the Empire fell, but after so many years, there's no track or record of his whereabouts.	Tremadan el Sabio, Señor de Myros, era un personaje muy famoso en los últimos años del Imperio. Algunos registros dicen que vivía aquí en New Garand cuando el Imperio cayó, pero un siglo después no ha quedado nada de información.	31			
31	A	Umm... Yeah sure, absolutely nothing is known. But what about that Lost Coven you mentioned?	Ummm.... Si, claro, no se sabe absolutamente nada. Y ¿Qué hay de esos Hechiceros Ocultos que mencionaste?	7			
