progress	description	description_ES	actions
0	Кровавая Жатва	po	
10	В городе на кого-то напали, я должен им помочь.	po.	
12	Вампиры напали на горожан! Я разобрался с ними, но появилась ещё одна угроза.	po.	
15	На меня напал какой-то некромант, я должен разобраться с ним.	po.	
20	Мне необходимо встретиться с братом Габриэлем, чтобы обсудить нападения вампиров.	po.	
22	Мне необходимо встретиться с Гризендой, чтобы поговорить насчёт её сестры, которая, возможно, узнала, что-то новое о вампирах.	po.	
25	Брат Габриэль попросил проверить в безопасности ли жители деревни у горы Сторм.	po.	
30	Жители деревни были убиты и обращенны в зомби! Но, похоже, часть из них забрали в замок Сторм, я должен их спасти.	po.	
32	Неизвестным образом я оказался на стенах замка Сторм, мне необходимо как-то спуститься.	po.	
35	Я должен разобраться с вампиршей.	po.	
37	Я должен как-то спуститься со стен замка.	po.	
40	Мне необходимо попасть в сам замок, чтобы найти выживших жителей деревни.	po.	
42	Я должен разобраться со второй вампиршей.	po.	
45	Мне необходимо попасть в сам замок, чтобы найти выживших жителей деревни.	po.	
47	Я должен разобраться с третьей вампиршей.	po.	
50	Я должен разобраться с бароном Стормом.	po.	
52	Я должен разобраться с некромантом и лордом вампиров.	po.	
55	Мне необходимо вернуться к брату Габриэлю, чтобы сообщить о случившемся в деревню у горы Сторм и в замке.	po.	
60	Я должен встретиться с сестрой Гризенды в Навариане, чтобы узнать важную информацию о вампирах.	po.	
62	Я должен вернуться в замок Сторм, чтобы найти записи его основателя о способе победы над вампирами.	po.	
65	Я должен найти некромантку, живущую в Мёртволесье рядом с Кингсбриджем, чтобы с помощью неё установить связь с духом основателя замка Сторм.	po.	
67	Мне необходимо принести какую-нибудь вещь, принадлежавшую основателю замка Сторм, некромантке Гвен в Мёртволесье. Возможно, сестра Гризенды поможет мне.	po.	
70	Мне необходимо найти древнюю печать, с помощью которой удасться запереть вампиров в их логове, в заброшенной башне в горах Замор.	po.	
72	Мне удалось найти древнюю печать, теперь необходимо встретиться с Анитой в Фритауне, чтобы обсудить поиски меча, способного убить главного вампира.	po.	
75	Анита сообщила мне, что меч находится у похитителя, мне необходимо найти его убежище в Изумрудной долине.	po.	
77	Я должен одолеть злого призрака, охраняющий чьи-то человечьи остатки.	po.	
80	Я должен встретиться с Анитой у замка Сторм.	po.	
81	Я должен иметь при себе древнюю печать, чтобы волшебник мог её активировать в подземелье замка Сторм.	po.	
83	Я должен попасть в подземелье замка Сторм, чтобы волшебник мог активировать древнюю печать.	po.	
85	Я должен победить лорда вампиров, чтобы попасть в подземелья замка Сторм.	po.	
87	Я должен попасть в подземелье замка Сторм, чтобы волшебник мог активировать древнюю печать.	po.	
90	Я должен победить трио вампирш, чтобы попасть в подземелья замка Сторм.	po.	
92	Я должен попасть в подземелье замка Сторм, чтобы волшебник мог активировать древнюю печать.	po.	
95	Я должен победить лорда вампиров, чтобы попасть в центр подземелья замка Сторм.	po.	
97	Я должен попасть в центр подземелья замка Сторм, чтобы волшебник мог активировать древнюю печать.	po.	
98	Я должен победить лорда крови, который хочет помешать волшебнику активировать древнюю печать.	po.	
100	Мне удалось победить вампиров замка Сторм, заперев их в логове.	po.	
