index	type	text	text_ES	Go To	conditions	actions
1	Q	Чего тебе, хозяин?	port	4	NPCisFollower#	
1	Q	Не бей меня! Я буду тебе служить, но только немного {LEVELx10} на жрачку мне дай.	po  {LEVELx10}  rt.	2		
2	A	Извини, но нас уже слишком много в группе.	port.	0	hasFollower#	
2	A	Это было бы прекрасно! Следуй за мной. Добро пожаловать в команду.	port.	0	"hasNoFollower#;PlayerHasGold#{LEVELx10}"	"NPCFollow#;LoseGold#{LEVELx10}"
2	A	Не сейчас, спасибо. Возможно в будущем.	port.	3		
3	Q	Я буду очень рад, если ты передумаешь.	port.	0		
4	A	Ничего, давайте двигаться дальше.	port.	0		
4	A	Мне больше не нужны твои услуги. Спасибо за помощь и до свидания.	port.	5		
4	A	Пожалуйста, подвинься немного, ты стоишь на пути.	port.	6		
5	Q	Я свободен! Готов снова тебе служить, если вновь увидемся.	port.	0		NPCStopFollowing#
6	Q	Ага.	port	0		NPCMoveRandom#
