index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Yes, my friend?	Saludos, amigo.	11	NPCisFollower#		
1	Q	Hello, friend. Do you need my services as a warrior?	Hola, amigo. Necesitas de mis servicios como guerrera?	9	VariableEqual#warrior_honor,110		
1	Q	I... I can't believe it, you found my grandfather's ring! And you did it all by yourself. I am impressed by your courage.	No puedo creerlo... Recuperaste el anillo de mi abuelo! Y lo hiciste tú solo. Tu coraje me deja sin palabras.	6	"VariableEqual#warrior_honor,20;playerhasitem#2502"		
1	Q	Hello there, traveller.	Saludos, viajero. 	0	VariableEqual#warrior_honor,10		
1	Q	Hello there, traveller.	Saludos, viajero. 	0	VariableEqual#warrior_honor,100		
1	Q	Hello there, traveller. [BLUE](The armored woman salutes you, while she keeps watching the ruins' entrance)[]	Saludos, viajero. [BLUE](La mujer armada parece estar vigilando la entrada de las antiguas ruinas)[]	2			
2	A	Hello, who are you? Why are you watching over these ruins?	Hola, quién eres, y por qué vigilas estas ruinas?	3			
2	A	Hello... And goodbye, I am busy.	Hola... Y adiós, estoy ocupado.	0			
3	Q	I am Grissenda, a Warrior from Kingsbridge. I heard a rumor about this ruin holding a valuable heirloom of my family: the Ring of the Elements.	Soy Grissenda, guerrera de Kingsbridge. Estoy aquí por un rumor, que dice que en este lugar se encuentra una antigua reliquia familiar: el Anillo de los Elementos.	4			
4	A	Oh, so you are planning to go in? Maybe we could go together!	Ah, entonces ¿planeas entrar? Quizá podamos hacerlo juntos!	5			
5	Q	[BLUE](The woman looks down, saddened and ashamed)[]No... I failed. I went down, and the undead overwhelmed me. I fled. I failed.	[BLUE](La mujer parece triste y avergonzada, y mira hacia el suelo)[]No... He fallado. Lo intenté pero los muertos vivientes eran demasiado fuertes. Escapé. Fracasé.	14		SetVariable#warrior_honor,10	
6	A	Yes, I did. Here, take it, it is yours. I know it's important for you.	Si, lo hice. Tómalo, es tuyo. Sé que es importante para ti.	7		"SetVariable#warrior_honor,110;loseitem#2502;IncVariable#REP_varsilia,3;GainXP#300"	
