index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](Furulipo leans against a wall near the city gate, arms crossed, watching the crowd with the practiced eye of someone who has spent years reading people. He spots you before you spot him.)[] You've changed. I can see it in the way you walk. More alert. More dangerous. Good. You'll need every bit of it.	[BLUE](Furulipo se apoya contra una pared cerca de la puerta de la ciudad, brazos cruzados, observando a la multitud con el ojo entrenado de alguien acostumbrado a buscar amenazas)[] Llegas tarde. Pero llegas. Eso es lo que importa.	2			
2	A	I was hoping to see you again. I have questions.	Tenía la esperanza de verte de nuevo. Tengo preguntas.	3			
2	A	You kept your word. You found me.	Cumpliste tu palabra. Me encontraste.	4			
2	A	More riddles?	¿Más acertijos?	5			
2	A	I should go. (Leave)	Debo irme. (Salir)	0			
3	Q	Questions? Good. Questions mean you're paying attention. But understand this: I'll answer what I CAN answer. Some things... the timing isn't right. Not because I don't trust you. Because knowledge, at the wrong time, is a weapon that cuts the one who holds it. Ask.	*asiente* Preguntas. Siempre preguntas. Está bien. Te has ganado unas cuantas respuestas. Pero no aquí, al aire libre. *te guía a un rincón más tranquilo* Ahora, ¿qué quieres saber?	6			
4	Q	I always keep my word. It's all I have left. *looks at the city* This city... it's built on layers. Lies on top of lies on top of forgotten truths. The people here think they're safe behind these walls. They have no idea what's rotting beneath their feet.	Siempre cumplo mi palabra. Es lo único que me queda que vale algo. *mira tus cicatrices de batalla* Y veo que has estado ocupado. Bien. Vas a necesitar ese endurecimiento para lo que viene.	5			
5	Q	*irritated* Riddles? You think I ENJOY being cryptic? Every word I hold back is a knife in my gut. But I've seen what happens when someone knows too much at the wrong time. They become a target. Or worse... a weapon someone else aims.	*resopla* No son acertijos. Son capas de verdad. Cada capa que revelo te acerca más al peligro. Y yo... *voz se suaviza* ...no quiero perderte como perdí a los otros. Pero tienes razón. Ya es hora de más respuestas.	6			
6	A	[A] What's happening beneath the surface?	Cuéntame más sobre tu Orden.	7			
6	A	[A] Tell me more about your Order.	¿Qué es lo que realmente me persigue?	7			
6	A	[A] You said there are others like me. Who?	¿Qué pasó con tu hermano?	7			
6	A	What should I do next?	Debo irme. (Salir)	16			
