index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](Какой-то волшебник суетящийся возле телепорта)[] Здраствуй, странник! Если ты застрял в этом месте, я могу помочь тебе выбраться. Этот портал хоть и древний, но я смогу заставить его работать и переместить тебя в один из крупных городов.	port.	2		
2	A	Хорошо, давай попробуем.	port.	3		
2	A	Мне это не интересно.	port.	0		
3	Q	Надеюсь, у тебя найдётся пара монет на мои хлопоты[BLUE]30 золотых[]. Ну, куда тебе отправить?	port [BLUE]30 monedas[].	4		
4	A	Хорошо, телепортируй меня в [BLUE]Нью-Гаранд[]! Вот моё золото.	port.	5	PlayerHasGold#30	
4	A	Хорошо, телепортируй меня в [BLUE]Фритаун[]! Вот моё золото.	port.	19	PlayerHasGold#30	
4	A	Хорошо, телепортируй меня в [BLUE]Нивариан[]! Вот моё золото.	port.	30	PlayerHasGold#30	
4	A	Может, в другой раз.	Quizá en otro momento.	0		
5	Q	Надеюсь, это сработает правильно...	port.	6		
6	A	Отправляй меня!	Estoy preparado.	0		"loseGold#30;Particle#;Travel#NGZ,999;Particle#teleport"
19	Q	Надеюсь, это сработает правильно...	port.	20	IsRegistered#	
20	A	Отправляй меня!	Estoy preparado.	0		"loseGold#30;Particle#teleport;Travel#FT,999;Particle#teleport"
30	Q	Надеюсь, это сработает правильно...	port.	31	IsRegistered#	
31	A	Отправляй меня!	Estoy preparado.	0		"loseGold#30;Particle#teleport;Travel#NI,999;Particle#teleport"
