index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Hello, I'm glad to see you around. 	Hola, me alegro de verte por aquí.	60	VariableEqual#guild_seventh,1		
1	Q	Hello, have you considered becoming a member of the Seventh House? After your last job for us, you'd be welcome.	Hola, ¿has pensado si quieres ser miembro de la Séptima Casa? Tras tu última misión, no habría problema.	56	VariableGreater#smugglers_night,99		
1	Q	The word is out, you found and killed those idiots. You did... adequately. Mindless bloodshed is not our style, this is not a dungeon. But I admit you solved the problem. Take this reward.	"Se cuenta que acabaste con esos estúpidos. Tu actuación ha sido... Aceptable. La violencia sin sentido no es nuestro estilo; esto no es una mazmorra. Pero reconozco que el problema ha sido resuelto. Toma esta recompensa."	50	VariableEqual#smugglers_night,50	"SetVariable#smugglers_night,100;GainXP#400;GainGold#400;IncVariable#REP_seventhhouse,6"	
1	Q	"The word is out, you fought that idiot and interrupted his operations; he won't dare to smuggle again, at least until he finds a safer spot to unload. You did... Adequately. Mindless bloodshed is not our style, this is not a dungeon. But I admit you solved the problem, at least for a while. Here's a small reward. To be honest, I expected more of you."	"Se cuenta que luchaste con ese estúpido. No se atreverá a hacer contrabando hasta que encuentre otro lugar donde descargar. Tu actuación ha sido... Aceptable. La violencia no es nuestro estilo; esto no es una mazmorra. Pero reconozco que el problema ha sido resuelto, al menos por el momento. Sinceramente, esperaba más. Toma esta pequeña recompensa."	50	VariableEqual#smugglers_night,45	"SetVariable#smugglers_night,100;GainXP#300;GainGold#300;IncVariable#REP_seventhhouse,4"	
1	Q	A few minutes ago, I received a bag full of gold from that Rodo. I am impressed, I admit. I expected you to try to solve this with violence, and instead you were smart, and brought us profit. The boss said you earned this reward.	Hace unos minutos llegó una bolsa de oro de parte de Rodo. Estoy impresionada, lo admito. Pensaba que simplemente usarías la fuerza, y en lugar de eso fueste inteligente y nos has traido beneficios. El jefe me ha dicho que tomes esta recompensa.	50	VariableEqual#smugglers_night,40	"SetVariable#smugglers_night,110;GainXP#600;GainGold#500;IncVariable#REP_seventhhouse,10"	
1	Q	Any luck with those smugglers?	¿Ha habido suerte con esos contrabandistas?	15	VariableEqual#smugglers_night,30		
1	Q	Any luck with those smugglers?	¿Ha habido suerte con esos contrabandistas?	15	VariableEqual#smugglers_night,20		
1	Q	You again. The job is still open if you're interested. Those damn smugglers are hurting our business.	Tú de nuevo. El trabajo sigue disponible, si te interesa. Esos malditos contrabandistas están haciéndonos perder dinero.	10	VariableEqual#smugglers_night,10		
1	Q	[BLUE](smiles at you mockingly, and everyone else in the room remains quiet. It's obvious this woman holds authority here)[] Oh look, isn't it the famous adventurer. You lost your way, didn't you. Or you think you belong in here?	Oh mira... Pero si es el famosísimo aventurero. Seguramente te has perdido. ¿O creés que perteneces a este lugar?	2			
2	A	Yes I do belong here.	Si, pertenezco a este lugar.	3			
2	A	Uh... I have no idea where I am, to be honest.	Uh... La verdad, no tengo ni idea de dónde estoy.	5			
2	A	I thought in places like this, no questions were asked. I'm here, and that's enough.	Pensaba que en lugares como este, no se hacían preguntas. Estoy aquí y eso basta.	6		IncVariable#REP_seventhhouse,3	PER#2
3	Q	Not a bad answer, bold people can go places... Providing they survive. But it's not your choice if you belong here or not. You'll provide a service for the House, only then you'll be considered a Brother.	No es una mala respuesta. La gente osada puede llegar lejos... Si sobreviven. Pero no es decisión tuya si eres miembro de la Casa o no. Deberás cumplir una misión, sólo entonces te llamaremos Hermano.	4			
4	A	A job? Tell me about it.	¿Un trabajo? Cuéntame más.	7			
5	Q	You wouldn't be here if you didn't know this is the Seventh House. But I'll play along. We're a guild, we do business, seize opportunities. If you want to work with us, you'll have to perform a job for us, so we know you can be trusted.	No habrías llegado hasta aquí si no supieras que esta es la Séptima Casa. Somos un gremio, hacemos negocios, y buscamos... Oportunidades. Pero no podemos confiar en tí hasta que no hagas un trabajo para nosotros.	4			
6	Q	[BLUE](She smiles)[] Good. You are mostly right. We don't ask questions, but among Brothers and Sisters. You're still a stranger among us. You'll have to perform a job for us, so we know you can be trusted.	[BLUE](Sonríe)[]Bien. En parte tienes razón, aquí no nos hacemos preguntas, somos Hermanos y Hermanas. Pero tú eres un extraño. No podemos confiar en tí hasta que no hagas un trabajo para nosotros.	4			
7	Q	Maybe you know, trade with Mercia is forbidden, yet every noble wants their mercian wine and silk, and we're happy to provide. We control all the smuggling going on in this town. But there's certain group, that has decided to work on their own. They must be stopped.	Seguramente sabes que el comercio con Mercia está prohibido, pero a los nobles les encanta beber su vino igualmente, y nosotros estamos encantados de vendérselo. Controlamos el contrabando de esta ciudad. Pero hay cierto grupo que ha decidido trabajar por su cuenta. Hay que pararles.	8			
8	A	What does 'stop them' exactly mean?	¿Qué significa exáctamente 'detenerles'?	9			
9	Q	We're not assasins. Find them, and try to convince them to pay their fair share to us. It's better for everyone. If they don't... Well, make sure they are removed from the scene. Interested?	No somos asesinos. Encuéntrales, e intenta convencerles de que paguen. Si no, elimínales de la escena. Te interesa?	10		SetVariable#smugglers_night,10	
10	A	I have to think about this. Maybe I'll be back later.	Tengo que pensármelo, quizá volveré más tarde.	30	NPCIsInParty#adaon,adaon		
10	A	I have to think about this. Maybe I'll be back later.	Tengo que pensármelo, quizá volveré más tarde.	0	NPCisNotInParty#adaon,adaon		
10	A	Deal. Tell me the details.	Trato hecho, dime los detalles.	11	NPCisNotInParty#grissenda,mercenary_grisenda		
10	A	Deal. Tell me the details.	Trato hecho, dime los detalles.	40	NPCIsInParty#grissenda,mercenary_grisenda		
11,R	Q	Fine, you are making a good choice. These bastards are run by some scum called Rodo. They probably operate at night, here in the docks or maybe outside town. Come back to me when they're not a problem anymore.	Bien, me alegro de que tomes esa decisión. Estos bastardos tienen un jefe llamado Rodo. Seguramente descargan su mercancía por la noche, en los muelles de la ciudad o en los alrededores. Vuelve cuando el problema esté resuelto.	0		SetVariable#smugglers_night,20	
15	A	I'm also very happy to see you, thanks.	Yo también me alegro de verte, gracias.	16			
15	A	Not yet.	Aun no.	0			
16	Q	Careful. The last rookie that tried to be a smartass with me, is now rat fodder.	Mucho cuidado. El último novato que intentó hacerse el gracioso conmigo, es ahora comida para ratas.	0			
30,adaon	Q	What? Are you crazy? After all we went through? These people can help us, I tell you. They have informants everywhere. Trainers. Good jobs to profit from.	¿Qué? ¿Después de todo lo que hemos trabajado? Esta gente nos puede ayudar, tienen informadores en todas partes, pueden ofrecer entrenamiento y trabajos.	31			
31	A	Adaon, I am no criminal.	Adaon, yo no soy un delincuente.	33			
31	A	when you put it that way... Okay, let's do this.	Me has convencido... Vale, hagamos esto.	11			
33	Q	I can't believe this... I hope you change your mind soon	No me lo puedo creer... Espero que cambies pronto de opinión.	0			
40,mercenary_grisenda	Q	Wait, my friend. Are we going to associate ourselves with these vile criminals? I will not tolerate it.	Espera mi amigo ¿Vamos a asociarnos con estos viles criminales? No puedo permitirlo.	41			
41	A	Sigh... Okay Grissenda, let's just walk away from this.	sigh... De acuerdo Grissenda, mejor vamos a marcharnos	0			
41	A	Listen, I have very dangerous personal enemies I need to locate. The friendship of this guild will be essential. Trust me.	Escucha, tengo enemigos personales muy peligrosos, que necesito encontrar. La ayuda de este gremio puede ser esencial. Confía en mí.	42			
42	Q	Very well... For now, I'll trust you, but only while we don't bring any innocents to harm. I don't like this.	Muy bien... Por ahora confiaré en tí, mientras no se haga daño a inocentes. Esto no me gusta.	11			
50	A	So what now, am I a member of the Seventh House?	Y entonces, ¿Ya soy un miembro de la Séptima Casa?	51			
51	Q	I am afraid you are already loyal to another guild. A Loyalty Oath can only be taken once, in a lifetime.	Me temo que ya eres leal a otro gremio. Un Juramento de Lealtad sólo puede hacerse una vez en la vida.	0	PlayerHasGuild#		
51	Q	Only if you take the magical [BLUE]Loyalty Oath[]. Be aware once you take it, it will stay forever. You won't be able to join any other guild. If you prefer to simply remain our friend, that's fine. Don't take the oath, and come here to train or deal. Maybe I can even offer some jobs in the future.	Sólo si pronuncias el [BLUE]Juramento mágico de Lealtad[]. Recuerda que si lo haces, es para siempre, y no podrás unirte a ningún otro gremio. Si prefieres ser simplemente amigo, no hay problema: no tomes el juramento, y ven cuando quieras a entrenar o negociar. Puede que tenga misiones mara tí en el futuro.	52			
52	A	What do I get if I take the oath and become a member? And what will be my duties?	¿Qué obtengo si me convierto en miembro del gremio? ¿tendré obligaciones?	53			
53	Q	"We are a very free organization; make sure you don't harm other members, or their profits. I can train you in advanced rogue skills, and the boss himself may offer you quests and other interesting deals. Finally, you might be able to access our resources in other towns."	"Somos una organización muy libre. No debes hacer daño a otros miembros ni a sus beneficios. Yo podría entrenarte en habilidades avanzadas de ladrones. El jefe en persona podría ofrecerte misiones y otros tratos interesantes; y podrás acceder a nuestros recursos en otras ciudades."	54			
54	A	Very well. [BLUE](Take the Oath and become a member of the Seventh House)[] [RED](NOTE: This decision has no way back!)[]	Muy bien. [BLUE](Tomar el Juramento y convertirse en miembro de la Séptima Casa)[]  [RED](NOTA: ¡Esta decisión no tiene vuelta atrás!)[]	55		"SetVariable#guild_seventh,1;IncVariable#REP_seventhhouse,10;DecVariable#REP_varsilia,8"	
54	A	I'll have to think about it.	Tendré que pensarlo.	0			
55	Q	You're now part of a great family, a great House. I'm glad to be now your Sister. May all our dealings be profitable.	Ahora eres parte de una gran familia, una gran Casa. Me alegro de ser tu nueva Hermana. Haremos buenos negocios.	0			
56	A	Am I not a member yet? Even after helping you out with the smugglers?	¿Aun no soy un miembro, verdad? ¿incluso después de ayudaros con los contrabandistas?	51			
56	A	Actually, I have a small problem. I need three important people to sign me a petition, but I can't seem to convince them. Can you help me?	La verdad, tengo un problema. Necesito que tres ciudadanos importantes me firmen una petición, pero no lo consigo. ¿Me puedes ayudar?	71	"VariableGreater#three_versus_eleven,19;VariableLower#three_versus_eleven,23;VariableLower#petition_kardagis,1"		
60	A	Can you train me, Sister?	¿Puedes entrenarme, Hermana?	61			
60	A	I would like to trade with you	Me gustaría comerciar contigo.	0		OpenShop#	
60	A	Can I see the boss? There's things I might want to discuss with him.	¿Puedo ver al jefe? Hay cosas que me gustaría discutir con él.	63			
60	A	Actually, I have a small problem. I need three important people to sign me a petition, but I can't seem to convince them. Can you help me?	La verdad, tengo un problema. Necesito que tres ciudadanos importantes me firmen una petición, pero no lo consigo. ¿Me puedes ayudar?	71	"VariableGreater#three_versus_eleven,19;VariableLower#three_versus_eleven,23;VariableLower#petition_kardagis,1"		
