index	type	text	text_ES	Go To	conditions	actions
1	Q	The evil presence is gone... Whatever you did, it worked. The undead will keep plaguing that place for now, but whatever evil was being prepared there, is now stopped thanks to you. Here is your reward, my friend.	La presencia maligna ha desaparecido... No sé que hiciste pero ha funcionado. Seguirá habiendo muertos vivientes allí, pero el mal que se preparaba ha sido detenido, gracias a ti. Aquí tienes tu recompensa. 	0	VariableEqual#dark_matters,20	"SetVariable#dark_matters,100;IncVariable#REP_the_three,4;IncVariable#REP_varsilia,3;GainXP#700;GainItem#3503"
1	Q	Welcome again. Sister Hirge told me about your decision to help us getting that temple for The Three. I trust you completely on this matter.	Bienvenido de nuevo. La Hermana Hirge me ha dicho lo que habéis hablado acerca de conseguir el templo para Los Tres. Confiamos en tí plenamente.	2	"VariableGreater#three_versus_seven,0;VariableLower#three_versus_seven,100"	
1	Q	Wonderful, with this fine building, there's so much we can do. We can open a hospital, a school, and much more. Thanks again.	Maravilloso. Con este fantástico edificio, es tánto lo que podemos hacer... Un hospital, una escuela... ¡gracias de nuevo!	2	VariableEqual#three_versus_seven,100	
1	Q	Welcome again. I can still feel the dark presence in the graveyard hills. The Three will protect you in your quest.	Bienvenido de nuevo. Aun puedo sentir la presencia maligna en las colinas del cementerio. Los Tres te protegerán en tu misión.	2	"VariableGreater#dark_matters,0;VariableLower#dark_matters,20"	
1	Q	[BLUE](the man bows down)[] Welcome to this humble shrine. May the Three guide your steps. 	[BLUE](el hombre hace una reverencia)[] Bienvenido a esta humilde capilla. Que Los Tres guíen tus pasos.	2		
2	A	I require healing	Necesito curación.	3		
2	A	I am surprised to see altar here in the street.	Me sorprende ver vuestro altar aquí en la calle.	8	"VariableLower#know_temple,1;AreaIs#NG"	
2	A	Can I be of service to The Three?	¿Hay algún trabajo que pueda hacer para Los Tres?	21		
3	Q	I can heal you, in exchange of a small contribution to our Shrine. 	Puedo curarte, a cambio de una pequeña contribución a esta Capilla. 	4		
4	A	Here is a small donation. Please heal me. [BLUE](Pay 25 gold coins, be healed for 25hp)[]	Aquí tienes un pequeño donativo. Por favor cúrame. [BLUE](Pagar 25 monedas, curar 25hp)[]	5	PlayerHasGold#25	"GainHP#25;LoseGold#25"
4	A	I wish to make a large donation then. Please heal me. [BLUE](Pay 60 gold coins, be healed for 80hp)[]	Voy a hacer una buena donación. Por favor cúrame. [BLUE](Pagar 60 monedas, curar 80hp)[]	5	PlayerHasGold#60	"GainHP#80;LoseGold#60"
4	A	Not at the moment thanks. I better be on my way.	Ahora no, gracias. Mejor me marcho.	0		
