index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](The aged warrior salutes martially)[] Nobody else but me and the Magister had survived the Wastes without being in a large group and magically protected. For the High Powers, you are a true warrior! Such strength and courage tell me you are worthy of our trust. Only the cowards lie.	[BLUE](El guerrero veterano te saluda militarmente)[]. Nadie excepto el Maestro y yo ha sido capaz de cruzar los Páramos sin estar en un grupo grande y con defensas mágicas. ¡Por los Altos Poderes, eres un auténtico guerrero! Tal fuerza y valor significa que eres digno de confianza. Sólo los cobardes mienten.	2		
2	A	Greetings to you, sir Valeran. Do you think the Magister will think likewise? Is he ready to accept me into the Forsaken?	Saludos, Sir Valeran. ¿Crées que el Maestro piensa lo mismo? ¿Me aceptará como miembro de Los Olvidados?	3		
3	Q	Yesterday, maybe. Today, he'd skin you alive if he could. And it's all because of your sister.	Ayer, quizá. Ahora te desollaría vivo. Por culpa de tu hermana.	4		
4	A	Amarisa? What did she do?	¿Amarisa? ¿Qué ha hecho?	5		
5	Q	"She escaped; we know she's still in the ark because she doesn't want to flee; she is trying to destroy us. And she might win. [BLUE](He speaks with hate, but there's a trace of admiration as well)[]"	"Escapó; sabemos que sigue por aquí, porque no creas que ha huido aterrorizada; intenta destruirnos. Y quizá lo consiga. [BLUE](Habla con odio, pero percibes algo de admiración también[])"	6		
6	A	Come on, what can a single young mage do against all of the Forsaken?	Vamos, ¿Qué puede hacer una joven maga sola contra todos los Olvidados?	7		
7	Q	She researched some of the machines in the Ark, and apparently has become quite an expert. Suddenly all these strange creatures made of steel were no longer under our control! She has done... something, and now we're besieged among the metal beasts.  We can handle them, but we can no longer move freely, nor can use them to defend ourselves.	Investigando las máquinas del Arca, parece haberse convertido en una experta. Un día las extrañas bestias de metal dejaron de obedecernos y se convirtieron en nuestros enemigos! Ella ha hecho... Algo, y ahora estamos asediados por los monstruos de acero. Podemos manejarles, pero ya no nos movemos libremente, ni nos sirven de defensa.	8		
8	Q	"Tonight some strange rumble woke us up. Our sages concluded that an ancient machine called 'Emergency Reactor' has been awakened in the depths of the ship; this must be her doing too, and probably means we're in for trouble . The Magister is truly furious. I don't think he'd enjoy the company of another spawn of Tremadan right now..."	Anoche nos despertó un extraño rugido. Nuestros sabios han concluido que una antigua máquina llamada 'Reactor de Emergencia' ha despertado en el interior del Arca. Seguro que ha sido ella, y seguro que para nada bueno. El Maestro está furioso, y no creo que le apetezca mucho confiar de nuevo en un descendiente de Tremadan...	9		
9	A	But... After all I've done to reach immortality! There must be something I can do to prove my worth!	Pero... ¡Después de todo lo que he pasado para alcanzar la inmortalidad! Debe haber algo que pueda hacer para probar mi lealtad.	10		
10	Q	Indeed there is a way. Kill your sister and stop that machine.	Hay una manera. Mata a tu hermana y detén esa máquina.	11		
11	A	... Kill her?	... ¿Matarla?	12		
12	Q	You said you wanted to join us at any price. She is a traitor, and in her stupidity she believes those stories about The Horrors and the end of the world. There's no other way, only then the Magister will welcome you and trust you.	Dijiste que querías unirte a nosotros a cualquier precio. Ella es una traidora y, en su estupidez crée las historias sobre Los Horrores y el fin del mundo. Acaba con ella, sólo entonces el Maestro te recibirá y confiará en tí.	13		
13	A	Where do I go after it is done?	¿Dónde os encuentro cuando lo haga?	14		
14	Q	[BLUE](Smiles)[] To the Command Bridge of the ship, where else? You'll have to find us for yourself. I can't share such information with you... Yet.	[BLUE](Sonríe)[] en el Puente de Mando de la nave, ¿Dónde si no? Tendrás que encontrar el camino sin ayuda. No puedo confiarte información como esa... Aun.	0		"NPCDespawn#valeran;NPCDespawn#forsaken;SetVariable#where_is_amarisa,90"
