progress	description	description_ES	actions
0	Затерянный в чужих землях	po	
10	Я обнаружил тело волшебницы и её сообщении о потерянном рыцаре, мне нужно найти его и сообщить о случившемся. Возможно, в Айсмите я смогу узнать что-нибудь об этом рыцаре.	po.	
20	Сэр Илорио сообщил, что рыцаря, которого я ищу, зовут Дэмиен, и его стоит искать в Белых равнинах или Леднике Дипфрост.	po.	
30	Я произнёс заклинание странного волшебника и оказался в неизвестном месте. Возможно, здесь я найду рыцаря Дэмиена, но главное, необходимо как-то выбраться отсюда.	po.	
40	Я нашёл рыцаря Дэмиена, он предполагает, что выход из этого места находится в волшебной крепости, но чтобы попасть в неё необходимы его силы, которые что-то, находящееся на кладбище на северо-западе, блокирует.	po.	
50	Силы вернулись к Дэмиену, теперь необходимо попасть в волшебную крепость на юго-западе, но рыцарь предложил также осмотреть подземелья под кладбищем и древнюю башню на северо-востоке.	po.	
60	Я и Дэмиен оказались заперты в волшебной крепости, чтобы выбраться необходимо убить её хозяина.	po.	
70	Я убил хозяина крепости, теперь необходимо найти из неё выход.	po.	
80	Я и Дэмиен вернулись в свои земли, нужно с ним поговорить.	po.	
100	Я помог волшебному рыцарю Дэмиену вернуться из чужих земель.	po.	
