index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	*whispering, pressed against a wall in shadow* Don't look surprised to see me here. I've been watching. Listening. These people... they don't know what they're about to unleash. And neither did I, until I saw it with my own eyes.	*susurrando, pegado contra una pared en las sombras* No te sorprendas de verme aquí. He estado observando. Escuchando. Estos renegados están planeando algo grande. Y tú... estás justo en medio de todo.	2			
2	A	[A] How did you get in here?	[A] ¿Cómo entraste aquí?	3			
2	A	[A] Do you know what their leader is planning?	[A] ¿Sabes lo que planea su líder?	3			
2	A	[A] Have you seen anyone... someone who might be connected to me?	[A] ¿Has visto a alguien... alguien que pueda estar conectado conmigo?	3			
2	A	I should go. (Leave)	Debo irme. (Salir)	0			
3	Q	Ten years of hiding teaches you how to become invisible. My Order tracked these people for generations. I know their rituals, their symbols, their weaknesses. They think I'm one of them. *dark smile* They're wrong.	*sonrisa irónica* ¿Cómo? Diez años de práctica. Soy mejor escondiéndome de lo que la mayoría es encontrando. Pero este lugar... *mira alrededor nervioso* ...este lugar es diferente. Hay magia antigua aquí. Magia que no debería ser tocada. Y ellos la están tocando.	4			
4	Q	*grim face* Their leader wants to open something that should stay CLOSED. A passage to power that hasn't been touched since the old world fell. He's convinced himself he's saving Varannar. In truth, he's about to burn it to ashes. Everyone in here is too afraid or too blind to stop him.	*asiente gravemente* Una ofensiva. Están reuniendo fuerzas. No solo bandidos y mercenarios. Algo más. Algo que viene de abajo. De las profundidades. *baja más la voz* Y tienen un artefacto. Algo que les da poder sobre los no-muertos. Si no los detenemos...	5			
5	Q	*jaw tightens* Your sister... she was here. Captured. But that girl has your blood AND your stubborn will. She [RED]escaped[]. Threw this entire place into chaos. *almost smiles* I taught her a few things over the years. She's deeper inside now, doing something with the machines. Trying to stop this from the inside. [RED]Don't give up on her, no matter what anyone tells you.[]	*pausa, te observa cuidadosamente* ...Tal vez. He sentido una presencia. Alguien con sangre similar a la tuya. Más joven. Más inestable. Pero con la misma Chispa. *te mira* Si es quien creo que es... debemos encontrarla antes que ellos.	6			
6	A	Any advice before I face their leader? (Leave)	¿Más detalles?	7			
6	A	Thank you for everything, Furulipo. (Leave)	Hay que actuar rápido.	0			
7	Q	*grabs your shoulder* Their leader will try to twist your words. Make you look foolish. Use the crowd against you. But remember: not EVERYONE here is your enemy. Some of them want to do the right thing. Find those allies. And whatever happens... [RED]don't let him open that passage.[] The fate of every man, woman, and child in Varannar depends on what you do in the next hour. No pressure. *grim smile*	Voy a investigar más. (Salir)	8			
8	Q	*looks away for a moment* Don't thank me. I failed my Order. Failed my brothers. The only thing I haven't failed at is being too stubborn to die. *looks back, deadly serious* But today... today we settle accounts. Go in there. Face what's waiting. And know that whatever happens, the last knight of my Order stands with you. [RED]Always.[] Now go. Make history.	*niega con la cabeza* No aquí. Este lugar tiene oídos. Haz lo que viniste a hacer. Destruye lo que puedas. Y luego sal. Yo haré lo mismo. *aprieta tu hombro* Cuídate. Nos veremos pronto. En un lugar más seguro.	0			
