index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	What a disaster... Poor Laertes, such a young man with a bright future...	Qué desastre. El pobre Laertes, tan joven y con tanto futuro...	2	VariableEqual#world_stage,200		
1	Q	Welcome to our humble camp. Drink, sing, or play as you wish!	Bienvenido a nuestro humilde campamento. ¡Bebe, canta, y diviértete como gustes!	2			
2	A	What is this place? Who are you?	¿Qué sitio es este? ¿quiénes sois?	3			
2	A	Thanks, goodbye.	Gracias, adiós.	0			
2	A	What can I drink around here?	¿Qué puedo beber por aquí?	10			
3	Q	We are a company of mummers, bringing smiles to the poor souls inhabiting the Kingdoms. We left Friguld and the islands years ago, and finally settled down in this fine town, as the sensible minds and hearts of Anthurians seem to appreciate us and our art. Indeed, they do!	Somos artistas ambulantes, llevamos sonrisas a los sufridos habitantes de los Reinos. Dejamos Friguld y las islas años atrás, y nos hemos asentado en esta hermosa ciudad, ya que sus habitantes son de mente y corazón sensible, y nos aprecian tanto a nosotros como a nuestro arte. ¡Y mucho!	4			
4	A	Well, I don't think everyone in New Anthur is fond of you. I talked to the captain, he sounded rather... uneasy. And he claims your people have been pickpocketing and worse.	Bueno, creo que no todo el mundo en New Anthur os tiene aprecio. He hablado con el capitán y sonaba poco amigable. Y afirma que tu gente ha estado robando, y otras cosas.	5	"VariableEqual#talked_J10_captain,1;VariableLower#J10_leonato_law,1"		
4	A	That sounds fun. I'll have a look around.	Parece divertido. Echaré un vistazo.	0			
5	Q	Ah, you know, the little kids love pranks, fooling around, just that! [BLUE](He offers you a charming, contagious smile. Several gold teeth gleam under the sun)[]. A few things misplaced is no big deal, is it?	Ah, ya sabes, son cosas de chiquillos. Les gusta jugar. [BLUE](Muestra una sonrisa sincera y contagiosa, con destellos de sus dientes de oro)[]. Unas pocas cosas que se pierden, no creo que sea un problema, ¿verdad?	6			
6	A	I think it is a big deal, and this will end badly. You should do something about it.	Yo creo que sí es un problema, y que acabará mal. Deberías hacer algo.	7			
6	A	You are right. Property is meaningless, things are meant to be enjoyed by everyone.	Tienes razón. La propiedad es una ilusión, las cosas son para que todos las disfruten.	8			
7	Q	[BLUE](To your surprise, he seems to take your words seriously)[] You know, I've been listening to such things for a long time. But old Hermia told me yesterday: 'tomorrow an armed foreigner will come to you and speak words of wisdom'. Maybe I should have a talk with the young ones...	[BLUE](Te sorprende que parece tomar en serio tus palabras)[] Llevo muchos años oyendo cosas parecidas, pero la anciana Hermia me dijo ayer: 'mañana un extranjero armado vendrá y te dirá palabras sabias'. Quizá debería hablar en serio con los jóvenes...	0		"GainXP#150;SetVariable#J10_leonato_law,1;IncVariable#REP_town_new_anthur,2"	
8	Q	[BLUE](He laughs and pats your shoulder)[] Well said! Life is short, and laws and rules make it even shorter. Here, have a bottle of our most priced brew, and come to us again!	[BLUE](Rie y te da una palmada en la espalda)[] ¡Bien dicho! La vida es breve, y tantas normas y leyes la acortan aun más. Toma, una botella de uno de nuestros bebedizos más famosos,	0		"GainItem#5026;GainItem#5026;SetVariable#J10_leonato_law,2;DecVariable#REP_town_new_anthur,2"	
10	Q	The best of the best... Be it for raising your spirit or unclogging the town sewers. Friguld Rum, [BLUE]90 gold per bottle[]. So strong that even your open wounds will forget to bleed, they say.	Lo mejor de lo mejor... Ya sea para levantar el ánimo o desatascar las alcantarillas de la ciudad. Tan fuerte que hasta tus heridas se olvidarán de sangrar, o eso dicen. Una botella por [BLUE]90 monedas[]. 	11	VariableLower#TMP_leonato_bottle,1		
10	Q	Right now I'm out of grog, my friend. But tomorrow I might have more.	Ahora mismo no me queda nada, amigo. Pero mañana puedo tener más.	0			
11	A	Here's the money!	Aquí está el dinero.	0	PlayerHasGold#90	"loseGold#90;GainItem#5026;SetVariable#TMP_leonato_bottle,1"	
11	A	Maybe later...	A lo mejor más tarde...	0			
