index	type	text	text_ES	Go To	conditions	actions
1	Q	Freedom, my friend. Hey, those red boots you have there... They are just like the ones in my book! Would you give them to me, so I can study them?	Libertad, amigo mio. Escucha, esas botas rojas que llevas... ¡Son idénticas a las que aparecen en mi libro! ¿Podrías dármelas para que las investigue?	40	"VariableEqual#turning_scales,100;VariableLower#FT_dragoon_boots,1;PlayerHasItem#217"	
1	Q	Freedom, my friend. I am still researching ways to make armor pieces out of red drake scales. Maybe one day I'll master the technique.	Libertad, amigo mio. Aun sigo investigando la forma de fabricar armaduras con escamas de draco. Quizá algún día domine la técnica.	0	VariableEqual#turning_scales,100	
1	Q	[BLUE](The man looks at the red scales without hiding his excitement and admiration, but after examining them, he frowns)[]. Too rigid to make them into armor... At least until I find out how to soften them. But I can craft a shield or a buckler for you.	[BLUE](el hombre examina las escamas sin ocultar su emoción y admiración, pero parece irritado con algo)[] Demasiado rígidas para hacer armadura, al menos hasta que aprenda cómo ablandarlas. Pero puedo hacer para tí un escudo, o una rodela.	20	"VariableGreater#turning_scales,9;VariableLower#turning_scales,100;PlayerHasItems#1012,5"	
1	Q	I'm glad to see you're still alive, even if you still don't have those scales. I guess, our generation won't be able to see again wonders such as Red Leather armor.	Me alegro de ver que sigues vivo, aunque no tengas aun esas escamas. Supongo que nuestra generación no verá esa maravillosa armadura de Cuero Rojo.	0	"VariableGreater#turning_scales,9;VariableLower#turning_scales,100"	
1	Q	[BLUE](This crafter is not working on any piece currently, but reading a book with a red dragon illustration.)[] Freedom, traveller. [BLUE](He resumes his reading)[]	[BLUE](Este artesano no está trabajando en ninguna pieza, sino que lee un libro con una curiosa ilustración de un dragón rojo)[] Libertad, viajero. [BLUE](continua leyendo)[]	2		
2	A	Thanks, goodbye.	Gracias, adiós.	0		
2	A	Hello, that book looks interesting.	hola, ese libro parece interesante.	3		
3	Q	Indeed, it is. It talks about the Flaming Dragoons, an imperial elite order that set the battlefield aflame using burning oil, then walked themselves into the flames, unharmed.	ciertamente, lo es. Habla de los Dragones Llameantes, un cuerpo de élite del ejército imperial, que prendía fuego al campo de batalla usando aceite hirviendo, y después eran capaces de entrar ellos en las llamas sin sufrir daño.	4		
4	A	You don't believe that, do you?	No te crees eso... ¿verdad?	5		
5	Q	Actually, I do. They employed Red Leather armor, made of the skin of Red Drakes and Red Dragons. Yes, I know some people don't even believe the Empire existed, much less dragons, but I am an expert leatherworker and I believe this book is legitimate, it even describes the armor pieces in detail.	"Lo creo. Usaban Armadura de Cuero Rojo, hecha de escamas de Draco de Fuego, o de dragones. Hay gente que ni siquiera cree que el Imperio existió, mucho menos los dragones, pero yo soy un experto en trabajar el cuero, y este libro es serio; incluso describe las piezas de armadura en detalle."	6		
6	A	Really? Maybe I could try to hunt down some of those drakes and bring you their scales.	¿En serio? Quizá podría cazar esos dracos y traerte sus escamas.	7		
6	A	Sure, believe what you will, that won't make it true.	Seguro, crée lo que quieras, eso no lo hará real.	0		
7	Q	[BLUE](He looks at you weighing your words, then his eyes go down on the book again)[]. Well, things aren't that easy. This book is no crafting manual, so I am not sure I can actually make armor for you. But if you bring me [BLUE]5 Fire Drake scales[] I will do my best.	[BLUE](Escucha tus palabras con atención, y después vuelve a mirar el libro)[] Bueno, las cosas no son tan fáciles. Este libro no es un manual de fabricación, así que no estoy seguro de poder hacerlo. Pero si me traes [BLUE]5 escamas de Draco de Fuego[] al menos puedo intentarlo.	8		
8	A	Very well, I will try! Any idea where to look for them?	Muy bien ¡Lo intentaré! ¿alguna idea de dónde buscar?	9		SetVariable#turning_scales,10
9	Q	Sadly, no. There's legends and songs around about such monsters, but I have never been out of this town myself. You'll have to find them by yourself, I am afraid. Assuming they still exist.	Por desgracia, no. Siempre hay canciones y leyendas respecto a esas bestias, pero yo nunca he salido de esta ciudad. Tendrás que buscarlos por tu cuenta... Y esperemos que sigan existiendo.	0		
20	A	I want a Red Leather Shield, usable by Warriors and Clerics.	Quiero un Escudo de Cuero Rojo, que pueden usar Guerreros o Clérigos.	21		GainItem#189
20	A	I want a Red Leather Buckler, usable by everyone.	Quiero un Escudo de Cuero Rojo, que puede usar cualquiera.	21		GainItem#188
20	A	Let me think about it, I'll be back.	Déjame pensarlo, volveré.	0		
21	Q	[BLUE](the artisan begins working masterfully and smiles proudly when finished)[] Very well, here is your well-earned shield. 	[BLUE](el artesano comienza a trabajar con maestría y sonríe satisfecho al acabar)[] Muy bien, aquí está el escudo que te prometí.	0		"SetVariable#turning_scales,100;LoseItems#1012,5;GainXP#1000;IncVariable#REP_mercia,3"
40	A	Sorry, but no. Maybe I'll find a spare pair.	Lo siento, pero no. Quizá encuentre otro par.	0		
40	A	Sure, here they are.	Claro, aquí tienes.	41		"SetVariable#FT_dragoon_boots,1;LoseItem#217;GainXP#500;IncVariable#REP_mercia,2;GainGold#500"
41	Q	Thank you very much! Here is what gold I can spare. Maybe one day I'll find out how to craft the finest armor in the Kingdoms, thanks to you. 	¡Gracias! Aquí tienes algo de oro. Quizá algún día descubra cómo fabricar la mejor armadura de los Reinos, gracias a tí. 	0		
