index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](You can't think of anything to say to the governor yet, so you leave)[]	[BLUE](No se te ocurre nada que decirle al Alcaide de momento, así que te marchas)[]	0	VariableLower#trial_error,20	
1	Q	Leave me alone, I don't talk to visitors. [BLUE](You need a reputation of 40+ in Varsilia)[]	Dejadme en paz, no hablo con visitantes. [BLUE](Necesitas una reputación de 40+ en Varsilia)[]	0	"VariableGreater#trial_error,19;VariableLower#trial_error,90;VariableLower#REP_varsilia,40"	
1	Q	Hey, I think I've heard about you! You're those adventurers everybody is talking about. May I help you?	Hey, creo que os conozco... Sois esos aventureros de los que todo el mundo habla. ¿En qué puedo ayudaros?	2	"VariableGreater#trial_error,19;VariableLower#trial_error,90"	
1	Q	I already agreed to set that worm free, now stop wasting my time.	Ya he accedido a dejar libre a ese gusano, ahora dejad de malgastar mi tiempo.	0	VariableGreater#trial_error,80	
1	Q	Hey, I think I've heard about you! You're the adventurers everybody is talking about. May I help you?	Hey, creo que os conozco... Sois esos aventureros de los que todo el mundo habla. ¿En qué puedo ayudaros?	2		
2,adaon	Q	We've brought you some bones and stuff. Now set my uncle free, you tyrant!	Te traemos unos huesos y demás. Ahora ¡deja libre a mi tio, tirano!	10	PlayerHasItem#2635	
2,adaon	Q	Hey you... We're here to talk about my uncle!	¡Eh tu! ¡Quiero hablar de mi tio!	3		
3,R	Q	[BLUE](The man raises an eyebrow and looks at Adaon intently)[] How did you just address me, commoner?	[BLUE](El hombre enarca una ceja y mira a Adaon intensamente)[] ¿Cómo te has dirigido a mí, plebeyo?	4		
4	A	Pay no attention to my confused friend, sir. We want to inquire about a prisoner, Bagadar. We believe him to be innocent, and would like to speak in his favor.	No le prestéis atención a mi confuso amigo, señor. Queremos preguntar acerca de un prisionero llamado Bagadar, creemos en su inocencia.	5		
5,R	Q	Innocence? Don't make me laugh. That man has an impressive record of forgery, thieving and banditry. He should have been brought here sooner, and the Kingdom would have been better off.	¿Inocencia? No me hagas reir. Ese hombre tiene un historial lleno de falsificación, robo y engaños. Le deberían haber traido mucho antes, el Reino hubiera estado mucho mejor.	6		
6	A	And yet, I think he was imprisoned for murder, and he never was violent before.	Y sin embargo le habéis encarcelado por asesinato, y nunca había sido violento.	7		
7,R	Q	"Listen... Between me and you, he probably didn't murder anyone. But Sir Aramas' father is a respected advisor of the King; there's nothing I could do but to sentence him, and he'll stay here until he dies, which for a man his age shouldn't take very long. Of course if you find evidence of him having nothing to do with Sir Aramas' demise, that's a different matter."	Escucha... Entre tú y yo, posiblemente no ha matado a nadie. Pero el padre de Sir Aramas es muy cercano al Rey, y no pude hacer otra cosa, así que aquí se quedará hasta su muerte, que seguramente no tarde mucho. Otra cosa sería que tuvierais pruebas de su inocencia, pero no veo cómo las conseguiríais.	0		
10,R	Q	[BLUE](The man's face turns red with anger)[] What are you talking about?	[BLUE](Su cara se vuelve roja de ira)[] ¿Qué demonios dices?	11		
11	A	We found Sir Aramas' remains and his journal. He died while exploring the hideout of Malan Stargazer, the map was authentic!	Encontramos los restos de Sir Aramas y su diario. Murió explorando las estancias de Malan Stargazer, ¡El mapa era auténtico!	12		
12,R	Q	This changes everything! I'll send this evidence to New Garand immediately. Bagadar might be a thieving rat, but he's clearly innocent of this crime. He can leave whenever he wishes, he'll be given back his belongings and escorted to a town of his choice. You might now go and tell him.	¡Esto lo cambia todo! Enviaré estas pruebas a New Garand inmediatamente. Bagadar puede ser una rata ladrona, pero es inocente de este crimen. Queda libre y puede marcharse cuando quiera, se le devolverán sus pertenencias y se le escoltará hasta la ciudad que escoja.	0		"SetVariable#trial_error,90;LoseItem#2635"
