index	type	text_english	text_ES	Go To	conditions	actions
1	Q	Hmm. An incredibly complex spell. It definitely comes from ancient times.		0	VariableGreater#pr_djeck,27	
1	Q	[BLUE](From down the corridor you hear strange sounds like jackals howling. A man in a red robe walks around the ghost and mutters vaguely familiar phrases with howls...)[] ...Exorcizamus.... immundus spiritus...		2		
2,NG_djeck1	Q	[BLUE](Keeps silent)[]		3		
3	A	I've already tried that, it doesn't work. It won't go away.		4		
4,R	Q	[BLUE](The magician pulls out Jack's medallion and starts spinning it above his head)[] Who let you in here? You're interfering with the exorcism ritual!		5		
5	A	The captain let me in! And I'm here about the exorcism! The fact is, I was the one who discovered this ghost and even spoke to him.!		6		
6,NG_djeck1	Q	[BLUE](At the sight of the yellow locket, the ghost trembled)[] You succeeded! One of the killers has been punished!...By the way They dared to remove my remains from my resting place...And fixed the hole in the floor....		7		
7,R	Q	See?! Look at him react! [BLUE](Changes the direction of rotation)[] Oh hard... It's damp and the walls blocked the magical energies for the ritual....		8		
8,NG_djeck1	Q	Quiet old fool and stop disturbing my peace...I'm cursed and I'm not going anywhere. No energies were blocked in there. You're just a worthless old man who's afraid of a cold.		9		
9,R	Q	Ah. Mm-hmm, mm-hmm, so, no....[BLUE](Stops the futile act and turns to you.)[]...Well, tell me what's going on here.		10		
10	A	[BLUE](To tell the whole story.)[]		11		
11	Q	Interesting. And now you need this medallion to finish the job you started.?		12		
12	A	Yes. I promise that when this is over, the ghost will leave this place.		13		
13	Q	Do you realise my reputation is at stake? Rumours of a ghost in the tavern have already spread throughout the city.!		14		
14	A	That's good. The tavern will get more customers...Jack...I'll be sure to help you.....		15		
15,NG_djeck1	Q	Hurry...Please...There are only two left.		16		
16,R	Q	All right. You take the medallion, and I'll stay here until you get back. I'll try to study the structure of the curse and make some valuable notes for my essay on demonology....		17		"GainItem#2640;SetVariable#pr_djeck,28"
17	A	All right. I gotta go.		0		
