index	type	text	text_ES	Go To	conditions	actions	
1	Q	The display seems to be functional but too dim to make sense of anything.	La pantalla parece activa pero demasiado apagada para entender nada.	2			
2	A	Try to somehow attach an Ancient Battery into the device.	Intentar conectar una Antigua Batería al artefacto de algún modo.	3	PlayerHasItem#1022	LoseItem#1022	
2	A	Too bad.	Que pena.	0			
3	Q	Ark Vending Machine v.12.0. Improve your standard gear with the best bargains of the Galaxy! All kinds of intergallactic currency accepted.	Máquina Expendedora del Arca, V 12.0. ¡Mejora tu equipo con las mayores ofertas de la Galaxia! Toda clase de monedas intergalácticas aceptadas.	4			
4	A	Let's check out what's for sale...	Veamos qué hay a la venta...	5			
5	Q	The vending machine has no more items left.	La máquina ya no tiene ningún objeto a la venta.	0	VariableGreater#vending,0		
5	Q	The machine is mostly empty, except for a metallic belt. The tag says: Belt of Force - [BLUE]50,000 coins[].	La máquina está casi vacía, a excepción de un cinturón metálico. La etiqueta dice: Cinturón de Poder - [BLUE]50,000 monedas[].	6			
6	A	That sounds cool... Now the only problem is putting so many coins one by one through the slot. There we go.	Suena bien... Lo malo va a ser meter tantas monedas por la ranura. Bueno, hagámoslo.	7	PlayerHasGold#50000	LoseGold#50000	
6	A	I am not interested in this. 	No me interesa.	0			
7	Q	You begin inserting the coins at a good rate. But after minutes, you are fatigued and understand that you need to slow down. You realize this is going to take hours.	Empiezas insertando monedas muy rápidamente, pero al cabo del rato te fatigas y entindes que esto te va a llevar horas.	8			
8	A	I have defeated dragons, I can do this.	He matado a dragones. Puedo hacer esto.	9			
9	Q	More and more coins go down the machine. The piles of coins you have prepared keep going down, but there's always more.	Más y más monedas entran en la máquina. Las pilas de monedas que has preparado van bajando, pero aun falta mucho.	10			
10	A	Maybe this wasn't such a good idea...	Quizá no haya sido tan buena idea...	11			
11	Q	The noise of coins going down is almost hypnotic, and you begin to feel sleepy. By now you miss the company of the robots.	El ruido de las monedas bajando por la máquina es casi hipnótico y empiezas a quedarte dormido. Ya casi echas de menos a los robots.	12			
12	A	Almost there... Come on...	Ya casi está... Vamos...	13			
13	Q	After an hour of inserting coins that feels like whole days, you almost wish for the Horrors to arrive and put you out of your misery. Yet you go on and on, until the last coin remains.	Tras una hora de insertar monedasque parecen días enteros,  ya casi deseas que los Horrores vengan a este mundo y te liberen del sufrimiento. Pero continuas y continuas hasta que falta sólo una moneda.	14			
14	A	That was the last coin... By The Three, I hope it was worth it.	Esa es la última moneda. Por Los Tres, espero que valga la pena.	15			
15	Q	[RED]WARNING[] - coins not recognized, error. Please note down your number and a support representative will get in contant shortly to return your money. Thanks and Goodbye!	[RED]AVISO[] - error, monedas no válidas. Por favor, anote su número y nuestro servicio técnico se pondrá en contacto para devolvérselas. ¡Gracias y Hasta Pronto!	16			
16	A	Look at the machine blankly, then leave quietly and forget forever that this ever happened.	Mirar a la máquina en silencio, después marcharse y olvidar para siempre que esto ocurrió.	0			
16	A	Begin to hit the machine like a madman.	Comenzar a golpear la máquina como un loco.	17			
16	A	Study the machine controls and try to fiddle with them.	Estudiar los controles de la máquina e intentar manipularlos.	18			INT#4
16	A	Focus all your might into one well-directed kick at the belly of the machine.	Concentrar toda tu fuerza en una patada precisa a la barriga de la máquina.	18			STR#4
17	Q	After a while, you realize this machine is strong like a safe box. You find no way to make it release the belt.	Tras un rato te das cuenta de que esta máquina es como una caja fuerte. No encuentras manera de que suelte el cinturón.	0			
18	Q	"Yor effort pays off; the machine spits out the belt unceremoniously. You pick it from the ground feeling the pride of victory."	Tus esfuerzos se ven recompensados. Finalmente la máquina escupe el cinturon con poca ceremonia y lo recoges, sintiendo el orgullo de la victoria.	0		"GainItem#7010;SetVariable#vending,1"	
