index	type	text	text_ES	Go To	conditions	actions
1	Q	I certainly didn't expect to see you again, much less here.	Ciertamente no esperaba volver a verte, y mucho menos aquí.	2	VariableEqual#exotic_substances,100	
1	Q	You again? Just leave me alone and don't interfere with my business.	¿Tú de nuevo? Déjame en paz y no interfieras con mis negocios.	0	VariableEqual#exotic_substances,110	
1	Q	Ah, my dear partner. Do you have three fangs of each?	Ah, mi querido socio. ¿Has traido tres colmillos de cada?	6	VariableEqual#exotic_substances,120	
2	A	You, here? In Friguld you told me you were a healer. What are you doing in the hideout of the Seventh House?	¿Tú, aquí? En Friguld me dijiste que eras curandera. ¿Qué haces en la guarida de la Séptima Casa?	3		
3	Q	And what is an 'adventurer' doing here? We're all businessmen. I didn't lie, I am a healer and my draughts heal the pains of life for many. They bring a peaceful sleepiness that many see as a blessing to escape their hard lives momentarily. Surely if you frequent places like this you are not one to preach to me, are you?	¿Y qué hace aquí un 'aventurero? Ambos buscamos negocio. No te mentí, soy curandera y mis pociones alivian los sufrimientos de la vida. Muchos desean sentir un placentero sueño para escapar un momento de sus duras vidas. Si frecuentas sitios como este, no te vas a poner a predicarme, ¿verdad?	4		
4	A	I guess I won't but I don't like you. Goodbye.	Supongo que no, pero no me gustas. Adiós.	0		SetVariable#exotic_substances,110
4	A	Preach? I was wondering if you need more fangs. This business sounds very lucrative.	¿Predicar? Claro que no. Me preguntaba si quieres más colmillos de serpiente.	5		SetVariable#exotic_substances,120
5	Q	[BLUE](She smiles and winks an eye)[] Always. Every time you bring me three [BLUE]Giant mamba fang[] and three [BLUE]Coral Snake Fang[], I'll pay you 1300 gold.	[BLUE](Sonríe y guiña un ojo)[] Siempre. Cada vez que me traigas tres [BLUE]Colmillos de Mamba Gigante[] y tres [BLUE]Colmillos de Serpiente Coral[] te pagaré 1300 monedas.	0		
6	A	No, sorry.	No, lo siento.	0		
6	A	Yes, take them.	Si, tómalos.	7	"PlayerHasItems#1019,3;PlayerHasItems#1020,3"	"LoseItems#1019,3;LoseItems#1020,3;GainGold#1300"
7	Q	Always a pleasure to do business with you.	Siempre un placer hacer negocios contigo.	0		
