progress	description	description_ES	actions
0	Lost in Foreign Lands	po	
10	I found the body of the sorceress and her message about the lost knight, I need to find him and report what happened. Perhaps I can find out something about this knight in Icemist.	po.	
20	Sir Ilorio informed me that the knight I'm looking for is named Damien, and he's worth looking for in the White Plains or Deepfrost Glacier.	po.	
30	I cast a spell of a strange wizard and found myself in an unknown place. Maybe I'll find Damien the knight here, but most importantly, I need to get out of here somehow.	po.	
40	I found the knight Damien, he assumes that the exit from this place is in a magical fortress, but to get into it his powers are needed, which something located in the cemetery in the northwest is blocking.	po.	
50	Damien's strength has returned, now it is necessary to get to the magical fortress in the southwest, but the knight also offered to explore the dungeons under the cemetery and the ancient tower in the northeast.	po.	
60	Damien and I are trapped in a magical fortress, and to get out we need to kill its owner.	po.	
70	I killed the owner of the fortress, now I need to find a way out of it.	po.	
80	Damien and I have returned to our lands, we need to talk to him.	po.	
100	I helped the magical knight Damien return from foreign lands.	po.	
