index	type	text	text_ES	Go To	conditions	actions
1	Q	Time to die, fool!	¡Hora de morir, estúpido!	0	VariableEqual#abyss_gazed,40	
1	Q	[BLUE](This tall and gaunt man in armor looks at you with more contempt than hatred)[] You come to pursue me, idolaters. Pawns. Slaves!	[BLUE](Este alto y elegante hombre con armadura te mira con más desprecio que odio)[]Venís a perseguirme, ¡idólatras, peones, esclavos!	2		SetVariable#abyss_gazed,40
2	A	Hey, I fight a lot of bad guys, and evil speeches are fine, but all this namecalling is uncalled for.	Oye, he luchado contra muchos malvados, y los discursitos, los acepto. Pero esto de ponerse a insultar es de maleducados.	3		
3	Q	Very well. You have come to fight the evil and crazy Duremas. I will give you what you are after.	Muy bien. Has venido a luchar contra el malvado y loco Duremas. Eso mismo te daré.	4		
4	A	Wait a minute... I want to know what's going on here. Why are you doing this?	Espera un minuto... Quiero saber por qué haces esto.	5		
4	A	You'll die for your crimes.	Morirás por tus crímenes.	20		
5	Q	What is the point? Nothing matters anymore, I have no desire to speak to you. Only death feels real, only death is redeeming.	¿Para qué? Ya nada importa. No tengo ningún deseo de hablar contigo. Sóla la muerte es real, sólo la muerte puede redimir.	10	NPCIsInParty#hirge,hirge	
5	Q	What is the point? Nothing matters anymore, I have no desire to speak to you. Only death feels real, only death is redeeming.	¿Para qué? Ya nada importa. No tengo ningún deseo de hablar contigo. Sóla la muerte es real, sólo la muerte puede redimir.	6		
6	A	You have lost your mind...	Has perdido la razón...	20		
10,hirge	Q	"Sir Duremas, do you recognize me? I am Hirge. Your student... And your friend. Please, calm down. The Three will grant you their mercy; come with me and I am sure we can make things right again."	Sir Duremas, ¿me reconoces? Soy Hirge. Tu estudiante... Y tu amiga. Por favor, cálmate. Los Tres tendrán misericordia. Ven conmigo, estoy segura de que todo puede arreglarse.	11		
11,R	Q	[BLUE](His expression hardens)[] Oh look, they have sent the child prodigy! [BLUE](He laughs with scorn)[] Looking back, I should have crushed your skull when you were but a kid... now it will be harder, but oh so pleasant. I can't wait to rid the world of your threat, of the disease you are...	[BLUE](Su expresión se endurece)[] ¡Mira, si han enviado a la niña prodigio! [BLUE](Rie burlonamente)[] Y pensar que podría haber aplastado tu craneo fácilmente cuando sólo eras una niña... ahora será más difícil pero, mucho más placentero. Estoy impaciente por librar al mundo de la amenaza, y de la enfermedad que eres...	12		
12,hirge	Q	[BLUE](She pales, and opens her mouth, but no words come out. You see an expression of shock and intense pain in her face)[]	[BLUE](Se pone pálida y abre su boca, pero no es capaz de responder. Ves una expresión de confusión y dolor en su rostro)[]	13		
13	A	I've heard enough. You've earned what is coming to you, Duremas.	He oido bastante. Te has ganado lo que te va a ocurrir, Duremas.	20		
13	A	Hirge, this is not the same person you remember. It was the insanity speaking. Let's do our duty.	"Hirge, este hombre ha perdido la razón, no es la misma persona que recuerdas. Es la locura quien hablaba; vamos a cumplir con nuestro deber."	14		
14,hirge	Q	[BLUE](She looks at you and nods)[] You are right. Thanks, my friend. Let's do our duty, indeed.	[BLUE](Te mira y asiente)[] Tienes razón. Gracias, amigo mio. Cumplamos con el deber.	20		
20,R	Q	Yes, I am a madman and an heretic... Yet I keep all my powers, isn't that odd? [BLUE](He bursts out in insane laughter and charges)[]	Si, soy un loco y un hereje... Pero conservo todos mis poderes, ¿no es curioso? [BLUE](Estalla en una carcajada histérica y ataca)[]	0		NPCGoTo#duremas,1
