progress	description	description_ES	actions
0	Время платить по счетам	po	
10	Адаон куда-то пропал, возможно, где-нибудь в Нью-Гаранде я смогу его найти.	po.	
15	Я встретил жулика знакомым с Адаоном, он сообщил, что я смогу найти Адаона в сокрытом месте неподалеку от храма.	po.	
20	Я нашёл Адаона, он сообщил, что с ним всё в порядке, и мы увидемся позже.	po.	
25	На Адаона напали неизвестные типы, я должен с ними разобраться.	po.	
27	Я разобрался с напавшими, теперь нужно обсудить произошедшее с Адаоном.	po.	
30	Я и Адаон должны добраться до Либерти, где он сообщит мне, как разобраться с его проблемой.	po.	
32	Я и Адаон прибыли в Либерти, необходимо поговорить с Адаоном, чтобы он сообщит мне, как разобраться с его проблемой.	po.	
35	Мне необходимо поговорить с местным боссом бандитов, чтобы решить проблему Адаона.	po.	
40	Мне необходимо договориться с рыбаками, работавшие на Киару, я смогу найти их на берегу у подножья Замора.	po.	
41	Я смог договориться с одной из групп рыбаков.	po.	
42	Я смог договориться с двумя группами рыбаков.	po.	
43	Я смог договориться с рыбаками, теперь необходимо встретиться ночью с человеком Киары на причале в Либерти, чтобы он провёл меня к капитану, предавший её.	po.	
45	Я должен разобраться с капитаном, предавший Киару.	po.	
47	Я должен разобраться с капитаном, предавший Киару.	po.	
50	Я договорился с рыбаками и разобрался с капитаном, предавший Киару, теперь необходимо сообщить об этом ей.	po.	
52	Я договорился с рыбаками и разобрался с капитаном, предавший Киару, теперь необходимо сообщить об этом ей.	po.	
55	Я должен проследить за человеком Киары, отправившийся на встречу за город на севере, чтобы выяснить предатель ли он или нет.	po.	
60	Человек, которого Киара отправила на встречу, оказался предателем, я должен с ним разобраться.	po.	
65	Я должен доставить предателя к Киаре.	po.	
70	Я должен помочь Киаре разобраться с главным предателями.	po.	
75	Главный предатель мёртв, теперь необходимо поговорить с Киарой.	po.	
97	Я должен разобраться с Киарой.	po.	
100	Я решил проблему Адаона, разобравшись с Киарой.	po.	
110	Я решил проблему Адаона, оказав помощь Киаре.	po.	
