index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](He gazes into the completed mirror, frowning and nodding)[] Well done. Now let's see if whatever power they use to shield themselves is stronger than that of the God of the Dead.	[BLUE](Examina el espejo frunciendo el ceño y asintiendo)[] Bien hecho. Ahora veremos si el poder que les esconde es más fuerte que el del Dios de los Muertos.	50	VariableEqual#shards_fate,22	
1	Q	By the Emperor's Sandals! You are still here. As the world is about to end, I had hoped to enjoy some peaceful silence, while it lasts.	¡Por las Sandalias del Emperador, sigues aquí! Puesto que el mundo se va a terminar, esperaba poder disfrutar de un poco de paz y silencio mientras dure.	2		
2	A	I am doing what I can, in fact I already retrieved several shards.	Hago lo que puedo. De hecho ya he recuperado varios fragmentos.	3		
2	A	It's not like your presence here makes any difference. I do all the work, you just complain.	No es que tu presencia aquí signifique mucho. Yo hago todo el trabajo, tú solamente te quejas.	4		
2	A	Oh please... I'm not in the mood for this.	Oh por favor... Ahora mismo no estoy de humor.	0		
3	Q	I guess once the Horrors annihilate all life on Varannar, that can be your epitaph. 'Here lies the almost-hero that did part of his job of saving the world'. Epic.	Supongo que cuando los Horrores exterminen toda la vida de Varannar, ese será tu epitafio. 'Aquí yace el casi-héroe que hizo parte de su trabajo de salvar el mundo'. Épico.	5		
4	Q	Did you just say... 'all' the work? The Eye of Tol is still looks incomplete to me, so I'm not sure what you're doing here other than annoying me.	¿Has dicho 'todo' el trabajo? A mi me parece que el Ojo de Tol sigue incompleto, así que no sé qué haces aquí aparte de molestar.	5		
5	A	Always the kind mentor, ain't you? I need to ask you something.	Siempre en el papel de amable mentor, ¿Eh? Tengo que preguntarte algo.	20		
5	A	I should get back to the job. Goodbye.	Debería seguir con la misión. Adiós.	0		
20	Q	What do you want to know?	¿Qué quieres saber?	21		
21	A	How many shards do I need to recover?	¿Cuántos fragmentos hay que recuperar?	24	VariableLower#TMP_tremadan_howmany,1	SetVariable#TMP_tremadan_howmany,1
21	A	I have looked everywhere but I can't find any more shards.	He buscado por todas partes, pero no puedo encontrar más fragmentos.	25	VariableLower#TMP_tremadan_find,1	SetVariable#TMP_tremadan_find,1
21	A	I want to know more about the Forsaken, or the Muud'ari, as you called them.	Quiero saber más sobre los Olvidados. O los Muud'ari, como tú les llamaste.	26	VariableLower#TMP_tremadan_forsak,1	SetVariable#TMP_tremadan_forsak,1
21	A	So, once we rebuild the mirror, what will happen?	Una vez reconstruyamos el espejo, ¿Qué pasará?	33	VariableLower#TMP_tremadan_eye,1	SetVariable#TMP_tremadan_eye,1
21	A	Who is that Forsaken called the 'Magister'?	¿Quién es ese Olvidado llamado el 'Maestro'?	38	VariableLower#TMP_tremadan_magister,1	SetVariable#TMP_tremadan_magister,1
21	A	Nothing. Hang in there while I save the world.	Nada. Espera aquí mientras salvo al mundo.	0		
22	Q	What do you want to know?	¿Qué quieres saber?	21		
23	A	Let me ask you something else.	Deja que te pregunte otra cosa.	22		
24	Q	Like I told you already, [BLUE]12 shards will be enough[] to have the Eye of Tol back. 	Como ya te he explicado, sería suficiente con [BLUE]12 fragmentos[] para reconstruir el Ojo de Tol.	23		
25	Q	Shards attract powerful monsters. Allegedly, you are a professional adventurer... Don't you know how to do your job? Go to some tavern, listen to rumors about dragons or some other creatures.	Los fragmentos atráen a los monstruos poderosos. Se supone que eres un aventurero profesional... ¿No sabes hacer tu trabajo? Vé a una posada, paga unas cuantas rondas, y entérate de rumores acerca de dragones u otros monstruos.	23		
26	Q	[BLUE](He looks at you with a sad expression)[] A tragic people, exiled from their own world a millenia ago. They look much like humans, and some say that is not a coincidence but proof of humans and Muud'ari being related in the days of creation.	[BLUE](Te mira con una expresión triste)[] Un pueblo trágico, exiliados de su propio mundo hace un milenio. Aparentan ser humanos, y muchos creen que no es coincidencia, sino una prueba de que ambas especies estaban emparentadas en los días de la creación.	27		
27	A	Well, I fought them and they looked human enough. And not particularly strong either. What's so different about them?	Bueno, yo he luchado contra ellos y parecían humanos. Y ni siquiera particularmente fuertes. ¿En qué son diferentes?	28		
28	Q	Believe me, you have never fought a Muud. Those you met are their vassals. The Forsaken are able to 'touch' weak minds and bend their wills. Also they're very talented spellcasters, and the finest warriors as well.	"Créeme, nunca has luchado con un Muud. Los que has encontrado eran sus vasallos; los Muud'ari pueden doblegar las mentes débiles y controlarlas. Además tienen gran talento como guerreros y como magos."	29		
29	A	"That sounds scary; with such mind control powers, they could easily take over the world. What stops them? And how can I hope to confront them?"	Eso es preocupante. Con tales poderes mentales, podrían dominar el mundo. ¿Quién les detiene? ¿Como podré enfrentarme a ellos?	30		
30	Q	[BLUE](The illusion of your grandfather looks at you intently for a few instants)[] They won't be able to control you. You already know enough of this matter to accomplish your task. I will say no more.	[BLUE](La ilusión de tu abuelo te mira fijamente durante unos instantes)[] No pueden controlarte a tí. Ya sabes suficuente como para cumplir tu misión, no añadiré más.	31		
31	A	What? You are holding information from me? That's nonsense. 	¿Qué? ¿Vas a ocultarme información? Es ridículo.	32		
31	A	Very well, I won't argue with an animated image. I have something else to ask.	Bueno, no voy a discutir con una imagen animada. Tengo más preguntas.	22		
32	Q	I am afraid too much knowledge could even be a threat to you.	Me temo que demasiados conocimientos podrían ser un peligro para tí.	23		
33	Q	You mean, assuming you don't get eviscerated first by some dumb beast. In that case, we'll be able to question the Eye about the location of the Deep Gate. Likely, your sister will be held there.	Quieres decir, asumiendo que no te destripe alguna bestia primero. En ese caso, podremos preguntar al Ojo dónde está la Puerta Profunda.	34		
34	A	Will Amarisa be there? We can ask about her as well.	¿Estará allí Amarisa? Podemos preguntarle eso.	35		
35	Q	I am afraid not. The  'reconstructed' Eye will be too weakened to endure more than one use, before becoming destroyed forever. Which is a relief, as such a trinket was never meant to be used by mortals.	Me temo que no. El Ojo 'reconstruido' estará demasiado dañado como para ser usado más de una vez, antes de destruirse para siempre. Lo cual es un alivio, ya que no es bueno que los mortales manejen algo semejante. 	36		
36	A	But what if they are keeping Amarisa at a different location? Maybe we should ask the Eye about her.	Pero, ¿Y si tienen a Amarisa en otro lugar? Quizá deberíamos preguntar al Ojo por ella.	37		
37	Q	She is also perfectly shielded from divinations... Very likely she will be at the same location they keep the Deep Gate. And remember, if you find her but not the gate, the Horrors will be liberated upon Varannar and you both will die.	A ella tampoco puedo localizarla mediante adivinaciones... Muy probablemente está en el mismo lugar en el que mantienen en el mismo lugar que la Puerta Profunda. Y si la encuentras a ella pero no a la Puerta, los Horrores arrasarán Varannar y ambos moriréis.	23		
38	Q	A very dangerous person that you should avoid at all costs. But as he's always cautious, I doubt he'll be far away from the Gate now that he has all he needs to complete the Opening ritual.	Una persona muy peligrosa que debes evitar. Pero siempre es cauteloso, dudo que se aleje de la Puerta ahora que tiene lo necesario para el ritual de Apertura.	39		
39	A	Maybe he's out trying to locate the shards.	Quizá salga a buscar los fragmentos.	40		
40	Q	He'll be the one focused on the Opening ritual, but he might send others for that task, so stay alert.	Él se estará encargando del Ritual de Apertura, pero posiblemente envie a otros a esa tarea, así que permanece alerta.	23		
50	A	So... 'well done'. I guess, coming from you, it's a real compliment.	Así que... 'bien hecho'. Supongo que viniendo de tí es todo un cumplido.	51	VariableLower#TMP_tremadan_welldone,1	SetVariable#TMP_tremadan_welldone,1
50	A	Is it alright to use this power? I mean, we're talking about... Tol.	¿Seguro que está bien que usemos esto? Me refiero a que hablamos de... Tol.	52	VariableLower#TMP_tremadan_tol,1	SetVariable#TMP_tremadan_tol,1
50	A	Very well, go ahead and try to use it to locate the Forsaken.	Muy bien, adelante. Úsalo para localizar a los Olvidados.	53		
51	Q	Normally I'd snicker and say something about how the cute little adventurer wants a medal, but I admit I am impressed by what you did.	Normalmente me reiría y haría un chiste sobre si el pequeño aventurero quiere una medalla, pero admito que estoy impresionado.	50		
