index	type	text	text_ES	Go To	conditions	actions
1	Q	Finally, my reputation as a brewmaster will no longer be challenged! [BLUE](He opens a bottle a Deepfrost Cognac and then adds the rest of the ingredients)[]. Here, have a couple bottles of my [BLUE]Whitetower Special[]. If you bring me these ingredients again, plus a bottle of Deepfrost Cognac, I can brew you more of it. 	¡Por fin, mi reputación como cervezero está salvada!  [BLUE](Abre una botella de Cognac de Deepfrost y añade el resto de ingredientes)[] Toma, aquí tienes un par de botellas de mi [BLUE]Especial de Whitetower[]. Si vuelves a traerme los mismos ingredientes y una botella de Cognac de Deepfrost, puedo darte más.	0	"VariableEqual#fat_brew,10;PlayerHasItems#1024,2;PlayerHasItem#2104"	"SetVariable#fat_brew,100;LoseItems#1024,2;LoseItem#2104;GainXP#500;GainItems#5038,2"
1	Q	[BLUE](This man frantically tries to stir a mixture, but the ingredients seem to glue to the sides of the barrel)[] Damnations, damnations! What will I do now! ?	[BLUE](Este hombre intenta desesperado agitar una mezcla, pero los ingredientes se pegan a la madera del barril)[] ¡Maldición, maldición! ¡¿Qué puedo hacer?!	2	VariableLower#fat_brew,10	
1	Q	Greetings, remember that you agreed to bring me [BLUE]two chunks of fat and a Merple root[].	Saludos. Recuerda que has prometido traerme [BLUE]dos Pedazos de Grasa y una Raiz de Merple[].	0	VariableEqual#fat_brew,10	
1	Q	Ahhh my best friend returns. Are you here for a drink?	Ahhh aquí regresa mi mejor amigo. ¿Has venido a beber algo?	20	VariableGreater#fat_brew,10	
2	A	I have more important things to care about...	Tengo asuntos más importantes que atender...	0		
2	A	Huh... So it's sticking. Doesn't look good.	Eh... Se te está pegando. No tiene buena pinta.	3		
3	Q	I know, don't take me for some lousy apprentice. I am known as Tonel the Brewmaster, creator of the famous Whitetower Special. Once upon a time, the most famous beverage at the court of Icemist!	¿Crées que no lo sé? No creas que soy un simple aprendiz de alquimista. Soy Tonel el Cervezero, creador del famoso Especial de Whitetower. Hace años fue la bebida favorita de la corte en Icemist.	4		
4	A	Now that you mention it, the name is familiar. But what are you doing now? That mixture looks terrible.	Ahora que lo mencionas, el nombre me suena. Pero ¿Qué estás haciendo? Esa mezcla tiene un aspecto horrible.	5		
5	Q	In the days of good Queen Badavere this land was safe, with battlemages patrolling regularly. Many farms, travellers, hunters, and great ingredients for brewing. But now, with that airhead girl sitting on the throne... [BLUE](He looks at you nervously)[] I didn't mean that. I mean Her Arcane Majesty Queen Bredanna. Things have changed.	En los dias de la buena Reina Badavere esta tierra era segura, con Magos de Batalla patrullando. Había granjas, viajeros, cazadores, e ingredientes buenísimos para mezclar. ¿Ahora? esa cabeza hueca sentada en el trono... [BLUE](Te mira nervioso)[] No quería decir eso. Me refiero a Su Arcana Majestad Bredanna. Las cosas han cambiado.	6		
6	A	Changed? Somehow I guess not for the better.	¿Cambiado? Algo me dice que no para mejorar.	7		
6	A	I'm not in the mood for tales about the past. If you need ingredients please go to the point.	No me apetece oir historias del pasado. Si necesitas ingredientes, ve al grano.	13		
7	Q	You would be right, traveller. At first she seemed like she tried to improve things for us small towns outside of the capital. But then... Well, something happened at Deepfrost. Since then, the court decided the small towns were not worth the effort. Mages holed up themselves in Icemist, and they magically produce all they need. 	En efecto. Al principio parecía una buena Reina,intentando mejorar las cosas en los pueblos de fuera de Icemist. Pero entonces... algo ocurrió en Deepfrost. Desde entonces, la Corte decidió que los pequeños pueblos no merecemos la pena. Los magos se encerraron en Icemist, y producen mágicamente lo que necesitan.	8		
8	A	Wait... What happened at Deepfrost?	Espera... ¿Qué ocurrió en Deepfrost?	9		
9	Q	It's better not to talk about that, believe me. Anyways years ago I created my famous beverage, the favorite among mages. Time passed, ingredients were scarce and I had to return to more common brews. However, a week ago I received an order from the Royal Palace! the Queen wants to taste my Special once more.	Es mejor no hablar de eso, créeme. Volviendo al asunto, hace años creé mi Especial, que era la bebida más popular entre los magos. Pasaron los años, los ingredientes escasean, y tuve que dedicarme a hacer otras mezclas más comunes. Pero hace una semana, recibí un pedido del Palacio Real. ¡La Reina quiere probar mi Especial de nuevo!	10		
10	A	But that's great news!	¡Pero eso son buenas noticias!	11		
11	Q	¿Good news? ¿Are you insane? It's impossible. I would need ingredients that are impossible to get for me. I'm doomed, I tell you. I'll be labeled as a fraud.	¿Buenas noticias? ¿Estás loco? Es imposible. Necesitaría ingredientes que son para mí imposibles de conseguir. Estoy acabado, van a pensar que soy un fraude.	12		
12	A	Maybe I could help you. I'd like to taste your Special.	Quizá pueda ayudarte. Me gustaría probar tu Especial.	13		
13	Q	You would help me? That'd be so kind of you. My secret ingredient is the dissolvent: I need at least [BLUE]two large chunks of fat[] that you may obtain from polar bears. Also, I'll need a [BLUE]Merple[], a root that grows at the snowy riversides.	¿Me ayudarías? Eso sería muy amable por tu parte. Mi ingrediente secreto es el disolvente: necesito al menos [BLUE]dos pedazos de grasa[] que normalmente se pueden obtener de Osos polares. También necesito [BLUE]Merple[], una raiz que crece en la nieve junto a los rios.	0		SetVariable#fat_brew,10
20	A	Can you brew me some of your Whitetower Special?	¿Puedes destilarme un poco de tu Especial de Whitetower?	21		
20	A	Goodbye.	Adiós.	0		
21	Q	Certainly, friend. Just bring me [BLUE]Two Chunks of Fat[], one [BLUE]Merple[] and one [BLUE]Deepfrost Cognac[] and I'll brew one for you.	Claro, amigo. Símplemente tráeme [BLUE]dos Pedazos de Grasa[], un [BLUE]Merple[] y un [BLUE]Cognac de Deepfrost[], y te prepararé uno.	22		
22	A	I have it right here. Please do it.	Lo tengo todo aquí. Toma, prepáralo.	23	"PlayerHasItems#1024,2;PlayerHasItem#2104;PlayerHasItem#5037"	"LoseItems#1024,2;LoseItem#2104;LoseItem#5037;GainItem#5038"
22	A	Alright, understood.	De acuerdo, entendido.	0		
23	Q	Enjoy!	¡Que te diviertas!	0		
