index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](This figure emanates a peaceful aura as smiles at you)[] Greetings, brave adventurer. It ashames me that you see the Abbey in such condition. It was once a sanctuary of goodness, worthy of Our Three Lords.	"[BLUE](Esta figura no parece un fantasma; irradia un aura de paz y te sonríe)[] Saludos, valiente aventurero. Me averguenza que veas la Abadía en esta situación. Una vez fue un santuario del Bien, digno de Nuestros Tres Señores."	2		
2	A	How could the Abbey become this?	¿Cómo pudo la Abadía convertirse en esto?	10	VariableLower#tmp_how_abbey,1	SetVariable#tmp_how_abbey,1
2	A	"The Abbot sealed a pact with demons; but while he is still Abbot, his Oath to you forces him to remain in this place, and the Fögas Forest will remain cursed. What can I do?"	El Abad selló un pacto con demonios. Pero mientras siga siendo Abad, su Juramento le impide marcharse, y el Bosque de Fögas estará maldito. ¿Qué puedo hacer?	20	VariableEqual#cursed_abbey,40	
2	A	Are you undead?	¿Eres un muerto viviente?	3	VariableLower#tmp_who_ghost,1	SetVariable#tmp_who_ghost,1
2	A	Can you help me, Saint Admus?	¿Puedes ayudarme, San Admus?	4	VariableLower#tmp_grate,1	SetVariable#tmp_grate,1
2	A	I must continue my exploration. Farewell.	Debo continuar explorando. Adiós.	0		
3	Q	No, my friend. I manifest by the will of The Three. Fear me not, but beware for all kind of wickedness is present around us.	No, amigo mio. Me manifiesto por la Voluntad de Los Tres, no debes temerme. Sin embargo hay un gran mal en torno a nosotros.	2		
4	Q	I am a mere vision, a message. But one thing I can do for you: the grate to the Shrine is now open, so you might be able to recover some of my equipment. I am sure they'll do more good in your hands than in this unholy place. But beware the accursed spirits there!	"Soy sólo una visión, un mensaje. Pero puedo hacer una cosa: la verja de la Capilla al norte está ahora abierta,puedes recuperar algunos de mis objetos; serán más útiles en tus manos que en este lugar maldito. ¡Pero atento a los espíritus que habitan allí!"	2		
10	Q	 I raised this Abbey right here so we could preach to the nearby Varannari about The Three. And many of them did embrace the Faith, but unfortunately not all. Among them, many bow down to the Powers of Night, and some are chosen as priestess: the witches.	"Levanté esta abadía en este lugar para poder predicar a los Varannari del bosque y enseñarles la Fé. Muchos se convirtieron, pero por desgracia no todos; algunos adoran al Espíritu de la Noche, y sus escogidas: las brujas."	11		
11	A	Oh, I've already met a bunch of them.	Oh, ya me he reunido con unas cuantas de ellas.	12		
12	Q	They deal with forces of the Abyss. They tried to corrupt me, offered me a way to earn back my lost throne, and the heart of my beloved. I denied them, but my sucessor Marcillus seems to have fallen for their temptations. What was the deal, I don't know.	Ellas hacen tratos con el Abismo. Intentaron corromperme, ofreciéndome una forma de recuperar mi trono y a mi amada, pero me negué. Por desgracia, parece que mi sucesor Marcillus se dejó llevar por sus engaños. No sé exactamente cómo.	13		
13	A	I'll try to find out more about it.	Intentaré averiguar más al respecto.	14		
14	Q	Please do. Come back to me if there's anything I can help with.	Por favor hazlo. Y vuelve a mi si hay algo en lo que pueda ayudarte.	2		
20	Q	I understand. [BLUE](He raises a hand, which suddenly shimmers in light)[] From this moment, I proclaim Marcillus' Oath void! Now go and destroy him, friend. Make him pay for his crimes.	Entiendo. [BLUE](alza una mano, que de pronto resplandece con luz dorada)[] ¡Desde este momento, declaro el Juramento de Marcillus roto! Ahora, amigo, ve a hacerle pagar sus crímenes.	0		SetVariable#cursed_abbey,50
