index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Hello, my friend! I am now the queen's favorite cook, thanks to you.	¡Gracias amigo! Ahora soy el cocinero favorito de la reina, gracias a tí.	20	VariableEqual#easy_as_pie,100		
1	Q	[BLUE](The man looks at the apples, hardly believing his eyes)[]. I am saved! I know how to compensate you. Here, I don't need the juice for the cake, I will extract it into a bottle for you, condensed with some magic tricks I know. If you ever have more apples, I can do it again for you.	[BLUE](el hombre mira las manzanas sin dar crédito a sus ojos)[] ¡Me he salvado! Creo que sé cómo agradecértelo. Toma, no necesito el zumo para la receta. Lo concentraré usando un pequño truco mágico y lo pondré en una botella. Si alguna vez tienes más manzanas, puedo preparar más.	0	"VariableGreater#easy_as_pie,9;VariableLower#easy_as_pie,100;PlayerHasItems#5022,3"	"SetVariable#easy_as_pie,100;LoseItems#5022,3;GainXP#1200;IncVariable#REP_mercia,2;GainItem#5023"	
1	Q	What will I do!? I am dead, DEAD you hear me!?	¿¡Qué voy a hacer!? Estoy muerto... ¿Me oyes? ¡MUERTO!	0	"VariableGreater#easy_as_pie,9;VariableLower#easy_as_pie,100"		
1	Q	What will I do!? I am dead, DEAD you hear me!?	¿¡Qué voy a hacer!? Estoy muerto... ¿Me oyes? ¡MUERTO!	2			
2	A	You are the noisiest dead I've met... 	Eres el muerto más ruidoso que he visto...	3			
2	A	I am busy, my condolences.	Estoy ocupado, mis condolencias.	0			
3	Q	"First it was White Wolf Icy Stew; It took me ages to find an adventurer willing to bring me the required meat. Then it was Wyvern Eggs Omelette! Luckily I have contacts in the Legion, and a dozen men brought me the prized eggs. But of course that capricious and whimsical woman didn't have enough..."	"Primero fue Estofado de Lobo Blanco con Escarcha; me costó mucho encontrar aventureros dispuestos a conseguir la carne. ¡Entonces me pidió una Tortilla de Huevos de Wyverna! Por suerte tengo contactos en la Legión y una docena de hombres me los trajeron. Pero por supuesto esa mujer caprichosa y malcriada no tuvo suficiente..."	4			
4	A	Okay, I have a world to save while you cook. 	Vale, tengo un mundo que salvar mientras tú cocinas.	0			
4	A	Who are you talking about? Who is asking you to cook all those dishes?	¿De quién hablas? ¿quién te hace concinar esos platos?	5			
5	Q	[BLUE](Looks down, frustrated)[] The new queen, of course. And what can I do? It is easy to lose your head around her.	[BLUE](Mira al suelo, frustrado)[] La nueva reina, por supuesto. Y ¿Que podría hacer? Por ella es fácil perder la cabeza.	6			
6	A	Oh, she must be real pretty then.	Oh, debe ser muy bella entonces.	7			
7	Q	I mean... Losing your head literally. She has everyone beheaded for the smallest slight. Unless I can present her a Golden Pie, I am a dead man. DEAD MAN!!! [BLUE](He sobs)[]	Me refiero... A que literalmente te quedes sin cabeza. A cualquiera que le decepciona, ordena que lo decapiten. A no ser que le sirva un Pan dorado, soy hombre muerto. ¡MUERTO! [BLUE](Solloza)[]	8			
8	A	Calm down, don't start again. What is the problem? You seem to be able to gather anything. Just make the pie.	Calma, no empieces otra vez. ¿Cuál es el problema? Hasta ahora has sido capaz de conseguir todo. Hazlo y prepara el pan.	9		SetVariable#easy_as_pie,10	
9	Q	You don't understand. Golden Pies are made of three Golden Apples, but they don't really exist, it is just a legend, a fairytale from the Colonization days. I am DEAD!	No lo entiendes. Los Panes Dorados se hacen con tres Manzanas Doradas, que son solamente leyendas, cuentos de la era de la Colonización. ¡No existen! ¡Estoy MUERTO!	10			
10	A	I see. You are in trouble. If I ever find Golden Apples, I'll let you know.	Ya veo. Pues tienes un problema. Si alguna vez encuentro alguna, te lo diré.	0			
10	A	If I've learned something recently, it's that legends are often more than mere legends. Tell me where those fairytales come from.	Si he aprendido algo recientemente es que las leyendas son más que meras leyendas. Dime qué cuentan las historias.	11			INT#2
10	A	Don't panic. Trust me, I might be able to help you, and you have nothing to lose anymore. Tell me about those fairytales.	Calma, confía en mí. Quizá pueda ayudarte, y no tienes nada que perder. Dime qué dicen esos cuentos de hadas.	11			PER#3
11	Q	Old stories say they grew along the wild north shores of Lake Nivar. Of course the region is now mostly farms from those Ilmarans, so I can't believe Golden Apples can really exist anymore.	Las viejas historias dicen que crecían en la costa salvaje al norte del Lago Nivar. Por supuesto allí ahora sólo hay granjas de los Ilmaritas, así que inclusi si existieron, ahora ya es imposible. 	0		SetVariable#easy_as_pie,15	
20	A	Can you prepare me another bottle of juice from those apples?	¿Me puedes preparar más botellas con el jugo de las manzanas doradas?	21			
20	A	I am glad to see your head is still over your shoulders.	Me alegra ver que sigues teniendo la cabeza sobre los hombros.	0			
20	A	Can you cook me something with Vorator Eggs like this one?	¿Puedes cocinarme algo con huevos de Vorator como éste?	30	PlayerHasItem#1018		
21	Q	Of course, give me three Golden Apples and I will turn them into a potion for you.	Por supuesto. Dame tres Manzanas Doradas y las convertiré en una poción para tí. 	22	PlayerHasItems#5022,3		
21	Q	Of course, just bring me three Golden Apples and I will turn them into a potion for you. Right now you don't have them.	Por supuesto. Tráeme tres Manzanas Doradas y las convertiré en una poción para tí. Ahora mismo no las tienes.	0			
22	A	Deal! Do it.	¡Trato hecho! Hazlo.	23			
22	A	No, thanks.	No, gracias.	0			
23	Q	I am glad to help a friend.	Me alegra ayudar a un amigo.	0		"LoseItems#5022,3;GainItem#5023"	
30	Q	"A wonderful ingredient! Give me three and I'll fry them with sliced Jabal Potatoes and Ilmaran onions; you'll taste the best Omelette the Kingdoms have ever seen."	¡Un ingrediente maravilloso! Traeme tres y los freiré con patatas de Jabal laminadas y cebolla de Ilmara. Te prepararé la mejor tortilla que los Reinos han visto.	31			
31	A	Deal! Do it.	¡Trato hecho! Hazlo.	32	PlayerHasItems#1018,3		
31	A	No, thanks.	No, gracias.	0			
32	Q	I am glad to help a friend.	Me alegra ayudar a un amigo.	0		"LoseItems#1018,3;GainItem#5060"	
