index	type	text	text_ES	Go To	conditions	actions
1	Q	Hey, boss, what's up?	Que pasa, jefe?	11	NPCisFollower#	
1	Q	Hey, look who's there. I'm available, if you need some brains on your team.	Mira quién ha venido... Estoy disponible, si necesitas a alguien inteligente y un experto ladrón	9		
9	A	Sure... Just remember not to go too far with that 'brain'. Welcome back.	Vale, pero no te pases de listo... Bienvenido de nuevo.	16		
9	A	Not right now, thanks. Maybe in the future.	Ahora no, gracias. Quizá en el futuro.	10		
10	Q	Ha! If you think you can find better company, you'll be disappointed. You can find me here in New Garand usually, in the west side.	Ha! Si crées que vas a encontrar mejor compañía, lo llevas claro. Puedes localizarme normalmente en el lado Oeste de New Garand.	0		
11	A	Nothing, let's move on.	Nada, continuemos.	0		
11	A	I don't need your services for now, you can return to New Garand.	Ya no necesito tus servicios, puedes volver a New Garand.	12	"VariableGreater#want_letter_back,89;AreaIsnt#J7;AreaIsnt#K7;AreaIsnt#K7_observatory"	"NPCStopFollowing#;NPCDespawn#adaon"
11	A	Let's talk about something.	Quiero que hablemos de algo.	19		
11	A	I have some battle orders for you.	Quiero darte órdenes de combate.	91		
12	Q	I was just starting to have fun too! As you wish, boss. I hope we work together again soon.	Ahora que me lo estaba pasando bien! Lo que tu digas, espero que volvamos a vernos.	0		
16	Q	I would join you, but I think you already have a companion. Come back when you have room for me.	Te seguiría, pero creo que ya tienes un compañero. Vuelve cuando tengas sitio para mí.	0	HasCompanion#	
16	Q	Let's have some fun and profit!	Busquemos algo de diversión y de ganancias...	0		NPCFollow#
19	Q	Shoot, man.	Tu dirás.	20		
20	A	What can you tell me of this place?	¿Qué puedes decirme de este lugar?	40		
20	A	Let's just go on.	Continuemos.	0		
20	A	Adaon, I can't believe the problem you just got us into with that Thuramian Sorcerer. Don't you have anything to say?	Adaon, menudo problema nos has causado con ese hechicero Thuramio. ¿No tienes nada que decir?	21	VariableEqual#mad_wizard,10	
20	A	So, any idea about who these guys are that captured us, or where they might be hiding?	Bueno, ¿alguna idea acerca de quienes son los que nos capturaron, o dónde se esconden?	24		
21	Q	Again with that? Please... Let's just recover his stupid orb, okay? It must be somewhere in New Garand.	Otra vez con eso? Por favor... Vamos a recuperar el orbe y ya está, ¿de acuerdo? Tiene que estar en algún sitio de New Garand.	22		
22	A	You don't have any clues?	¿No tienes ninguna pista?	23		
23	Q	No, sorry. It was some hooded fence down in the sewers. One doesn't ask questions in those situations. He was fat, short, and snorted a lot. But that's all I know.	No, lo siento. Un encapuchado en las alcantarillas, comprando contrabando... No se hacen preguntas. Era bajito y gordo, y resoplaba. Pero eso es todo.	0		
24	Q	I asked here and there, but there's nothing about them.	He preguntado por aquí y por allí, pero nada. 	0		
