index	type	text	text_ES	Go To	conditions	actions
1	Q	Well done, now I can prepare all the potions and defenses that the Garrison needs. Thanks, in the name of The Three.	Bien hecho, ahora puedo preparar todas las pociones y defensas mágicas que necesita la Guardia. Gracias en nombre de Los Tres.	0	"VariableEqual#shaking_bones,10;PlayerHasItems#1010,12"	"SetVariable#shaking_bones,100;LoseItems#1010,12;IncVariable#REP_the_three,4;IncVariable#REP_town_rhoneis,3;GainXP#350;GainItem#183"
1	Q	Welcome again. Remember I still wait for those [BLUE]12 skulls[].	Bienvenido de nuevo. Recuerda que aun necesito [BLUE]12 cráneos de esqueleto[] .	2	VariableEqual#shaking_bones,10	
1	Q	[BLUE](the man bows down)[] Welcome to this humble shrine. May the Three guide your steps. 	[BLUE](el hombre hace una reverencia)[] Bienvenido a esta humilde capilla. Que Los Tres guíen tus pasos.	2		
2	A	I require healing	Necesito curación.	3		
2	A	Can you answer some questions about The Three?	¿Puedes responderme algunas preguntas acerca de Los Tres?	8		
2	A	Can I be of service to The Three?	¿Hay algún trabajo que pueda hacer para Los Tres?	21	VariableLower#shaking_bones,10	
3	Q	I can heal you, in exchange of a small contribution to our Shrine. 	Puedo curarte, a cambio de una pequeña contribución a esta Capilla. 	4		
4	A	Here is a small donation. Please heal me. [BLUE](Pay 25 gold coins, be healed for 25hp)[]	Aquí tienes un pequeño donativo. Por favor cúrame. [BLUE](Pagar 25 monedas, curar 25hp)[]	5	PlayerHasGold#25	"GainHP#25;LoseGold#25"
4	A	I wish to make a large donation then. Please heal me. [BLUE](Pay 60 gold coins, be healed for 80hp)[]	Voy a hacer una buena donación. Por favor cúrame. [BLUE](Pagar 60 monedas, curar 80hp)[]	5	PlayerHasGold#60	"GainHP#80;LoseGold#60"
4	A	Not at the moment thanks. I better be on my way.	Ahora no, gracias. Mejor me marcho.	0		
5	Q	By the Power of Arbenos, Thelume and Nivaria, be healed of your wounds!	¡Por el poder de Arbenos, Thelume y Nivaria, que tus heridas se cierren!	0		
8	Q	[BLUE](the man smiles )[] But of course. Just stop me if I go long winded, will you? And if you need to learn more about the Faith, visit the High Temple in Nivarian.	[BLUE](el hombre sonríe)[] Por supuesto. Si hablo demasiado, párame, ¿de acuerdo? Y si quieres saber más, deberías visitar el Gran Templo en Nivarian.	9		
9	A	The city of Nivarian takes its name from the Goddess Nivaria, right? Is She there now? 	La ciudad de Nivarian recibe su nombre de la Diosa Nivaria, verdad? ¿Ella está allí?	10	VariableLower#know_nivaria,1	
9	A	We're in Ilmara, I know here religion is above all. Then why are you here in a small Shrine, instead of having built a temple? 	Estamos en Ilmara, aquí la religión es lo más importante. Entonces, ¿por qué estás en una pequeña capilla al aire libre, en lugar de construir un templo?	18		
9	A	Everybody here worship The Three, or there are other cults and priests?	¿Todo el mundo adora a Los Tres?¿O hay otras religiones y templos?	20		
10	Q	Correct, She herself built the city with her powers, for the Colonists had lost everything and were without shelter, hungry and despaired. She is the Merciful Mother, and the true founder of the Kingdom, as she was our first Holy Queen. But she is no longer with us, legend says she sleeps under the Lake Nivar.	Correcto, Ella construyó la ciudad usando su poder, porque los Colonos lo habían perdido todo, y no tenían refugio, ni comida. Ella es la Madre Compasiva, y la auténtica fundadora del Reino, ya que fue nuestra primera Reina Sagrada. Pero ya no está entre nosotros. La leyenda dice que duerme bajo el lago Nivar.	11		
11	A	She was the first Queen of Ilmara? And why did she go to sleep under the lake?	¿Fue la primera Reina de Ilmara? ¿Y cómo es que se marchó para dormir bajo el lago?	12		
12	Q	A truly sad story. She fell in love with Xoladan the Just, the ruler of the Colonists that founded the Kingdom. After the Witches of Orogg were defeated, they ruled together and made our Kingdom strong and prosperous. But Xoladan grew old and passed away, and that filled Nivaria with a deep sorrow. 	Una historia muy triste. Se enamoró de xoladan el Justo,el lider de los Colonos que fundaron el Reino. Tras derrotar a las Hechiceras de Orogg, gobernaron juntos, e hicieron a nuestro reino fuerte y próspero. Pero Xoladan envejeció y falleció, y eso sumió a Nivaria en una profunda tristeza.	13		
13	A	Since then, who rules in the Kingdom of Ilmara?	Desde entonces, ¿Quién gobierna el Reino de Ilmara?	14		
13	A	This is fascinating but I really must be going.	Fascinante, pero me tengo que ir.	0		
14	Q	The Xoladan dinasty, of course. The king and queen were lost, but they left three children. And today, the great-granddaughter of Xoladan and Nivaria, Queen Simarie, sits on the Azure Throne, with divine blood running through her veins. May she be blessed by The Three.	La dinastía Xoladan, por supuesto. El rey y la reina se perdieron, pero dejaron tres hijos. Y hoy, la tatara-nieta de Xoladan y Nivaria, la Reina Simarie, ocupa el Trono Celeste, con sangre divina corriendo por sus venas. Que Los Tres la bendigan.	15		"SetVariable#know_nivaria,1;GainXP#50"
15	A	Answer another question for me, please.	Respóndeme a otra cosa, por favor.	16		
15	A	Thanks. Enough teachings for now. I must be going.	Gracias. Suficiente lección por ahora. Debo marcharme.	0		
16	Q	What else do you want to know?	¿Qué más deseas saber?	9		
18	Q	[BLUE](The man chuckles)[] A fair question. We priests are to remain humble, and in the service of our people. Thelume the Wise, one of the Three, instructed our Queen not to build temples, except in large cities that can actually need them.	[BLUE](El hombre rie)[] Una pregunta razonable. Los sacerdotes debemos ser humildes. El Sabio Thelume, uno de Los Tres, reveló a nuestra Reina que sólo debíamos construir templos en las grandes ciudades, que puedan mantenerlos facilmente.	15		
20	Q	There are of course many cults, including the old Imperial Religion. But we the Priests of The Three are the only ones that have divine powers. We can heal the injured, or destroy the undead. That's why most people in the Kingdoms pray to The Three now.	Por supuesto que hay muchos cultos, incluyendo la antigua Religión Imperial. Pero nosotros los clérigos de Los Tres somos los únicos con poder divino. Podemos curar a los heridos, o destruir a los muertos vivientes. Por eso en los Reinos la mayoría reza a Los Tres.	15		
21	Q	Yes. These are indeed dark times, as the undead grow restless and crawl out of the Tolassian tombs. I have been asked by the Captain to prepare some defenses, but I require an ingredient which I don't possess. The skulls of animated skeletons.	Si. Estos son en verdad tiempos oscuros, con los muertos vivientes saliendo de las tumbas Tolassian. La capitana de la guardia me ha encargado que prepare defensas, pero me falta un ingrediente. Cráneos de esqueletos animados.	22		
22	A	Where can I find them?	¿dónde puedo encontrarlos?	23		
22	A	I don't want to have anything to do with skeletons, thanks.	No quiero tener nada que ver con esqueletos, gracias.	0		
23	Q	Sadly, in too many places. If you go south to the Deadwood, you'll find undead, but that's dangerous. You may prefer to explore some Tolassian tombs in the other side of the river. Of course, I will reward you. I can give you a shield that can ward you from Death Magic. At least in part.	Por desgracia, en muchos sitios. Puedes ir al sur a Deadwood, pero eso es muy peligroso. Quizá puedas cruzar el rio y explorar alguna tumba Tolassian. Por supesto te recompensaré. Te daré un escudo que puede protegerte de la Magia de Muerte. Al menos en parte.	24		
24	A	Very well, I'll try to do it.	Muy bien, lo haré.	25		
25	Q	I will await your return. Bring me [BLUE]12 Skulls[] and that'll be enough.	Esperaré tu regreso. tráeme [BLUE]12 cráneos[] y tendré suficiente.	0		SetVariable#shaking_bones,10
