index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	You're still in one piece. Good. Welcome back home.	Aún estás de una pieza. Me alegro. Bienvenido a casa.	60	VariableEqual#guild_warriors,1		
1	Q	You're still in one piece. Good.	Aún estás de una pieza. Me alegro.	50	VariableGreater#bullfighting,99		
1	Q	There is still reports of minotaur raiders on the Imperial Road... Stick to your duty, and waste no time.	Aun recibo informes de minotauros asaltando la Carretera Imperial... Cumple con tu deber, no pierdas el tiempo.	0	"VariableGreater#bullfighting,9;VariableLower#bullfighting,13;"		
1	Q	Well done, soldier. The raiders are gone, and the King is satisfied with our guild again. I grant you this shield and gold as reward.  	bien hecho, soldado. La carretera está a salvo de nuevo, y el Rey vuelve a estar satisfecho con el Gremio. Te entrego este escudo y este oro como recompensa.	50	VariableEqual#bullfighting,13	"SetVariable#bullfighting,100;GainXP#500;GainGold#500;GainItem#184;IncVariable#REP_warriorsguild,6"	
1	Q	[BLUE](This young woman salutes you martially)[] If you are not training, nor carrying out your duty, then you are wasting your time. What are you doing right now?	[BLUE](Esta mujer jóven te ofrece un enérgico saludo militar)[]Si no estás entrenando, o cumpliendo con tu deber, estás perdiendo el tiempo. ¿Qué estás haciendo ahora mismo?	2			
2	A	Training. I came here seeking new skills to learn.	Entrenar. He venido a buscar cosas que aprender.	3			
2	A	Carrying out my duty. I help a lot of people through the lands. Maybe in this place I can also find new duties.	Cumplo con mi deber. Ayuda a mucha gente en los Reinos. Quizá aquí encuentre más tareas que cumplir.	5			
2	A	Training and duty are important. But meeting new allies and reflecting upon your next step is also important. That's what I am doing here.	El entrenamiento y el deber son importantes. Pero conocer a nuevos aliados y reflexionar acerca de tu siguiente paso también esesencial. Eso es lo que hago aquí.	6		IncVariable#REP_warriorsguild,2	PER#2
2	A	I... I don't know! Just strolling around, good bye.	yo... ¡no sé! Sólo estaba dando una vuelta, adiós.	0			
3	Q	You can be guided, advised, and there's things to learn in this guild, Rakkus can teach you useful tricks. But in the end, there is no better training than experience. I offer you a hard task, one that will no doubt sharpen your skills if you survive it.	Te pueden aconsejar o enseñar, aquí hay buenos maestros como Rakkus de los que aprender. Pero no hay mejor maestro que la experiencia. Te ofrezco un trabajo duro que, si sobrevives, sin duda te ofrecerá un gran aprendizaje. 	4			
4	A	A job? Tell me about it.	¿Un trabajo? Cuéntame más.	7			
